# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
6746356615048520448	292.155922	-30.396493	-0.0241	-0.0409	-0.7238	-1.6507	-1.5393	0.7883	1.0930	1.0847	0.6419	20.2776	nan	14.84	0	0.83750
6746356610755159296	292.156523	-30.396595	-0.0235	-0.0410	-0.2839	-2.3920	-1.3634	0.1809	0.1731	0.1488	0.2883	18.1380	0.4211	14.77	3	0.99805
6746356610755167104	292.153879	-30.394005	-0.0258	-0.0384	1.0750	-0.1253	-6.6510	1.5788	1.5089	1.0793	-0.1503	20.6841	1.5513	14.38	0	0.00012
6746356821208681216	292.141870	-30.389946	-0.0362	-0.0343	0.6160	-3.0494	-4.5822	1.2229	2.1968	2.1993	0.6583	20.6271	0.6838	15.74	2	0.25122
6746356821208269056	292.145816	-30.389353	-0.0328	-0.0337	-0.4556	-1.1630	-1.8456	0.9187	1.1038	0.7865	-0.0327	20.3790	1.0016	14.69	0	0.77684
6746356821208678656	292.146636	-30.389070	-0.0321	-0.0334	-1.6576	0.9938	0.8792	1.1100	1.2525	1.1009	0.1101	20.4332	0.8512	14.41	1	0.11511
6746356816913614208	292.147622	-30.389710	-0.0312	-0.0341	-0.6541	-2.0141	-1.8908	0.2895	0.2557	0.2175	0.2094	18.8263	1.1048	14.37	3	0.92358
6746356821208120448	292.137380	-30.382389	-0.0401	-0.0268	0.6115	-0.5813	-4.7351	0.7928	0.7898	0.6435	0.0311	20.3520	0.7477	15.12	3	0.00000
6746356821210842240	292.139969	-30.383903	-0.0378	-0.0283	0.2680	-3.8318	-7.3167	0.0747	0.0656	0.0521	0.0332	16.4207	0.9181	14.76	1	0.00000
6746356821210842496	292.141216	-30.382093	-0.0367	-0.0265	0.7631	3.6180	-1.7265	0.0388	0.0348	0.0273	0.0087	15.1748	0.9117	13.98	1	0.00000
6746356821210714880	292.135169	-30.381422	-0.0420	-0.0258	0.3666	6.2596	-7.2768	0.5231	0.5294	0.4030	0.0315	19.8259	1.7418	15.52	2	0.00000
6746356816916304896	292.140561	-30.380770	-0.0373	-0.0251	1.2767	-3.8997	-11.471	0.4351	0.3974	0.3244	0.0158	19.5083	2.3799	13.85	3	0.00000
6746356919992848000	292.150175	-30.382460	-0.0290	-0.0268	-0.0911	-2.9206	-1.2970	0.4405	0.4158	0.3559	0.2209	19.4575	1.1322	12.58	3	0.96646
6746356924287480064	292.153769	-30.380839	-0.0259	-0.0252	2.2120	-2.7386	-4.8205	1.1944	1.4836	1.1783	-0.2087	20.5854	1.6011	14.49	3	0.05311
6746356924289926400	292.148949	-30.379181	-0.0301	-0.0235	0.2536	6.2547	-4.5473	0.3854	0.3954	0.3176	0.2433	19.2812	nan	13.08	0	0.00000
6746356924285854720	292.149050	-30.378801	-0.0300	-0.0232	0.2369	-2.6672	-1.6519	0.2171	0.2058	0.1722	0.2332	18.3957	1.0697	13.24	1	0.98406
6746356924287884032	292.156294	-30.377352	-0.0237	-0.0217	-0.1746	-1.1453	-0.1905	1.7200	2.4401	1.9190	0.0697	20.7068	1.2311	18.57	0	0.77394
6746356924286178688	292.152199	-30.375070	-0.0273	-0.0194	0.8671	-2.8565	-1.7071	0.5867	0.5520	0.4507	0.1183	19.8545	1.0073	17.1	3	0.95180
6746356958649794048	292.157300	-30.373869	-0.0229	-0.0182	-0.0615	-2.3127	-1.4536	0.1130	0.1034	0.0824	0.1278	17.2740	1.2372	22.05	3	0.99989
6746356649407918720	292.167459	-30.403273	-0.0141	-0.0476	-0.0716	-1.0697	-5.2827	0.5044	0.5409	0.4898	0.3546	19.7723	0.9298	15.68	1	0.00000
6746356649407920384	292.165455	-30.402631	-0.0158	-0.0470	1.3573	-3.1563	-8.4334	0.5486	0.6555	0.5073	0.0841	19.8309	1.2836	15.64	2	0.00000
6746356649412008704	292.166741	-30.403096	-0.0147	-0.0475	-0.0091	-2.2485	-1.9214	0.5784	0.6300	0.5595	0.2732	19.9551	0.9346	15.68	3	0.90914
6746356645114883200	292.172353	-30.401074	-0.0099	-0.0454	-1.5921	-5.7641	-0.4187	1.0314	1.2151	1.0215	0.1000	20.3595	0.7752	14.48	2	0.20568
6746355889200636416	292.180519	-30.401868	-0.0028	-0.0462	2.0731	3.1475	-14.665	0.6700	0.7527	0.6531	0.3017	20.0290	2.2470	14.41	2	0.00000
6746356615049841024	292.158375	-30.398789	-0.0219	-0.0432	-1.0038	3.2456	-3.8486	1.5957	2.3514	1.3272	-0.2867	20.5760	0.9508	15.21	3	0.09941
6746356645114893824	292.161715	-30.397939	-0.0191	-0.0423	-0.1123	-2.4113	-1.0606	0.3084	0.3027	0.2627	0.2840	18.9817	0.9781	14.44	3	0.97493
6746356645114885760	292.164719	-30.400194	-0.0165	-0.0446	1.7606	2.9731	-8.4301	0.7534	0.9521	0.7168	-0.0420	20.1402	1.3646	14.87	2	0.00000
6746356649407922304	292.166326	-30.397484	-0.0151	-0.0418	0.4712	-2.1022	-1.5841	0.4618	0.4890	0.4285	0.2764	19.6792	1.0528	13.63	3	0.94786
6746356645114894336	292.164998	-30.396984	-0.0162	-0.0413	1.0598	1.6014	-5.7848	0.9301	1.0599	0.9117	0.3416	20.3884	2.0777	13.6	2	0.00000
6746356649409420544	292.168449	-30.398197	-0.0132	-0.0426	0.8644	-2.7574	-1.9633	0.8832	1.1962	1.1839	0.5671	20.3036	1.2489	13.67	0	0.79232
6746356713834379392	292.160205	-30.395589	-0.0204	-0.0400	1.4399	-3.4359	-1.7570	1.0418	1.3662	1.1027	0.2496	20.4670	0.9704	13.79	0	0.72321
6746356713834379264	292.162143	-30.395302	-0.0187	-0.0397	0.6151	-12.897	-11.317	0.2340	0.2249	0.1924	0.2858	18.5265	1.2949	13.35	3	0.00000
6746356718129052800	292.166024	-30.392630	-0.0153	-0.0370	0.9301	-2.1422	-7.0860	1.2808	2.1270	1.8628	0.4942	20.4333	1.0233	12.49	1	0.00956
6746356645114894848	292.174969	-30.397395	-0.0076	-0.0418	0.5947	0.9437	-9.5418	0.5967	0.6998	0.6005	0.0597	19.9150	1.0672	12.8	3	0.00000
6746356683771881088	292.180992	-30.394334	-0.0024	-0.0387	0.7536	2.6098	-9.0090	0.0807	0.0851	0.0726	0.2512	16.8398	1.1144	12.81	1	0.00000
6746356645114916736	292.173570	-30.391967	-0.0088	-0.0363	0.2507	-5.8711	-4.5745	0.1102	0.1136	0.0976	0.3011	17.3915	0.9906	13.55	1	0.00000
6746356679479692416	292.174825	-30.391008	-0.0077	-0.0354	-1.1986	-1.9447	-0.0731	1.0316	1.1662	1.2076	0.1947	20.4690	1.0131	14.44	1	0.88672
6746356679474657536	292.181195	-30.390778	-0.0023	-0.0351	0.4464	-3.8493	-1.7389	0.0989	0.0978	0.0841	0.2585	17.0892	0.8978	15.34	1	0.00000
6746355889200627712	292.183878	-30.404224	 0.0001	-0.0486	0.8227	0.1752	-0.0683	0.2600	0.2670	0.2314	0.2996	18.6701	1.4728	15.28	3	0.00000
6746355923560372864	292.186495	-30.402444	 0.0023	-0.0468	0.1580	1.0408	-5.2640	0.5855	0.6595	0.5736	0.2149	19.9751	1.1706	14.63	3	0.00000
6746355927855073536	292.188464	-30.405156	 0.0040	-0.0495	-1.8394	-1.0095	-0.8976	1.0191	1.1726	1.0173	0.1742	20.3887	0.6573	15.68	0	0.76270
6746355927853395712	292.191170	-30.405115	 0.0064	-0.0495	0.4831	-10.351	-4.6426	0.4518	0.4914	0.4347	0.3173	19.6200	1.0011	15.75	1	0.00000
6746355927855072384	292.183094	-30.400047	-0.0006	-0.0444	0.7843	-3.4533	-1.2358	1.3924	1.8502	1.3767	-0.1764	20.6161	1.5225	13.6	0	0.71307
6746355927854911616	292.191001	-30.399032	 0.0062	-0.0434	-1.3179	-3.1524	-3.0836	0.8929	0.9039	0.8254	0.3098	20.3408	0.9585	13.34	3	0.67437
6746355927855070208	292.190620	-30.397584	 0.0059	-0.0419	0.5290	-0.2626	-5.7162	1.3673	1.9564	1.0630	-0.0761	20.4768	1.2080	12.78	2	0.00159
6746355927853740928	292.195737	-30.401086	 0.0103	-0.0454	-0.0457	0.7987	-3.5964	0.1781	0.1935	0.1692	0.3113	18.0574	0.8607	14.52	1	0.00000
6746355923560379904	292.196463	-30.401285	 0.0109	-0.0456	0.5135	5.3272	3.1322	0.0740	0.0790	0.0682	0.2804	16.6758	0.9252	14.65	3	0.00000
6746379322542210048	292.205006	-30.400576	 0.0183	-0.0449	0.2337	-2.2279	-1.3333	0.1849	0.1929	0.1665	0.2753	18.2657	1.1154	15.25	3	0.98795
6746355927854911104	292.198221	-30.397543	 0.0124	-0.0419	-0.0557	8.0200	3.3133	0.7690	0.9375	0.8765	0.4283	20.2302	2.4858	13.29	2	0.00000
6746379391261702016	292.203191	-30.395588	 0.0167	-0.0400	0.4944	-0.0579	-5.6578	0.5487	0.5770	0.5036	0.2660	19.7673	1.1123	13.12	3	0.00000
6746355923560401152	292.186813	-30.394104	 0.0026	-0.0385	0.4742	-3.4118	-1.9803	0.2354	0.2493	0.2151	0.2839	18.4955	1.6954	12.91	3	0.00571
6746355927853743744	292.188251	-30.396761	 0.0038	-0.0411	-0.4231	5.3801	-4.2343	1.0118	1.4202	1.0516	-0.2780	20.4569	2.1761	12.52	2	0.00002
6746355927854912384	292.190402	-30.394209	 0.0057	-0.0386	-0.0492	-2.6239	1.6956	0.7572	0.9068	0.8245	0.4039	20.1541	1.5567	12.73	0	0.01168
6746356679474657408	292.185629	-30.391706	 0.0016	-0.0361	0.3035	0.4874	0.5173	0.0692	0.0740	0.0628	0.2595	16.5653	0.9572	14.53	1	0.00000
6746356679474664192	292.184208	-30.388260	 0.0003	-0.0326	0.0113	-2.0703	-1.4444	0.3105	0.3288	0.2850	0.2866	19.0648	1.0241	18.06	3	0.99413
6746379391261716224	292.197334	-30.391397	 0.0117	-0.0358	0.9081	-6.3765	-1.9183	0.7819	0.9275	0.8551	0.3839	20.2718	1.7425	13.41	2	0.00276
6746379391261725312	292.203194	-30.388578	 0.0167	-0.0329	-0.1595	-4.5560	-6.4397	0.4977	0.5604	0.5026	0.3027	19.7521	1.0391	13.86	3	0.00000
6746379395556776832	292.205368	-30.387947	 0.0186	-0.0323	1.4771	-2.6131	-1.0429	1.2308	1.7211	1.6650	0.0448	20.5036	0.9055	13.63	0	0.76269
6746356718129051136	292.161468	-30.386580	-0.0193	-0.0309	0.1550	-2.4981	-3.6404	1.1369	2.1462	2.1747	0.6098	20.5528	0.7594	14.24	0	0.58765
6746356718131492352	292.158853	-30.383431	-0.0215	-0.0278	1.0262	-3.9398	-10.542	0.0224	0.0207	0.0163	0.0975	13.8595	0.9052	15.39	1	0.00000
6746356752488787968	292.167595	-30.383499	-0.0140	-0.0279	-0.0266	-3.4706	-1.0101	0.8259	1.0308	0.7656	0.0090	20.2791	0.9954	19.74	2	0.93335
6746356748194156032	292.169161	-30.382891	-0.0126	-0.0273	-0.0070	-2.1544	-1.7792	0.2081	0.2054	0.1746	0.2531	18.3681	0.2235	21.1	1	0.99079
6746356748194159744	292.172948	-30.382103	-0.0094	-0.0265	0.5668	-1.9077	-1.9799	0.2431	0.2565	0.2319	0.3805	18.4175	1.2882	23.41	1	0.35069
6746356752488636544	292.175490	-30.381348	-0.0072	-0.0257	-1.4408	-1.4629	0.8704	0.8327	0.9180	0.8241	0.3002	20.3922	0.9099	24.91	3	0.69946
6746356683769309184	292.180342	-30.380074	-0.0030	-0.0244	1.2941	-4.5598	-0.9433	0.9749	1.3480	1.1397	0.1306	20.5084	1.1079	26.74	3	0.83479
6746356713834438784	292.159491	-30.378911	-0.0210	-0.0233	-0.5664	-0.6243	-5.5655	0.3216	0.2762	0.2097	0.0214	18.6213	0.8926	19.56	3	0.00000
6746356748194164096	292.163939	-30.380637	-0.0171	-0.0250	0.7802	-2.8114	-1.9427	0.3622	0.3550	0.3049	0.2225	19.2367	0.9722	20.78	3	0.89944
6746356748194162688	292.168187	-30.380621	-0.0135	-0.0250	-0.5634	-2.4329	-0.9608	0.3805	0.3792	0.3269	0.2528	19.2980	1.1293	23.05	3	0.99147
6746356752487480064	292.160487	-30.377483	-0.0201	-0.0218	0.5548	-2.3241	-1.0899	0.4400	0.3454	0.2944	0.1674	19.2382	1.0045	21.51	3	0.98182
6746356748194177024	292.161672	-30.377283	-0.0191	-0.0216	-0.0260	-2.5272	-1.4715	0.1437	0.1127	0.0935	0.1495	17.4395	1.2050	22.5	3	0.99939
6746356752488785536	292.163225	-30.374960	-0.0178	-0.0193	3.6906	-4.7596	-3.8257	1.5345	1.6358	1.1294	-0.0297	20.6882	0.5362	25.35	0	0.37824
6746356958649792896	292.162094	-30.373068	-0.0187	-0.0174	0.8761	3.6446	-15.130	0.0616	0.0473	0.0381	0.0982	15.7849	0.9990	25.96	1	0.00000
6746356752488639872	292.164127	-30.375994	-0.0170	-0.0204	0.3538	-3.4144	-0.8596	0.8182	0.8011	0.6626	0.1276	20.2232	0.6855	25.09	3	0.93251
6746356752488640000	292.163945	-30.375172	-0.0171	-0.0195	1.0589	-4.5703	-1.8883	0.8529	0.9404	0.7249	-0.0745	20.2626	0.9671	25.6	3	0.67784
6746356752492449152	292.168410	-30.373684	-0.0133	-0.0180	0.7636	-5.0274	-0.5713	0.2645	0.2686	0.2153	0.2779	18.6794	1.0583	28.16	0	0.00000
6746356752487477632	292.169346	-30.372849	-0.0125	-0.0172	0.9389	0.2891	-2.1234	0.6802	0.8306	0.7798	0.4984	20.0835	1.8099	28.94	2	0.01518
6746356748194176896	292.179174	-30.377928	-0.0040	-0.0223	0.1886	1.5024	-6.3401	0.2187	0.2309	0.1988	0.2917	18.5140	1.1638	28.01	3	0.00000
6746356752488636800	292.179078	-30.376224	-0.0041	-0.0206	0.0202	-2.9439	-1.3069	0.6124	0.7303	0.6607	0.3928	20.0083	1.1473	29.15	3	0.98287
6746356748194182144	292.173058	-30.374289	-0.0093	-0.0187	0.7152	-2.8666	-4.0881	0.7493	0.7199	0.5844	0.1350	19.6518	1.0198	29.28	1	0.01966
6746356748194195328	292.173092	-30.371658	-0.0092	-0.0160	0.5084	-2.0896	-5.3355	0.1379	0.1350	0.1126	0.2260	17.6914	1.0824	31.94	3	0.00000
6746380215895508608	292.180148	-30.371765	-0.0032	-0.0161	-0.0292	-2.4520	0.9057	1.3914	1.7672	1.0508	-0.0169	20.4374	1.2395	34.77	2	0.84596
6746356679474669184	292.182002	-30.387549	-0.0016	-0.0319	-0.5270	-2.0244	-0.8751	0.5063	0.5886	0.5481	0.4375	19.7515	1.0687	18.83	3	0.98326
6746356679478120320	292.183593	-30.384294	-0.0002	-0.0287	0.5745	-2.3029	-1.2550	1.1540	1.1540	0.9487	0.4334	20.3350	1.3521	22.74	3	0.94895
6746356683767991680	292.185065	-30.383743	 0.0011	-0.0281	0.0040	-1.1393	-1.9339	0.1906	0.2035	0.1766	0.2702	18.3090	0.8897	23.35	1	0.00000
6746356679474681344	292.184853	-30.383254	 0.0009	-0.0276	0.1190	-2.8848	-1.7809	0.1915	0.2029	0.1751	0.2927	18.2723	0.4174	23.91	1	0.96956
6746356683767991936	292.185426	-30.382695	 0.0014	-0.0271	0.0267	-2.1815	-4.2278	0.2640	0.2778	0.2404	0.2812	18.8161	1.1230	24.49	3	0.00000
6746380147176002944	292.186203	-30.380315	 0.0021	-0.0247	0.0103	-2.5936	-1.5718	0.2201	0.2351	0.2032	0.2958	18.5245	1.1248	26.63	3	0.99844
6746380147175988224	292.188426	-30.381927	 0.0040	-0.0263	0.2624	4.7514	-0.7116	0.2533	0.2717	0.2354	0.2738	18.7581	1.3055	25.01	3	0.00000
6746380147175996928	292.189340	-30.379275	 0.0048	-0.0236	0.3171	-2.8174	-2.3582	0.6087	0.6587	0.5726	0.2734	19.9288	1.1473	27.09	1	0.95249
6746380147176002816	292.193390	-30.377954	 0.0083	-0.0223	1.1700	-14.353	-16.257	0.8870	1.2236	0.9960	0.0635	20.4271	2.6683	27.3	2	0.00000
6746379391261741440	292.199203	-30.383093	 0.0133	-0.0275	0.0721	-2.2639	-1.5296	0.1083	0.1201	0.1035	0.2375	17.3878	1.1827	20.55	1	0.99950
6746379391263271168	292.200210	-30.384436	 0.0141	-0.0288	0.3369	2.5927	-6.8012	0.3457	0.3728	0.3267	0.1317	19.1612	1.0241	18.67	3	0.00000
6746380147175998464	292.201319	-30.379228	 0.0151	-0.0236	0.9990	-1.8331	-5.2758	0.2413	0.2509	0.2114	0.2953	18.6169	1.0391	23.48	1	0.00000
6746379395559254016	292.203602	-30.378774	 0.0171	-0.0231	-0.8104	-3.1764	-1.7911	1.8962	2.3382	1.8750	-0.2888	20.7469	0.7816	22.63	0	0.82392
