# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5985415060266545664	234.790122	-50.000373	 0.0059	 0.0496	0.4661	-5.0854	-5.7713	0.0737	0.0770	0.0632	0.0484	17.0634	1.4159	106.8	3	0.00000
5985415060233753472	234.791455	-50.000769	 0.0067	 0.0492	-2.2177	-3.0643	-3.1590	1.3996	1.3236	0.9492	0.2527	20.4545	2.5292	106.9	0	0.07882
5985415025874461440	234.790571	-50.001510	 0.0062	 0.0485	-1.5932	-3.8185	-4.8176	1.3224	1.5467	1.7169	-0.0753	20.6702	1.0349	107.2	2	0.05278
5985415060232876288	234.799975	-50.002014	 0.0122	 0.0480	0.7543	-2.2834	-5.6965	0.6832	0.8526	0.5272	0.1573	20.1561	1.7095	107	3	0.00000
5985415060266541440	234.798744	-50.002341	 0.0114	 0.0477	0.3088	-6.8372	-4.7444	0.1011	0.1088	0.0861	-0.0149	17.6643	1.4217	107.2	3	0.00000
5985415060266540928	234.797062	-50.003147	 0.0103	 0.0469	0.1172	-4.8026	-3.4571	0.0861	0.0901	0.0720	-0.0304	17.3319	2.0876	107.6	3	0.00000
5985415060266539776	234.797830	-50.004019	 0.0108	 0.0460	0.0773	-4.3117	-7.0809	0.1125	0.1110	0.0954	-0.0829	17.9405	1.7764	108	3	0.00000
5985414854074432000	234.802143	-50.003300	 0.0136	 0.0467	0.6296	-6.3970	-4.7772	0.1845	0.1804	0.1448	0.0663	18.2776	2.0260	107.3	0	0.00000
5985414854074432128	234.802768	-50.003595	 0.0140	 0.0464	0.0705	-2.1566	-4.5076	0.1629	0.1485	0.1210	-0.0853	18.1538	1.7268	107.4	0	0.00000
5985414854075228800	234.805128	-50.002743	 0.0155	 0.0473	0.0050	-3.8047	-4.6810	0.7954	0.8803	0.6679	0.1151	20.4088	1.8069	106.9	2	0.01897
5985414854075324928	234.805084	-50.003928	 0.0155	 0.0461	2.7700	-4.2144	-3.2377	1.1570	2.0498	1.3218	0.4678	20.6860	1.9530	107.4	2	0.04277
5985414854074429312	234.803689	-50.003717	 0.0146	 0.0463	0.1230	-2.3757	-2.2707	0.3482	0.3895	0.2755	0.1745	19.4532	1.3115	107.4	2	0.00032
5985414849738391296	234.803491	-50.005403	 0.0145	 0.0446	0.6628	-5.4335	-4.7360	0.2143	0.2043	0.1584	-0.0077	18.7522	1.5495	108.1	2	0.00000
5985414854074417280	234.802865	-50.005800	 0.0141	 0.0442	0.0186	-5.1551	-3.5668	0.4376	0.5281	0.4315	-0.1413	19.7306	1.4903	108.3	2	0.03797
5985414854075769728	234.810568	-50.003905	 0.0190	 0.0461	3.3767	-10.627	-1.4980	2.1450	2.3402	1.1860	0.1818	20.8370	1.9650	106.8	0	0.01619
5985414854075228416	234.808229	-50.004158	 0.0175	 0.0458	0.3564	-4.6789	-3.7519	0.8920	0.9551	0.7238	0.2505	20.4539	1.7096	107.2	2	0.08511
5985414849738391168	234.807931	-50.005436	 0.0173	 0.0446	0.6535	0.8252	-4.2853	0.1832	0.1729	0.1346	-0.0423	18.5419	1.6673	107.7	3	0.00000
5985414854074402816	234.805495	-50.006358	 0.0157	 0.0436	1.2926	-4.2457	-2.2433	0.7173	0.9801	0.6724	0.5005	19.9561	nan	108.3	0	0.07525
5985414854074402944	234.805995	-50.006559	 0.0161	 0.0434	1.2025	-6.6140	-3.3588	0.3170	0.3608	0.2514	0.2254	19.3417	1.6149	108.4	0	0.00000
5985414849739219712	234.812887	-50.004955	 0.0205	 0.0450	0.6216	-10.637	4.2986	0.0659	0.0660	0.0530	-0.0737	16.8547	1.2237	107	3	0.00000
5985414854074392832	234.815137	-50.005176	 0.0219	 0.0448	0.6827	-6.3437	-3.3418	0.3710	0.4086	0.2904	0.2234	19.5614	2.0886	106.8	2	0.00000
5985414854074390016	234.814842	-50.005687	 0.0218	 0.0443	-0.3578	-6.4883	-6.1337	0.5368	0.6416	0.4165	0.2977	19.8964	nan	107	0	0.00000
5985414854074379520	234.816481	-50.007131	 0.0228	 0.0429	0.0121	-8.0339	-4.8889	0.3611	0.4092	0.2805	0.2666	19.3270	1.6123	107.4	2	0.00000
5985414854074378240	234.817568	-50.007262	 0.0235	 0.0427	0.6389	-2.8675	-2.2354	0.4094	0.4688	0.3189	0.2331	19.6607	2.5255	107.3	3	0.00925
5985414854074378368	234.813064	-50.008639	 0.0206	 0.0414	0.2390	-3.3719	-2.1358	0.2662	0.2983	0.2111	0.1359	19.1366	1.5431	108.4	3	0.00038
5985414854075330560	234.814568	-50.008725	 0.0216	 0.0413	0.5404	-4.3451	-5.1822	1.1974	1.5559	1.1265	-0.1704	20.4767	nan	108.2	0	0.02870
5985414854074368256	234.814527	-50.009196	 0.0215	 0.0408	0.7362	-4.8698	-4.0998	0.2306	0.2355	0.1681	0.0163	18.8731	1.5716	108.4	2	0.00000
