# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4050600768033240448	273.503069	-28.660359	-0.0214	-0.0254	0.2159	-2.7529	-2.9783	0.1388	0.1454	0.1157	0.4267	17.8381	1.5690	167.5	2	0.00000
4050600703640403200	273.506078	-28.662353	-0.0188	-0.0274	-0.2084	-7.6090	-8.4654	0.5036	0.4653	0.4084	0.3653	18.6259	1.1946	167.5	0	0.00000
4050600772419504896	273.503557	-28.660352	-0.0210	-0.0254	0.5799	-11.378	-4.4128	0.4079	0.4265	0.3399	0.2314	18.4902	1.2318	167.6	0	0.00000
4050600703640338688	273.513364	-28.665632	-0.0124	-0.0306	0.9796	0.0102	-1.4737	0.2664	0.2799	0.2211	0.3762	18.5365	1.4820	167.6	0	0.00000
4050600699379601664	273.517026	-28.666893	-0.0092	-0.0319	0.1420	-4.7626	-7.9172	0.1483	0.1678	0.1344	0.4408	18.0650	1.6142	167.5	2	0.00000
4050600699379639040	273.514655	-28.665414	-0.0113	-0.0304	0.6230	-1.3876	-7.5594	0.4593	0.6928	0.5601	0.6624	19.2423	1.3098	167.8	0	0.00000
4050600699379601024	273.516029	-28.666230	-0.0101	-0.0312	0.1439	-1.1280	-5.4174	0.1385	0.1540	0.1239	0.4044	17.9962	1.2128	167.7	2	0.00000
4050600699379649280	273.520213	-28.667052	-0.0064	-0.0321	0.8221	2.0054	-2.8605	0.6318	0.5753	0.4586	0.2773	18.8980	0.9922	167.7	0	0.01087
4050600703640294528	273.520405	-28.665442	-0.0062	-0.0304	-0.0738	0.7890	-5.1938	0.0721	0.0775	0.0614	0.2930	15.5542	1.8167	168.5	1	0.00000
4050600699379325824	273.507433	-28.662898	-0.0176	-0.0279	-0.6463	-0.2002	-5.5226	0.3766	0.3492	0.2237	0.0760	18.6311	1.3206	167.6	2	0.00000
4050600699379326720	273.508186	-28.663022	-0.0169	-0.0280	3.3028	-8.4735	-2.6706	0.5715	0.6064	0.4794	0.4607	18.8817	1.2292	167.7	0	0.00000
4050600699289665152	273.508789	-28.663945	-0.0164	-0.0289	0.7176	0.6061	-1.0378	0.0377	0.0422	0.0330	0.3183	15.2466	0.9329	167.4	3	0.00000
4050600699379723008	273.511592	-28.664732	-0.0140	-0.0297	1.6056	-7.9605	0.0768	1.0682	1.3684	0.9138	-0.2917	19.2702	nan	167.6	0	0.00000
4050600699379632896	273.512170	-28.665188	-0.0135	-0.0302	-1.0838	6.2155	-1.2830	0.6200	0.5353	0.4148	0.0296	19.1760	1.2699	167.6	0	0.00001
4050600703640362240	273.511013	-28.664116	-0.0145	-0.0291	0.6497	-4.7888	-1.8368	0.1363	0.1625	0.1305	0.4866	17.4373	1.1669	167.8	0	0.00000
4050600703594558848	273.511241	-28.663249	-0.0143	-0.0282	1.8198	1.7634	-8.7412	0.8717	0.5663	0.4679	-0.1614	19.0897	nan	168.2	0	0.00000
4050600699379633664	273.512325	-28.663196	-0.0133	-0.0282	0.5766	-5.3974	-6.3430	0.5151	0.5307	0.4691	0.5846	19.1383	0.9528	168.4	0	0.00000
4050600703640359936	273.512830	-28.662758	-0.0129	-0.0278	0.0533	6.8807	-0.8393	0.5441	0.5154	0.3910	0.3207	19.1857	0.7394	168.7	0	0.00000
4050600699313803520	273.506691	-28.661621	-0.0183	-0.0266	0.0443	-2.9361	-3.4238	0.1600	0.1793	0.1491	0.4130	17.8516	0.9365	167.9	0	0.00000
4050600699379326208	273.507767	-28.661546	-0.0173	-0.0265	0.1241	3.5311	-3.4021	0.4717	0.3972	0.2941	0.1135	18.9899	nan	168.2	0	0.63064
4050600699379244160	273.509731	-28.662282	-0.0156	-0.0273	0.2815	-2.1676	0.8928	0.1521	0.1654	0.1314	0.3717	17.9722	1.0167	168.3	2	0.00000
4050600703640387840	273.508893	-28.662149	-0.0163	-0.0272	0.8020	-5.7608	-4.1284	0.4698	0.5911	0.5127	0.6190	19.0638	nan	168.2	0	0.00000
4050600699313804672	273.507319	-28.660985	-0.0177	-0.0260	0.2088	-2.1991	-3.5713	0.1255	0.1382	0.1098	0.3844	17.8051	1.0808	168.3	2	0.00000
4050600699326772864	273.508817	-28.661222	-0.0164	-0.0262	0.1765	0.4084	0.6723	0.1277	0.1551	0.1240	0.4968	17.7591	1.1880	168.5	2	0.00000
4050600699290195328	273.509834	-28.660887	-0.0155	-0.0259	-0.0730	-2.5000	-5.7469	0.1156	0.1384	0.1111	0.4719	17.3356	1.4255	168.9	0	0.00000
4050600699379329152	273.509644	-28.660312	-0.0157	-0.0253	-1.9216	-9.0065	-8.6652	0.5668	0.5916	0.4351	0.4299	18.5284	nan	169.1	0	0.00000
4050600703640706432	273.511467	-28.662581	-0.0141	-0.0276	0.2031	3.0030	-5.8516	0.0442	0.0503	0.0391	0.2870	15.6385	1.7186	168.5	1	0.00000
