# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5380484996909678208	177.497233	-41.817594	-0.0103	-0.0456	0.4008	-10.348	0.5847	0.0432	0.0288	0.0285	-0.0414	15.9616	1.1730	4.46	3	0.00000
5380485164413185408	177.473672	-41.810875	-0.0278	-0.0389	1.3304	18.0269	-6.1975	0.1822	0.1200	0.1184	-0.0656	18.5064	2.2874	4.235	3	0.00000
5380485203068108288	177.483706	-41.812616	-0.0203	-0.0406	1.6266	17.8962	-6.1874	0.0598	0.0422	0.0394	-0.0240	16.5540	1.6063	4.686	3	0.00000
5380485198772924672	177.476961	-41.810155	-0.0254	-0.0382	1.0189	-12.186	-3.5169	0.3731	0.2387	0.2345	-0.0696	19.4836	2.2616	4.625	0	0.00000
5380485233132671616	177.461294	-41.805068	-0.0371	-0.0331	1.6207	-4.6604	2.4348	0.7692	0.5127	0.5615	-0.1261	20.4716	1.8723	3.822	2	0.00000
5380485233132673152	177.464443	-41.804236	-0.0347	-0.0322	2.7883	-5.4879	9.2658	1.4565	0.8784	0.9041	-0.1176	19.9666	1.6453	4.329	0	0.00000
5380485267492404352	177.474020	-41.808060	-0.0276	-0.0361	0.4151	-2.3072	-0.3894	1.1670	0.7802	1.1776	-0.2982	20.6952	0.4529	4.692	2	0.13125
5380485198772929024	177.477589	-41.807693	-0.0249	-0.0357	0.4798	-3.7384	-6.9507	0.2146	0.1374	0.1355	-0.0422	18.6702	0.9970	4.875	1	0.00000
5380485267492413696	177.479489	-41.802848	-0.0235	-0.0309	0.4886	-6.6119	-3.8368	0.5115	0.3195	0.3114	-0.0838	19.9153	2.1495	5.337	0	0.00000
5380485989046940288	177.449480	-41.790908	-0.0459	-0.0189	0.4215	-5.5253	2.5102	0.9041	0.5420	0.6881	-0.0225	20.4970	1.6553	3.833	2	0.00000
5380486027701834496	177.454938	-41.786647	-0.0418	-0.0147	0.6866	-18.538	-1.1041	0.0443	0.0288	0.0288	0.0340	15.8708	0.9277	4.818	3	0.00000
5380486023407365504	177.455971	-41.788207	-0.0410	-0.0162	0.4677	-8.4985	-0.2328	0.1356	0.0868	0.0847	-0.0147	17.9834	0.9258	4.833	3	0.00000
5380485271786764160	177.471904	-41.790480	-0.0291	-0.0185	1.4611	-8.0767	4.2280	1.1406	0.7571	0.7029	0.0202	20.6404	2.1327	6.177	0	0.00000
5380485271787591168	177.470604	-41.789445	-0.0301	-0.0175	1.6453	-39.544	-7.9405	0.0439	0.0277	0.0282	-0.0051	15.6605	1.2897	6.146	1	0.00000
5380485198772927232	177.489846	-41.808390	-0.0158	-0.0364	0.1870	-1.6532	-1.6915	0.4985	0.3160	0.3120	-0.0580	20.0250	1.0662	5.177	3	0.00000
5380485306147328640	177.497664	-41.803100	-0.0099	-0.0311	0.4334	-6.1771	1.1494	0.7320	0.4466	0.4832	-0.0773	20.4236	0.9563	6.245	3	0.00000
5380485306146287104	177.501056	-41.802690	-0.0074	-0.0307	-0.3620	-7.6337	0.7422	0.8794	0.5586	0.5852	-0.1674	20.5559	1.4291	6.225	2	0.00000
5380485031269027072	177.518326	-41.816495	 0.0055	-0.0445	-2.1523	-17.083	4.2419	2.4857	1.2048	1.8337	-0.1430	20.8714	1.4770	4.764	0	0.00000
5380485031268380544	177.519537	-41.817791	 0.0064	-0.0458	0.9551	-2.8753	3.9247	0.7204	0.4862	0.4787	0.0372	20.3681	1.4487	4.555	0	0.00000
5380485095693704704	177.513962	-41.813001	 0.0022	-0.0410	0.2164	-5.7513	-1.4134	0.3198	0.2061	0.2033	-0.0699	19.3833	1.8324	5.017	2	0.00000
5380485061333964928	177.522710	-41.813655	 0.0087	-0.0417	0.2444	-6.0217	0.3725	1.1915	0.9273	1.0857	-0.2219	20.7333	0.8408	4.928	3	0.00008
5380485065629159936	177.519644	-41.811674	 0.0064	-0.0397	0.3653	-7.2066	2.1157	0.1369	0.0918	0.0885	-0.0525	18.1097	1.0139	5.103	3	0.00000
5380473314598639744	177.538904	-41.814008	 0.0208	-0.0420	1.3576	-4.1760	3.4252	0.1135	0.0828	0.0790	-0.0386	17.6965	1.5474	4.431	1	0.00000
5380485061333970560	177.524174	-41.810298	 0.0098	-0.0383	-0.1525	-3.5577	-1.1293	0.2458	0.1697	0.1677	-0.1548	19.0682	0.9408	5.197	3	0.00000
5380485061333974784	177.522640	-41.808008	 0.0087	-0.0360	1.0424	-6.7901	-12.589	0.2016	0.1421	0.1385	-0.1393	18.7247	1.8531	5.725	3	0.00000
5380485134348638720	177.517669	-41.803806	 0.0050	-0.0318	0.2633	-5.6924	1.8570	0.0501	0.0351	0.0353	-0.1217	16.3291	1.0750	6.239	3	0.00000
5380485061333979648	177.528290	-41.804603	 0.0129	-0.0326	0.5439	-5.1469	1.3198	1.0594	0.7324	0.8162	-0.1975	20.6500	1.4542	6.114	2	0.00056
5380485301852158208	177.497007	-41.799174	-0.0104	-0.0272	-0.0690	-5.0436	0.6714	0.4994	0.3159	0.3477	-0.1724	19.9742	0.9818	6.208	3	0.00000
5380485306147331200	177.504214	-41.796972	-0.0051	-0.0250	0.8243	-12.130	5.6007	0.1308	0.0817	0.0803	-0.0679	17.8930	1.7336	6.235	1	0.00000
5380485336211915264	177.510845	-41.787444	-0.0001	-0.0154	-0.3724	-11.569	3.1708	0.7501	0.4641	0.4994	-0.0113	20.4095	1.3561	5.345	2	0.00000
5380485130053461248	177.523942	-41.801619	 0.0096	-0.0296	0.5459	-8.4627	-1.3171	0.4176	0.2682	0.2565	-0.0745	19.7895	2.3993	6.214	2	0.00000
5380485130053468544	177.513595	-41.797355	 0.0019	-0.0254	0.8305	-8.3998	2.0957	0.2307	0.1542	0.1487	-0.1393	18.9157	1.2524	6.232	3	0.00000
