# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
3586877826278656000	174.030953	-10.909306	-0.0359	-0.0319	1.9199	-8.3925	-2.6697	0.6383	0.5816	0.3584	0.0711	19.6794	1.9545	0.7608	2	0.00000
3586878307314376576	174.034253	-10.888100	-0.0326	-0.0107	-0.3089	1.5511	-0.1643	2.4099	1.8745	0.9723	0.3427	20.7034	0.9330	0.766	2	0.77361
3586877959422099200	174.067119	-10.917860	-0.0004	-0.0404	0.3773	-3.6150	-5.0102	0.2539	0.2280	0.1450	-0.1337	18.3132	0.6461	0.728	3	0.00000
3586877856342890240	174.036038	-10.903944	-0.0309	-0.0265	0.6986	-4.5670	-6.1140	0.0741	0.0635	0.0496	-0.0923	16.3863	0.9920	0.728	3	0.00000
3586877856342890880	174.038938	-10.901488	-0.0280	-0.0240	0.7842	-1.1178	-0.5639	0.7735	0.6377	0.4182	0.0764	19.9659	0.8795	0.7394	3	0.68663
3586878272955255552	174.055702	-10.891144	-0.0116	-0.0137	1.6905	-16.629	0.0423	0.0211	0.0174	0.0142	-0.1270	13.3741	0.8228	2.02	3	0.00000
3586877993781842176	174.074689	-10.906508	 0.0071	-0.0291	0.9833	-15.224	-0.0437	0.3938	0.3232	0.2184	-0.1252	18.6409	1.8088	0.8641	3	0.00000
3586877998077348480	174.071150	-10.898687	 0.0036	-0.0212	2.0265	-17.024	9.3588	0.4659	0.4082	0.2882	-0.1089	19.2212	2.4992	1.425	3	0.00000
3586878066796071424	174.065842	-10.889655	-0.0016	-0.0122	0.4701	-11.519	-1.3604	0.5697	0.4670	0.3163	0.0426	19.5671	1.9944	4.109	2	0.00000
3586878101155810816	174.085482	-10.888078	 0.0177	-0.0106	1.3648	-3.3377	-2.9432	0.8390	0.7035	0.5554	-0.1113	19.7418	2.0206	1.548	0	0.00000
3586875073204079488	174.106807	-10.909072	 0.0386	-0.0316	0.1600	-1.6421	-2.9871	0.4321	0.3893	0.2523	0.1004	19.2191	0.6583	0.7761	3	0.00000
3586879063228620288	174.023476	-10.878274	-0.0432	-0.0008	0.9796	-6.5305	-7.6736	1.4577	1.1649	0.8632	-0.0112	20.5090	2.4035	0.7328	0	0.00000
3586879058933750784	174.018624	-10.869527	-0.0480	 0.0079	0.1465	-15.490	-1.4311	0.1378	0.1100	0.0885	-0.2457	17.4478	0.7611	0.7659	3	0.00000
3586879166308434432	174.022901	-10.859637	-0.0438	 0.0178	1.0486	-26.322	-0.2854	0.0469	0.0400	0.0321	-0.0947	15.5406	1.0528	0.7555	3	0.00000
3586879097588957824	174.030372	-10.860820	-0.0365	 0.0166	1.1902	-5.1677	1.3964	0.0260	0.0256	0.0199	-0.2993	10.5716	1.2999	0.7282	1	0.00000
3586878268659758592	174.056513	-10.884319	-0.0108	-0.0069	-0.5807	-2.7348	0.9767	1.6659	1.7834	1.0422	-0.0523	20.7066	0.9998	3.84	2	0.96514
3586878272954502144	174.057366	-10.880250	-0.0100	-0.0028	0.0561	-0.5639	-0.3643	0.6084	0.4739	0.3747	-0.0693	19.6234	1.0993	5.533	0	0.99925
3586878376034471296	174.057910	-10.874258	-0.0094	 0.0032	-0.1603	-0.0796	-0.1034	0.3524	0.2710	0.2141	-0.1525	18.9570	1.2698	5.89	3	0.99994
3586878371738980096	174.062208	-10.873088	-0.0052	 0.0044	-3.1311	-1.6205	0.6497	2.7390	2.1511	1.7231	-0.2707	20.5012	0.9526	9.837	0	0.99583
3586878440458461952	174.048515	-10.865565	-0.0186	 0.0119	0.0883	-0.4699	-0.4409	0.7046	0.5100	0.4218	-0.1117	19.8845	0.9629	1.359	2	0.99187
3586879200667441280	174.046552	-10.859427	-0.0206	 0.0180	0.4410	2.8877	5.2448	0.7611	0.6326	0.4375	-0.0315	20.0131	1.9520	0.9642	2	0.00000
3586878444753197056	174.054827	-10.864301	-0.0124	 0.0131	2.6384	8.2566	-4.6745	0.7105	0.5284	0.3379	0.0424	19.2605	2.0822	1.986	0	0.00000
3586878066796205696	174.066221	-10.884411	-0.0013	-0.0070	5.1654	-2.5710	0.0258	2.4261	2.9502	1.6690	-0.4319	20.6956	0.8309	9.371	0	0.98497
3586878272954635392	174.062656	-10.880640	-0.0048	-0.0032	-2.9099	0.6282	0.9033	1.7092	1.2157	1.1232	-0.2150	20.7192	0.7591	11.65	0	0.99867
3586878371738977024	174.066426	-10.878900	-0.0011	-0.0015	-0.0537	0.2483	-0.1253	0.4179	0.3378	0.2860	-0.2338	19.2680	1.2083	20.85	3	0.99997
3586878376033754112	174.068138	-10.879259	 0.0006	-0.0018	-1.4078	-1.3309	-0.4704	0.8310	0.7210	0.5711	-0.2039	20.1593	0.9428	20.5	3	0.99923
3586878371738976896	174.068943	-10.879726	 0.0014	-0.0023	-0.3544	0.0406	0.5598	0.5086	0.7406	1.1245	-0.8684	19.1708	nan	18.39	0	0.99983
3586878376033717888	174.069253	-10.879595	 0.0017	-0.0022	-1.2808	1.3168	-8.0845	0.4247	0.3404	0.2743	-0.2167	18.8780	0.7010	18.21	0	0.00000
3586878165580546432	174.071993	-10.879566	 0.0044	-0.0021	0.5012	-1.3923	-8.3508	0.4011	0.3098	0.2501	-0.1726	19.0757	0.5904	13.27	3	0.00000
3586878376033718656	174.070489	-10.876561	 0.0029	 0.0009	-0.2495	0.5930	0.4087	0.7105	0.5817	0.4095	-0.0583	19.9102	1.2504	17.42	3	0.99977
3586878165580547840	174.081642	-10.877046	 0.0139	 0.0004	0.5659	-2.1162	-3.7622	0.4017	0.3097	0.2777	-0.2438	19.1788	0.6959	3.298	3	0.00000
3586878204235779968	174.083881	-10.877381	 0.0161	 0.0001	0.1971	0.0962	-0.1669	0.2036	0.1846	0.1606	-0.3850	18.2076	1.5429	2.495	3	0.99923
3586878371738982144	174.063866	-10.870191	-0.0036	 0.0073	-0.7200	4.2100	9.8884	0.6227	0.5121	0.4876	-0.4437	18.2991	2.4706	7.951	0	0.00000
3586878376033849088	174.068070	-10.869463	 0.0006	 0.0080	-0.5382	-1.1833	1.3986	2.3469	1.7309	0.9155	0.0088	20.6748	1.0538	8.061	0	0.99126
3586878371738980864	174.069403	-10.871918	 0.0019	 0.0055	0.1659	0.1876	-2.0259	1.5510	1.4925	1.1651	-0.0843	20.6910	0.6635	11.46	2	0.99467
3586878474818203776	174.069106	-10.859938	 0.0016	 0.0175	0.9172	-10.298	-3.0012	0.6542	0.5033	0.3966	-0.1695	19.8083	2.1972	2.102	2	0.00000
