# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4053978987454935424	266.841351	-33.090239	-0.0223	-0.0247	0.7341	-4.1208	-2.3026	0.5011	0.5162	0.3353	-0.2696	19.4083	2.7864	134.6	0	0.00000
4053978987456413696	266.841034	-33.089409	-0.0225	-0.0239	2.2122	-4.1420	-0.3788	1.4771	2.3116	1.1672	0.2053	20.5444	nan	134.8	0	0.00000
4053978987454931328	266.841029	-33.088756	-0.0225	-0.0232	-0.1305	-4.5298	-6.8699	0.5599	0.6113	0.3936	-0.3230	19.4636	3.1151	135.1	0	0.00499
4053978983128633088	266.837887	-33.086214	-0.0252	-0.0207	-0.4990	-4.4700	-2.1864	0.2707	0.2880	0.1823	-0.3139	18.5544	3.4024	135	2	0.00000
4053978987456417536	266.838669	-33.087823	-0.0245	-0.0223	1.8479	6.3371	-3.0032	0.8917	1.2475	0.7815	0.1747	20.0826	2.8964	134.7	2	0.00000
4053978987456419328	266.838740	-33.085629	-0.0244	-0.0201	-1.9302	1.1995	-3.0553	1.0433	1.4857	0.8612	0.2809	20.1943	2.5502	135.4	2	0.00000
4053978987454925184	266.839733	-33.086098	-0.0236	-0.0205	0.4724	-0.7127	-3.4798	0.6417	0.7156	0.4750	-0.1741	19.7730	2.6359	135.6	0	0.00000
4053978983128072064	266.836855	-33.085397	-0.0260	-0.0198	0.0521	-5.3937	-7.7670	0.3266	0.3477	0.2212	-0.3108	18.7534	3.3162	134.9	0	0.17673
4053978987454927616	266.837240	-33.084928	-0.0257	-0.0194	-2.0514	-1.0364	-6.8432	0.8614	0.8714	0.5468	-0.4739	19.6223	nan	135.1	0	0.00000
4053979056174402048	266.836531	-33.083938	-0.0263	-0.0184	-0.5540	-1.1714	-6.9098	0.8238	0.8652	0.5520	-0.2776	19.9131	2.4400	135.2	0	0.00006
4053979056175393152	266.835118	-33.083201	-0.0275	-0.0177	-2.2680	-10.317	-10.176	1.7966	2.9392	1.4438	0.2036	20.8243	2.0521	134.9	0	0.12726
4053978983143615232	266.840169	-33.084598	-0.0232	-0.0190	0.8360	-0.6193	-7.4517	1.1341	1.4569	0.9188	-0.1101	20.4081	2.8218	136.2	0	0.01868
4053978987454910976	266.840922	-33.084302	-0.0226	-0.0188	1.6849	-1.0866	0.4423	0.3139	0.3346	0.2111	-0.2980	18.6905	3.1540	136.6	0	0.00000
4053978987454908032	266.840579	-33.083605	-0.0229	-0.0181	-0.7941	-4.8544	-4.0469	0.6390	0.6970	0.4513	-0.2449	19.4850	3.2219	136.7	0	0.00000
