# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4062732917006676352	270.433332	-27.852424	-0.0188	-0.0266	0.6989	-3.5878	-5.4310	0.2070	0.2488	0.1713	0.1401	18.4218	2.5400	174.6	0	0.00000
4062732916781899264	270.431444	-27.850900	-0.0205	-0.0251	0.2545	-0.4415	-5.4768	0.0700	0.0876	0.0605	-0.0166	14.4067	5.2120	174.5	1	0.00000
4062732921062635776	270.432235	-27.850963	-0.0198	-0.0251	0.1956	-4.4614	-2.7084	0.0894	0.1116	0.0762	0.0114	16.3851	2.4270	174.5	0	0.00000
4062732921062639616	270.427213	-27.848543	-0.0242	-0.0227	0.0564	-4.1017	-6.9956	0.1359	0.1674	0.1146	0.1718	17.7566	1.9806	174.7	0	0.00000
4062732921062636672	270.428425	-27.848471	-0.0231	-0.0226	0.6606	-1.5456	-6.1342	0.1543	0.2042	0.1359	0.1584	17.9335	1.4049	174.6	0	0.00000
4062732916781890688	270.429647	-27.848034	-0.0220	-0.0222	0.1160	-7.5527	-3.0575	0.0573	0.0722	0.0509	0.0589	16.0651	2.5350	174.3	1	0.00000
4062732921062635392	270.430721	-27.849901	-0.0211	-0.0241	-0.0979	-3.2278	-5.7860	0.1205	0.1421	0.1007	0.0950	17.3899	2.2505	174.5	0	0.00000
4062732921062630912	270.431863	-27.849402	-0.0201	-0.0236	0.1592	-4.2027	-10.702	0.1196	0.1543	0.1072	0.0418	17.6105	2.2308	174.3	0	0.00000
4062732916787759616	270.431915	-27.850055	-0.0200	-0.0242	0.9921	-1.0499	-1.3692	0.3384	0.3957	0.2592	-0.1705	18.8224	nan	174.4	0	0.00000
4062732921120671744	270.433274	-27.849988	-0.0188	-0.0242	1.0383	6.3561	3.0327	0.3000	0.3967	0.2402	0.1190	17.5073	1.7060	174.2	0	0.00000
4062732921062631936	270.430444	-27.848871	-0.0213	-0.0230	0.0786	-5.2082	-7.3444	0.3215	0.4044	0.2619	0.1789	18.3013	nan	174.4	0	0.00000
4062732921062632064	270.430378	-27.848591	-0.0214	-0.0228	-0.3468	-4.7731	-6.6764	0.4101	0.5132	0.3567	0.0295	17.6241	2.1359	174.3	0	0.00000
4062732921062627712	270.431793	-27.848851	-0.0202	-0.0230	1.1374	-0.9977	-2.2536	0.3823	0.5956	0.3391	0.3878	18.9453	nan	174.2	0	0.00064
