# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
6719610891635023360	272.227333	-46.419193	-0.0329	 0.0041	0.2890	3.3135	-1.1229	0.8282	0.9753	0.6852	0.0326	20.2774	0.8525	33.28	2	0.00011
6719610891640963200	272.231605	-46.413428	-0.0299	 0.0099	1.7739	-0.1384	-14.283	0.0177	0.0191	0.0140	0.2905	13.2971	0.8571	34.49	3	0.00000
6719610891640962816	272.232815	-46.412934	-0.0291	 0.0104	1.2796	4.9725	-27.051	0.0567	0.0578	0.0438	0.2435	15.4521	1.2367	34.97	1	0.00000
6719610887328185344	272.228048	-46.417196	-0.0324	 0.0061	0.3935	1.2749	-2.1258	0.1304	0.1446	0.1096	0.0870	17.7279	0.9310	33.41	3	0.00000
6719610887341502720	272.228057	-46.418897	-0.0324	 0.0044	0.2737	1.2957	-4.5394	0.3839	0.4421	0.3355	0.0100	19.4841	1.6943	33.62	2	0.00000
6719610887328799360	272.233834	-46.417049	-0.0284	 0.0063	0.7124	-3.1355	-6.9622	0.2304	0.2762	0.1963	0.3211	18.6822	1.1481	36.42	3	0.00000
6719610887328799488	272.231811	-46.417379	-0.0298	 0.0059	0.0009	-5.0353	-5.0178	0.1741	0.2038	0.1494	0.2646	18.2489	0.9772	35.38	3	0.00000
6719610891627138944	272.227090	-46.421997	-0.0330	 0.0013	0.1722	-3.3532	-5.1088	0.3198	0.3747	0.2708	0.0767	19.1478	nan	33.33	0	0.00000
6719610891627138176	272.227983	-46.421825	-0.0324	 0.0015	0.8949	-6.9292	-14.354	0.2930	0.3722	0.2605	0.2191	18.9481	nan	33.78	0	0.00000
6719599136297655552	272.227995	-46.422482	-0.0324	 0.0008	0.4019	-0.0666	-8.0366	0.1421	0.1517	0.1093	0.2134	17.7639	1.1467	33.81	3	0.00000
6719599140596614528	272.229390	-46.422182	-0.0314	 0.0011	-0.3622	-1.7142	-5.7522	0.4031	0.4593	0.3315	0.0256	19.4579	nan	34.53	0	0.00000
6719599136298272512	272.229224	-46.422794	-0.0316	 0.0005	0.2560	1.1024	-2.9065	0.1540	0.1737	0.1273	0.0867	17.9794	1.1386	34.45	3	0.00000
6719599140604491136	272.231879	-46.420855	-0.0297	 0.0025	-1.7509	4.4552	-6.9439	1.4405	1.4410	1.1245	0.1116	20.5579	1.4238	35.81	0	0.00002
6719599140610437632	272.230216	-46.424926	-0.0309	-0.0016	0.5445	-0.1970	-2.0739	0.0238	0.0253	0.0185	0.2258	14.0264	0.8217	34.95	3	0.00000
6719599140596608256	272.229896	-46.426191	-0.0311	-0.0029	0.0528	-1.1671	-4.5082	0.2445	0.2733	0.1968	0.1924	18.8167	1.0529	34.71	1	0.00000
6719599140604485760	272.231826	-46.423002	-0.0298	 0.0003	-0.1049	-5.3768	-1.0537	1.4801	1.6149	1.4576	0.3941	20.6147	1.0227	35.86	3	0.00081
6719599140602080384	272.229735	-46.428181	-0.0312	-0.0049	0.1842	0.3883	-7.7447	1.2040	1.7205	1.0116	0.3759	20.6906	1.2653	34.44	2	0.00000
6719599136298265856	272.228973	-46.429628	-0.0317	-0.0063	0.0475	2.2611	-8.9211	0.1378	0.1497	0.1085	0.1897	17.8949	0.9617	33.86	3	0.00000
6719599140602066688	272.228724	-46.431576	-0.0319	-0.0083	0.6197	-3.7769	-3.9662	0.8579	0.9863	0.7285	0.0079	20.4555	1.4306	33.41	0	0.00170
6719599140602059520	272.233364	-46.431005	-0.0287	-0.0077	-0.9347	-4.3057	-6.1745	1.0874	1.3814	0.9491	0.2469	20.5818	0.9646	35.9	2	0.00029
6719599067579251328	272.233927	-46.431820	-0.0283	-0.0085	-0.1998	-3.5888	-8.6893	0.2423	0.2686	0.1949	0.1794	18.7852	0.9826	36.02	3	0.00000
6719599067579250944	272.232362	-46.432455	-0.0294	-0.0091	0.7447	-5.8917	-4.8797	0.2885	0.3280	0.2338	0.2361	18.7640	1.0817	35.06	1	0.00000
6719599071882560384	272.231916	-46.435990	-0.0297	-0.0127	0.2303	-2.0487	2.0629	0.7979	0.9784	0.6825	0.2068	20.3383	2.0098	33.91	2	0.00000
6719599067578160512	272.235263	-46.435583	-0.0274	-0.0123	0.3284	0.3542	-1.3268	0.0756	0.0816	0.0595	0.1717	16.8021	1.1059	35.67	3	0.00000
6719599071877111424	272.233444	-46.437295	-0.0286	-0.0140	0.1142	-6.7851	0.2983	0.7653	0.8539	0.5946	0.2924	20.1546	2.3314	34.22	2	0.00000
6719610990408030976	272.250123	-46.395880	-0.0172	 0.0275	0.1793	-8.4525	-5.7300	0.1919	0.2195	0.1581	0.2252	18.4457	0.9281	33.84	3	0.00000
6719610994711908480	272.251833	-46.395223	-0.0160	 0.0281	0.0630	-4.4693	-5.5356	0.7704	1.0217	0.6362	0.1359	20.2490	1.2147	33.87	2	0.00000
6719610994711909248	272.255172	-46.393239	-0.0137	 0.0301	0.4759	-0.3316	-3.9950	0.8891	1.0021	0.6735	0.0654	20.2777	2.4043	33.33	0	0.03336
6719610921689016192	272.255160	-46.395469	-0.0137	 0.0279	1.4507	8.3976	2.3646	0.3695	0.4269	0.3026	0.1484	19.3264	2.4466	34.85	2	0.00000
6719610925986874624	272.261103	-46.395693	-0.0096	 0.0276	0.4722	1.8103	-4.1735	0.2348	0.2721	0.1961	0.2610	18.8508	0.9132	36.27	3	0.00000
6719610960352169088	272.238264	-46.402522	-0.0253	 0.0208	2.6841	-3.1243	-1.4691	1.0518	1.3703	0.9198	0.5230	20.3261	1.0595	33.53	2	0.00162
6719610960352166144	272.238857	-46.402969	-0.0249	 0.0204	-0.0009	0.6923	-0.2570	0.9896	1.3116	0.9375	0.2173	20.5732	1.2568	33.98	2	0.01687
6719610891632683008	272.240653	-46.403650	-0.0237	 0.0197	1.2092	-4.5163	-10.358	0.7876	0.8691	0.5837	0.1437	20.1901	1.2491	35.05	2	0.00000
6719610960352169472	272.243397	-46.399708	-0.0218	 0.0236	-0.6835	-1.1832	-1.6663	0.8349	0.8744	0.5862	0.0275	20.2348	0.9438	34.01	2	0.08494
6719610960360440576	272.241716	-46.401589	-0.0230	 0.0217	1.2550	-10.861	-0.0853	0.4422	0.4506	0.3233	0.0681	19.5330	1.8632	34.41	2	0.00000
6719610887328811776	272.244967	-46.402239	-0.0207	 0.0211	0.3042	-2.3196	-3.8203	0.1930	0.1974	0.1470	0.2214	18.1870	0.9969	36.02	3	0.00000
6719610887341504512	272.237211	-46.405050	-0.0261	 0.0183	1.5355	-1.8965	-6.5786	0.3456	0.3836	0.2804	0.0568	19.2828	1.0042	34.25	3	0.00000
6719610891627148800	272.234915	-46.407605	-0.0276	 0.0157	0.1948	-1.1982	-2.6634	0.2507	0.2814	0.2009	0.1664	18.8482	1.0384	34.27	3	0.32959
6719610891627146752	272.236492	-46.408793	-0.0266	 0.0145	1.0042	1.4329	-2.9088	0.8042	0.8413	0.5713	0.1542	20.1944	1.4815	35.46	2	0.02298
6719610887329266944	272.235614	-46.410330	-0.0272	 0.0130	0.1389	-2.1703	-6.5320	0.2895	0.3154	0.2295	0.2222	18.9039	0.9924	35.59	3	0.00000
6719610891627145344	272.234606	-46.411116	-0.0279	 0.0122	-0.5628	-1.7788	-0.6054	0.6720	0.6900	0.4832	0.0633	19.9476	1.1195	35.35	1	0.00027
6719610887328197120	272.240529	-46.408887	-0.0238	 0.0144	0.3650	1.6091	-1.6043	0.1634	0.1990	0.1473	0.4027	18.0925	1.3330	37.46	3	0.00000
6719610891627144320	272.243119	-46.404581	-0.0220	 0.0187	0.9569	-0.8517	-4.8020	0.6629	0.7051	0.4826	0.2522	19.9836	2.1349	36.56	2	0.00012
6719610887329613312	272.241867	-46.407575	-0.0228	 0.0158	0.5003	-2.2988	-7.2074	0.2687	0.3146	0.2316	0.3084	18.9189	1.4633	37.51	2	0.00000
6719610891632654848	272.244373	-46.408159	-0.0211	 0.0152	0.4498	-4.4913	-4.2563	0.6496	0.7199	0.4882	0.1173	20.0419	1.1188	39.05	2	0.00000
6719610887328807296	272.242398	-46.410050	-0.0225	 0.0133	0.1708	-2.4637	0.9127	0.1228	0.1367	0.1005	0.2466	17.5233	1.2031	38.96	1	0.00000
