# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5237116961371897856	169.975721	-65.196037	 0.0215	 0.0237	1.0750	-3.7487	1.5347	1.2498	1.4427	1.1811	0.0352	20.6644	1.0622	69.74	2	0.06329
5237116961378287104	169.970156	-65.192929	 0.0191	 0.0268	1.8050	-12.410	4.1503	0.0254	0.0277	0.0290	0.2018	15.4977	1.4787	59.1	3	0.00000
5237116961368854656	169.968462	-65.192110	 0.0184	 0.0276	0.4892	-9.4054	1.0769	0.2333	0.2574	0.2440	0.1327	19.1724	2.2517	56.25	0	0.00000
5237116961368850304	169.966056	-65.192326	 0.0174	 0.0274	0.2581	-4.8513	1.7656	0.2053	0.2328	0.2136	0.0877	19.1483	1.5150	64.12	3	0.00107
5237116961370876416	169.975255	-65.194760	 0.0213	 0.0250	-1.6964	-2.5853	1.7583	1.1678	1.3020	1.0343	-0.0703	20.6621	1.6330	60.49	2	0.09237
5237116957063159552	169.973321	-65.194850	 0.0204	 0.0249	-0.1601	-6.1826	0.6484	0.2907	0.3368	0.3037	0.1767	19.4139	1.6583	67.02	0	0.00000
5237116961378286848	169.969689	-65.193524	 0.0189	 0.0262	0.7572	-5.0910	2.7948	0.2797	0.3078	0.2824	0.1434	19.5011	1.5449	65.66	0	0.00000
5237116961368857344	169.971085	-65.194536	 0.0195	 0.0252	0.0471	-4.5370	0.2521	0.2994	0.3484	0.2999	0.1392	19.6402	1.6419	70.82	2	0.00405
5237116961368859776	169.973718	-65.195914	 0.0206	 0.0238	1.1236	-2.7804	1.9921	0.2268	0.2623	0.2314	0.1721	19.2522	1.7960	74.83	3	0.00000
5237116961368840448	169.961786	-65.194975	 0.0156	 0.0247	0.0645	-5.7396	-0.0733	0.1695	0.1883	0.1743	0.1041	18.8453	1.6758	88.35	3	0.00000
5237116961368818176	169.941858	-65.188008	 0.0072	 0.0317	0.1703	-4.5719	-1.0333	0.5951	0.6962	0.7681	0.1006	19.3544	1.5604	63.22	0	0.02139
5237116961378277376	169.941431	-65.188136	 0.0071	 0.0316	-0.4247	-5.6391	1.6999	0.4183	0.4296	0.3777	-0.0557	19.6455	nan	65.05	0	0.00377
5237116957053548928	169.961763	-65.191700	 0.0156	 0.0280	0.1891	-4.5568	1.8086	0.1079	0.1230	0.1160	0.1257	18.1875	1.4682	68.41	3	0.00000
5237116961370040192	169.960370	-65.192052	 0.0150	 0.0277	1.2851	-4.3480	1.4706	0.9120	1.1288	0.9463	0.0249	20.5690	nan	74.92	0	0.05929
5237116961368841856	169.960542	-65.192572	 0.0151	 0.0271	-1.0264	-8.2546	1.7828	0.6090	0.7193	0.5923	-0.1988	20.2759	1.5455	79.22	2	0.00000
5237116957053547904	169.950423	-65.190790	 0.0108	 0.0289	0.4060	-2.0241	1.8154	0.1924	0.2103	0.1997	0.1325	18.9304	1.4694	80.75	1	0.00000
5237116961368825216	169.948997	-65.191350	 0.0102	 0.0284	-0.4098	-5.9084	-0.5790	0.6935	0.9033	0.6795	-0.1761	20.4639	1.6348	86.25	0	0.00523
5237116961368833536	169.956320	-65.193215	 0.0133	 0.0265	-0.1719	-4.6017	2.2534	0.4352	0.5014	0.4295	0.0240	19.9928	1.6857	88.2	0	0.07996
5237116961368831360	169.955164	-65.193290	 0.0128	 0.0264	0.6789	-8.5261	2.2620	0.4808	0.6175	0.4992	-0.2166	20.1438	1.2627	88.45	2	0.00000
5237116961371964288	169.959934	-65.194393	 0.0148	 0.0253	-0.4750	-2.8803	-0.4413	1.6407	1.4191	1.8087	-0.0444	20.7258	1.9330	88.44	2	0.08544
5237116961368832640	169.956755	-65.194196	 0.0135	 0.0255	0.0998	-6.5813	2.9054	0.2148	0.2386	0.2181	0.1351	19.1899	1.5241	87.17	2	0.00000
5237116957053544960	169.953347	-65.192982	 0.0121	 0.0267	0.0307	-4.6254	0.6595	0.1313	0.1482	0.1393	0.1336	18.3874	1.5757	88.43	3	0.00001
5237116961368825472	169.950733	-65.193312	 0.0110	 0.0264	-0.3079	-10.722	-0.2075	0.7375	1.0379	0.8369	-0.3774	20.4813	2.4865	85.49	0	0.00000
5237116961372100224	169.946312	-65.193265	 0.0091	 0.0265	1.3356	-3.7199	2.9024	1.2157	2.5600	1.9822	-0.1719	20.7434	1.2568	79.67	2	0.04910
5237116957053543936	169.946565	-65.194200	 0.0092	 0.0255	0.3572	-7.5602	6.1230	0.1544	0.1752	0.1645	0.0607	18.6886	1.6115	71.08	0	0.00000
5237116961368816640	169.945799	-65.194468	 0.0089	 0.0253	1.1167	2.6124	0.6891	0.2292	0.2582	0.2499	-0.0789	19.2043	nan	68.52	0	0.00000
5237116961370874752	169.946231	-65.190376	 0.0091	 0.0293	0.8886	-4.1662	2.2050	0.8431	1.2063	0.9685	-0.3201	20.6086	2.1419	82.31	2	0.06804
5237116961368815104	169.940992	-65.189046	 0.0069	 0.0307	0.3170	-4.8559	1.7526	0.5804	0.7903	0.6583	-0.2261	20.2983	1.1677	75.34	1	0.07017
