# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5203321478601832448	140.535463	-77.278544	 0.0656	 0.0032	1.1253	-11.980	3.2010	0.0130	0.0150	0.0156	0.0686	14.1108	1.0689	5.6	3	0.00000
5203315598789110016	140.523641	-77.282657	 0.0629	-0.0009	0.3299	-3.4346	3.1326	0.1256	0.1452	0.1507	-0.0606	18.5844	1.2359	6.037	3	0.00000
5203315603083340544	140.524043	-77.283793	 0.0630	-0.0021	0.3684	-3.0370	6.8050	0.2822	0.3155	0.3239	-0.0692	19.7287	1.0738	6.018	3	0.95865
5203315603086568832	140.517672	-77.283594	 0.0616	-0.0019	0.2500	-3.8881	4.7953	0.1061	0.1232	0.1258	-0.0550	18.3028	1.3507	6.26	3	0.00000
5203315534367089792	140.528855	-77.299714	 0.0640	-0.0180	1.3182	1.8110	2.7960	0.2920	0.3341	0.3298	-0.0833	19.7177	2.0000	5.47	2	0.00000
5203315568727209984	140.500462	-77.299487	 0.0577	-0.0177	-0.4921	-2.8833	7.3093	0.6792	0.7444	0.7328	0.0398	20.5289	1.0422	6.48	2	0.95625
5203315564429334912	140.484706	-77.298043	 0.0543	-0.0163	0.1181	-3.2801	4.2410	0.4427	0.5959	0.5279	0.1984	20.2928	1.0413	7.204	2	0.00004
5203315568727172480	140.478309	-77.296296	 0.0529	-0.0145	0.1081	-2.0306	8.0263	0.4493	0.5656	0.5299	0.0266	20.3250	1.2668	7.597	2	0.90647
5203315564432734592	140.467881	-77.293630	 0.0506	-0.0118	-1.8049	-9.4779	7.1922	1.1914	1.6991	1.3370	0.6063	20.8672	0.8455	8.277	0	0.00013
5203321474304396544	140.518045	-77.273153	 0.0617	 0.0086	0.0894	-2.7115	6.9886	0.0728	0.0859	0.0875	-0.0166	17.6286	1.4069	6.139	3	0.99976
5203324429241917184	140.501071	-77.264530	 0.0580	 0.0172	3.0701	5.4486	9.3928	0.1649	0.1901	0.1899	0.0001	18.9532	3.0190	6.455	3	0.00000
5203324429241917056	140.499016	-77.266077	 0.0576	 0.0157	-0.3444	-3.2348	7.0277	0.2128	0.2451	0.2466	-0.0608	19.3219	1.0921	6.615	3	0.97603
5203324429241916928	140.494344	-77.267236	 0.0565	 0.0145	0.2357	0.9710	5.9774	0.1082	0.1280	0.1299	-0.0467	18.3668	1.3350	6.862	3	0.00000
