# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4899320944610048000	 66.165858	-21.243231	-0.0182	-0.0563	1.7875	-4.3055	-3.1910	0.0239	0.0217	0.0247	-0.2332	14.9156	1.1583	1.142	3	0.00000
4899321696227827712	 66.160980	-21.238028	-0.0228	-0.0511	0.4113	1.4066	1.7491	0.2166	0.1762	0.2081	-0.2290	19.0026	1.1102	1.143	3	0.00000
4899321971105749248	 66.135792	-21.212706	-0.0463	-0.0258	1.9946	15.7040	23.6048	0.2433	0.1966	0.2403	-0.2238	19.0342	2.3808	1.084	0	0.00000
4899321971105751680	 66.136181	-21.209369	-0.0459	-0.0224	0.9562	1.0677	-11.060	0.4915	0.3767	0.4802	-0.2198	20.1140	1.1149	1.04	2	0.00000
4899324999059085440	 66.118700	-21.193841	-0.0622	-0.0069	5.9135	38.2626	-110.48	0.0239	0.0199	0.0251	-0.3446	14.8813	2.1129	1.025	1	0.00000
4899325033418822784	 66.123706	-21.185085	-0.0575	 0.0018	0.3333	2.4849	0.4857	0.0550	0.0456	0.0530	-0.3514	16.7096	0.7004	1.154	3	0.00000
4899322044120213120	 66.128900	-21.194020	-0.0527	-0.0071	1.3225	12.0170	-3.8804	1.1957	1.7184	1.7432	-0.1504	20.7578	1.6969	1.089	0	0.00000
4899321803603416576	 66.155022	-21.216373	-0.0283	-0.0294	1.3210	3.8736	-6.0774	0.0176	0.0161	0.0179	-0.3357	14.2459	0.7775	1.315	3	0.00000
4899321799307054848	 66.159254	-21.214873	-0.0244	-0.0279	-0.9586	1.6203	1.4125	0.7666	0.6678	0.7351	-0.1726	20.5112	1.4609	1.593	2	0.44381
4899320940313584000	 66.167517	-21.235052	-0.0167	-0.0481	0.9500	5.9083	-6.6609	0.1701	0.1412	0.1668	-0.2413	18.5639	2.0796	1.036	2	0.00000
4899321696227832832	 66.160313	-21.226278	-0.0234	-0.0393	0.5602	-1.8979	-2.6422	0.2661	0.2160	0.2763	-0.1523	19.2808	1.9040	1.038	2	0.00000
4899321734883938560	 66.166813	-21.216900	-0.0173	-0.0300	1.3276	3.1559	1.4121	0.4329	0.3711	0.4546	-0.1088	19.8276	2.5111	1.718	2	0.00000
4899322074184973440	 66.137614	-21.199959	-0.0446	-0.0130	0.3895	5.1218	-1.0162	0.3251	0.2474	0.3138	-0.2097	19.6220	0.7964	1.021	3	0.00000
4899322383422621440	 66.166560	-21.195161	-0.0176	-0.0082	-0.0247	-0.1063	-0.2757	0.5385	0.3672	0.5165	-0.1404	20.1575	1.1236	2.612	3	0.99899
4899322177264185856	 66.177942	-21.202587	-0.0070	-0.0156	0.0009	0.4939	-0.1413	0.2089	0.1686	0.2039	-0.1241	18.9562	1.3272	2.495	3	0.99998
4899322215920274048	 66.178382	-21.195930	-0.0066	-0.0090	0.5890	0.5877	-0.3305	0.2059	0.1680	0.2113	-0.1536	18.9864	1.2742	6.345	3	0.99986
4899325097841964160	 66.118669	-21.177596	-0.0622	 0.0093	1.0208	2.6168	-1.9261	0.7289	0.5388	0.8403	-0.3345	20.4152	0.5781	1.008	3	0.00273
4899325475799094400	 66.127304	-21.167833	-0.0542	 0.0191	1.0980	3.6458	8.0377	0.3572	0.2749	0.3349	-0.2101	19.5962	1.9508	1.154	3	0.00000
4899325480095969280	 66.131024	-21.156047	-0.0507	 0.0309	1.9178	29.0294	-43.570	0.4562	0.3206	0.4185	-0.2162	20.0078	2.2649	1.138	0	0.00000
4899325411375942784	 66.137750	-21.164358	-0.0445	 0.0226	1.7941	37.4023	-21.650	0.3766	0.3173	0.3620	-0.3145	19.3629	2.1801	1.017	0	0.00000
4899325445735680512	 66.149736	-21.167067	-0.0333	 0.0199	0.8591	3.9769	-4.9680	0.0551	0.0467	0.0534	-0.3059	16.7288	1.2523	1.475	3	0.00000
4899322417782365952	 66.162910	-21.183659	-0.0210	 0.0033	0.2306	-0.0014	0.5953	0.5895	0.4072	0.5518	-0.1854	20.1911	0.9291	2.532	2	0.99694
4899322417782472832	 66.167144	-21.184664	-0.0170	 0.0023	0.3948	1.0704	-0.5292	0.5153	0.3819	0.5491	-0.3134	20.1376	0.7462	2.497	3	0.99929
4899322417782366848	 66.165947	-21.183363	-0.0182	 0.0036	-0.0054	0.6146	-0.1766	0.1791	0.1316	0.1705	-0.2676	18.6450	1.2703	2.57	3	0.99997
4899322417782364416	 66.175058	-21.187552	-0.0097	-0.0006	0.5952	0.7879	-0.4385	0.4509	0.3351	0.4421	-0.1659	20.1082	0.9445	10.82	3	0.99992
4899322215920273408	 66.182387	-21.191936	-0.0028	-0.0050	0.2073	0.2241	-0.2164	0.4434	0.3511	0.4368	-0.1424	20.1035	0.9805	33.54	3	0.99998
4899322211626398848	 66.182387	-21.188322	-0.0028	-0.0014	0.9714	1.1141	-0.4037	0.4744	0.3643	0.5023	-0.1011	20.0894	0.8694	38.76	3	0.99981
4899322422078703744	 66.172832	-21.183763	-0.0117	 0.0032	0.1791	7.3636	-3.8860	0.0185	0.0158	0.0184	-0.3187	14.4291	0.8110	4.509	3	0.00000
4899322211623937536	 66.181197	-21.184748	-0.0039	 0.0022	0.2794	0.5567	-0.4836	0.1213	0.0938	0.1180	-0.2259	18.0445	1.4104	37.83	3	1.00000
4899322417782375808	 66.170308	-21.172522	-0.0141	 0.0144	1.9198	-5.8981	-22.892	0.1766	0.1432	0.1717	-0.2425	18.6393	2.6376	2.612	3	0.00000
4899322486501853440	 66.168470	-21.170397	-0.0158	 0.0165	0.0999	-0.1403	-0.3252	0.6116	0.4074	0.5584	-0.1725	20.2533	1.1976	2.297	2	0.99795
4899322417782369792	 66.173367	-21.179555	-0.0112	 0.0074	0.0144	0.4004	-0.3536	0.1491	0.1191	0.1446	-0.2653	18.3822	1.2925	3.243	3	1.00000
4899322520861589376	 66.182947	-21.174185	-0.0023	 0.0128	0.1227	0.4816	-0.1861	0.1135	0.0927	0.1075	-0.2874	17.9884	1.3888	3.61	3	1.00000
4899325441439363712	 66.150517	-21.155598	-0.0325	 0.0313	-0.1065	0.2896	0.3873	0.3511	0.2628	0.3306	-0.1953	19.7102	0.7537	1.058	3	0.98210
4899325617532966912	 66.147270	-21.143346	-0.0356	 0.0436	2.6565	33.9160	13.5653	0.4398	0.3225	0.4327	-0.1664	19.9882	2.3556	1.147	0	0.00000
4899322520861594624	 66.176918	-21.167280	-0.0079	 0.0197	0.1556	0.6496	-0.5632	0.3256	0.2623	0.3149	-0.2356	19.6040	1.2883	2.536	3	0.99986
4899322593877392384	 66.171048	-21.156623	-0.0134	 0.0303	2.0366	-6.9711	2.3453	0.0199	0.0166	0.0197	-0.3535	14.4959	1.0583	1.744	3	0.00000
4899325819396499328	 66.142514	-21.134588	-0.0400	 0.0523	0.1190	2.1284	-2.6113	0.0427	0.0357	0.0418	-0.3191	16.2807	1.0273	0.8556	3	0.00000
4899325583174628864	 66.172317	-21.141838	-0.0122	 0.0451	0.5097	1.3945	-2.8658	0.4070	0.3189	0.4101	-0.1905	19.9963	0.6867	1.015	3	0.00000
4899331458688472704	 66.180687	-21.140134	-0.0044	 0.0468	4.3127	9.2036	15.7718	0.0171	0.0154	0.0189	-0.4241	10.9923	0.6975	1.01	1	0.00000
4899331458688463360	 66.178307	-21.128315	-0.0066	 0.0586	0.0574	1.6975	-5.1191	0.5577	0.4307	0.5693	-0.1326	20.2751	1.8756	1.144	2	0.00000
4899320910250217856	 66.197281	-21.246714	 0.0111	-0.0598	-0.2904	2.0359	-1.8910	0.7433	0.6644	0.8987	-0.2342	20.5584	0.4766	1.1	3	0.36385
4899321356927365504	 66.189320	-21.224951	 0.0036	-0.0380	1.2131	-3.7031	2.6443	0.0618	0.0560	0.0604	-0.2640	16.8857	1.5869	1.517	2	0.00000
4899321352630556288	 66.189960	-21.221476	 0.0042	-0.0345	-2.2804	6.4195	-3.9046	0.8975	1.2897	1.0869	-0.5155	20.6124	0.9362	1.712	3	0.00031
4899321283910972800	 66.202966	-21.225259	 0.0164	-0.0383	2.3644	-1.8266	-16.881	0.4662	0.3592	0.4165	-0.1762	19.9950	2.4556	1.256	2	0.00000
4899321112112278400	 66.224256	-21.228906	 0.0362	-0.0420	0.2252	-3.1202	0.3301	0.3089	0.2698	0.3030	-0.0750	19.5057	2.2683	1.135	2	0.00000
4899322108544700800	 66.188089	-21.214624	 0.0025	-0.0277	0.5155	5.0131	4.7756	0.3344	0.2722	0.3427	-0.1218	19.6053	1.7616	1.718	2	0.00000
4899322142906016896	 66.186530	-21.198834	 0.0010	-0.0119	0.6108	0.7974	-0.8174	0.5801	0.4180	0.5721	-0.0745	20.2904	0.8657	4.829	3	0.99974
4899322211625492736	 66.186216	-21.197326	 0.0007	-0.0104	-0.2259	0.3763	-0.2366	0.4863	0.3774	0.4741	-0.0877	20.1084	0.8007	8.234	3	0.99996
4899322211623929216	 66.185366	-21.195389	-0.0000	-0.0084	0.2413	0.6545	-0.2729	0.1907	0.1523	0.1798	-0.2028	18.6903	1.2357	16.89	3	1.00000
4899321386990192896	 66.208583	-21.216848	 0.0216	-0.0299	0.4423	1.8128	-2.6594	0.5115	0.4375	0.4730	-0.1425	20.1327	0.6047	1.605	3	0.00012
4899321391286552320	 66.207783	-21.214767	 0.0209	-0.0278	0.2519	1.4279	0.4380	0.1493	0.1209	0.1391	-0.1644	18.4842	0.8122	1.713	3	0.00000
4899321386990199296	 66.206762	-21.208315	 0.0199	-0.0214	1.7747	1.9053	-2.4144	0.2391	0.1884	0.2297	-0.1669	18.9279	2.2771	1.698	0	0.00000
4899321425646287616	 66.226070	-21.208513	 0.0379	-0.0216	-1.3565	7.7312	2.0309	1.1348	0.7402	1.2339	-0.0378	20.7503	2.2512	1.132	2	0.00000
4899321494365764096	 66.223076	-21.202706	 0.0351	-0.0158	0.0700	0.5928	-0.3813	0.0464	0.0385	0.0445	-0.3148	16.4751	1.9921	1.495	1	0.99996
4899322215918878720	 66.185700	-21.190706	 0.0003	-0.0038	0.2574	0.8131	0.4138	0.7992	0.5143	0.7374	-0.1284	20.4971	0.9939	38.8	3	0.99994
4899322211625491328	 66.183471	-21.188233	-0.0018	-0.0013	-1.1621	-0.3024	0.0960	0.6066	0.4622	0.6080	-0.1623	20.3464	1.1927	37.56	2	0.99987
4899322215920272256	 66.189662	-21.189172	 0.0040	-0.0022	1.5383	1.4485	-0.8943	0.7849	0.6747	1.1556	-0.2485	20.5784	1.0083	37.75	2	0.99909
4899322314704715392	 66.190892	-21.188915	 0.0051	-0.0020	-0.0284	0.0150	-0.3578	0.2607	0.1991	0.2618	-0.1525	19.2576	1.1348	34.74	3	0.99995
4899322215918873088	 66.186864	-21.187448	 0.0013	-0.0005	0.3020	0.4834	0.5940	0.3196	0.2515	0.3140	-0.1972	19.4104	1.0672	35.8	1	0.99991
4899322215920272384	 66.188344	-21.188218	 0.0027	-0.0013	-0.3541	0.4835	-0.3908	0.2224	0.1781	0.2257	-0.1761	19.1206	1.1667	38.66	3	1.00000
4899322318999486592	 66.187315	-21.185623	 0.0018	 0.0013	-0.0249	0.4567	-0.2447	0.0642	0.0543	0.0647	-0.2403	17.0608	1.6434	37.52	3	1.00000
