# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5932646576726870016	242.583644	-53.687547	-0.0245	 0.0613	1.5615	-3.0242	-3.1193	1.1698	1.3974	1.0878	-0.0761	20.5149	2.4526	130.3	0	0.00001
5932643656148728320	242.610253	-53.682894	-0.0087	 0.0660	-1.5420	0.4161	-5.5126	0.6256	0.6365	0.5521	-0.0391	20.0285	2.1983	130.3	2	0.00000
5932643621787354752	242.597811	-53.684323	-0.0161	 0.0646	3.8593	-3.4057	-6.5324	1.0242	1.5962	0.8279	0.3817	20.3860	nan	130.3	0	0.00745
5932643617367052416	242.598196	-53.684648	-0.0159	 0.0642	0.2746	-2.6717	-3.8384	0.0986	0.1104	0.0844	-0.0519	17.5830	1.5211	130.3	3	0.00000
5932646576724869888	242.587488	-53.686572	-0.0222	 0.0623	-0.0242	-0.6908	-3.7493	0.1915	0.1922	0.1667	-0.1413	18.5776	1.7475	130.3	2	0.00000
5932646576726199808	242.590016	-53.685664	-0.0207	 0.0632	-0.0431	-4.6920	-8.4624	0.6845	0.6874	0.6454	-0.0090	20.1140	2.2830	130.3	2	0.63589
5932646576739254272	242.588862	-53.686598	-0.0214	 0.0623	-0.3103	-4.5360	-8.6219	0.2091	0.2680	0.2556	-0.6219	18.4140	nan	130.4	0	0.97442
5932646576724864896	242.588596	-53.686819	-0.0216	 0.0621	0.5003	-4.4836	-4.6295	0.1373	0.1454	0.1148	-0.0477	17.5597	3.1666	130.4	0	0.00000
5932646576724850048	242.587146	-53.689147	-0.0224	 0.0597	0.0808	-4.4383	-8.4127	0.3001	0.3344	0.2924	-0.1170	19.1849	2.9611	130.6	0	0.88980
5932643621788986496	242.595473	-53.686777	-0.0175	 0.0621	-0.0874	-6.1608	-4.5998	0.9012	0.9330	0.8232	0.0403	20.2986	2.3838	130.5	2	0.00000
5932646576739251840	242.593979	-53.687789	-0.0184	 0.0611	0.2262	-2.2484	-3.7715	0.0965	0.1134	0.0832	0.0275	17.5230	1.7207	130.6	3	0.00000
5932646576739252992	242.590486	-53.687843	-0.0204	 0.0610	0.1150	-3.6879	-11.566	0.3089	0.3296	0.2937	-0.1458	19.3802	2.0467	130.6	2	0.00000
5932646576739252736	242.589007	-53.689322	-0.0213	 0.0596	-0.3856	-4.1088	-3.6731	0.1714	0.1821	0.1479	-0.1186	18.1016	4.8048	130.7	3	0.00000
5932646572328837248	242.590229	-53.689030	-0.0206	 0.0599	0.3002	-3.1629	-4.4276	0.2469	0.2624	0.2340	-0.0863	19.0081	1.8382	130.7	2	0.00000
5932643621789366144	242.600488	-53.684542	-0.0145	 0.0643	-0.8567	0.2727	-1.2164	1.5554	2.1996	1.4445	0.0868	20.6744	1.7879	130.4	2	0.00000
5932643621787346560	242.602702	-53.683865	-0.0132	 0.0650	0.0405	-4.3041	-4.4968	0.2407	0.2576	0.2253	-0.1184	19.0111	2.2553	130.3	2	0.00000
5932643621801364480	242.603024	-53.684888	-0.0130	 0.0640	0.3523	-0.3682	-1.3518	0.0391	0.0441	0.0346	-0.0998	15.9534	1.1930	130.4	3	0.00000
5932643621801364736	242.599610	-53.685744	-0.0150	 0.0631	0.4088	-2.0880	-4.5765	0.1887	0.1930	0.1636	-0.1459	18.5427	2.3923	130.5	2	0.00000
5932643621789369216	242.597862	-53.685892	-0.0161	 0.0630	-1.2485	-5.1529	-0.0414	1.2709	1.3608	1.1234	-0.1873	20.6199	2.3740	130.5	0	0.00000
5932643621789369344	242.601403	-53.686151	-0.0140	 0.0627	1.1541	-7.3079	-6.0275	0.7738	0.8614	0.7113	0.0843	20.3316	2.5853	130.6	2	0.00000
5932643621787318528	242.605184	-53.685315	-0.0117	 0.0636	0.4145	-1.3963	-3.0870	0.1454	0.1550	0.1239	-0.1077	18.1474	1.7093	130.5	3	0.00000
5932643656147048704	242.608350	-53.684761	-0.0099	 0.0641	-0.0382	-6.2026	-5.2852	0.2667	0.2891	0.2542	-0.1336	19.0174	3.3344	130.5	0	0.00000
5932643621789368960	242.607635	-53.685262	-0.0103	 0.0636	-0.6624	-5.5697	-3.7719	0.8560	0.9957	0.7690	0.1234	20.3982	1.1538	130.6	2	0.00000
5932643621789369600	242.603434	-53.686235	-0.0128	 0.0627	-3.1681	-4.7393	-6.4520	1.3568	1.6537	1.0419	0.1647	20.5414	2.3418	130.6	2	0.01558
