# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4043766586069269504	269.627976	-32.045560	-0.0208	-0.0259	-0.1226	2.0463	0.1172	0.5178	0.6894	0.4934	0.5731	19.5719	nan	164.4	0	0.00000
4043766581687192448	269.628474	-32.045580	-0.0204	-0.0259	0.0230	-4.6415	-7.2499	0.0681	0.0725	0.0488	0.3759	16.4317	2.7343	164.5	1	0.00000
4043766586069266048	269.629290	-32.045406	-0.0197	-0.0258	-0.5644	-2.7386	-7.3780	0.5479	0.6220	0.4181	0.4620	19.6790	2.2633	164.6	0	0.00000
4043766581823675776	269.629250	-32.045083	-0.0197	-0.0254	-2.7219	2.5348	-6.8914	0.7963	0.8004	0.5210	0.3347	19.9108	nan	164.6	0	0.00000
4043766581823541504	269.635793	-32.049309	-0.0142	-0.0297	-0.2446	3.4568	-1.5421	0.3009	0.2837	0.2120	0.3925	18.3611	1.8116	164.5	0	0.00000
4043766581823626240	269.634806	-32.048582	-0.0150	-0.0289	-0.2605	-0.1014	-6.6159	0.4496	0.4705	0.3414	0.4221	19.6831	1.5522	164.5	2	0.00000
4043766586069219584	269.636175	-32.048754	-0.0139	-0.0291	0.9404	1.1915	-7.7199	0.4602	0.4900	0.3707	0.4819	19.6622	1.5494	164.6	0	0.00000
4043766586015551872	269.634589	-32.047617	-0.0152	-0.0280	0.1763	-2.7066	-7.1608	0.1205	0.1386	0.1011	0.4609	17.6348	nan	164.7	0	0.00000
4043766586070608512	269.630994	-32.046492	-0.0183	-0.0269	0.0605	-5.9699	-3.5059	0.5000	0.5341	0.3670	0.3803	19.7566	1.6867	164.6	2	0.00000
4043766586015574912	269.632074	-32.046698	-0.0173	-0.0271	0.1580	-4.9304	-4.4493	0.1306	0.1457	0.1030	0.4170	17.9246	2.3582	164.7	0	0.00000
4043766586096500096	269.631302	-32.045301	-0.0180	-0.0257	0.8310	-11.573	-8.7966	0.8373	1.1504	0.6899	0.5709	19.9515	1.7192	164.8	0	0.13310
4043766586069252864	269.632483	-32.045301	-0.0170	-0.0257	0.4468	1.0661	-1.3686	0.0839	0.0874	0.0609	0.3737	16.9934	2.0169	165	0	0.00000
4043766581823560576	269.633670	-32.047458	-0.0160	-0.0278	0.0358	-0.9651	-4.1543	0.3304	0.3351	0.2534	0.4464	19.1818	2.4541	164.7	2	0.00000
4043766581823624576	269.634038	-32.046723	-0.0157	-0.0271	-0.5821	-2.2075	-8.0548	0.6735	0.8020	0.5865	0.5918	19.8088	1.9862	164.9	0	0.00000
4043766581823626880	269.635125	-32.047435	-0.0148	-0.0278	0.0725	-0.5546	1.0004	0.0827	0.0870	0.0616	0.3782	16.9402	2.2046	164.8	0	0.00000
4043766581823626752	269.634964	-32.046791	-0.0149	-0.0271	1.3240	-3.6501	-12.462	0.6741	0.7898	0.5964	0.4944	19.9743	nan	164.9	0	0.00000
4043766581823560448	269.633381	-32.045767	-0.0162	-0.0261	0.4487	-0.8662	-5.4139	0.4833	0.5074	0.3567	0.4586	19.2261	1.2477	165	0	0.00000
4043766586069236352	269.635553	-32.046044	-0.0144	-0.0264	-0.0544	-6.6090	-2.7598	0.2776	0.2947	0.2143	0.4460	19.0254	2.1931	165.2	2	0.00000
4043766586069235328	269.636306	-32.045620	-0.0138	-0.0260	2.0323	2.2071	-5.3464	0.6870	0.6821	0.4932	0.4783	19.6835	1.8423	165.3	0	0.00000
4043766581712376320	269.638412	-32.050722	-0.0120	-0.0311	-0.2450	6.0803	-4.0319	0.7160	0.9328	0.7834	0.6980	19.8521	2.2653	164.4	0	0.00000
4043766581688101888	269.639012	-32.050668	-0.0115	-0.0310	0.1689	-3.3911	-7.8118	0.0932	0.1325	0.0965	0.6927	17.1288	2.3374	164.4	0	0.00000
4043766379910739968	269.643242	-32.051777	-0.0079	-0.0321	0.0483	-3.3754	-10.756	0.0913	0.1073	0.0761	0.5172	17.2864	2.5017	164.4	3	0.00000
4043766586069184512	269.640832	-32.050938	-0.0099	-0.0313	0.3134	-3.2717	-4.4919	0.2043	0.2480	0.1763	0.5629	18.4757	2.4179	164.5	2	0.00000
4043766581823566592	269.642655	-32.050895	-0.0084	-0.0313	0.5430	-1.4608	1.8881	0.3577	0.4072	0.2960	0.5001	19.2881	2.2709	164.6	0	0.00000
4043766375665116288	269.645985	-32.052265	-0.0056	-0.0326	0.6098	1.2860	-3.7420	0.4471	0.4263	0.3251	0.4517	18.5759	2.2047	164.4	0	0.00000
4043766375665220736	269.646247	-32.051575	-0.0053	-0.0319	0.3952	1.5172	0.8916	0.4286	0.4487	0.3166	0.3336	19.5540	nan	164.6	0	0.00000
4043766375665333632	269.644487	-32.051111	-0.0068	-0.0315	0.7568	-4.1975	-1.6272	1.1510	0.9549	0.7140	0.2635	19.9545	nan	164.6	0	0.00000
4043766375665217152	269.644676	-32.050482	-0.0067	-0.0308	-1.5551	0.0636	-5.9356	0.4917	0.5487	0.3944	0.5254	19.6422	2.0738	164.8	0	0.00000
4043766375665138432	269.645505	-32.051280	-0.0060	-0.0316	0.6354	0.2638	-1.4899	0.3773	0.4089	0.2967	0.4138	19.4479	1.9707	164.6	2	0.00000
4043766379910732288	269.646581	-32.050353	-0.0051	-0.0307	-0.0278	-6.6796	-11.913	0.1894	0.1858	0.1321	0.4521	16.8103	2.3977	164.9	0	0.00000
4043766379910720000	269.646957	-32.052127	-0.0047	-0.0325	0.2568	0.7920	-1.8954	0.0714	0.0745	0.0531	0.4358	16.1901	1.6212	164.5	0	0.00000
4043766375528753152	269.646956	-32.051864	-0.0047	-0.0322	2.1311	-2.2386	0.3951	0.8191	0.7785	0.5312	0.0740	19.5900	nan	164.6	0	0.00000
4043766379857007872	269.647839	-32.051781	-0.0040	-0.0321	0.1632	-0.7629	-5.5089	0.0570	0.0606	0.0430	0.4069	16.1154	2.4463	164.6	0	0.00000
4043766379857011456	269.648853	-32.050882	-0.0031	-0.0312	3.1220	6.2118	-4.9564	0.5931	0.5749	0.4061	0.3408	18.3934	1.9774	164.8	0	0.00000
4043766375665229696	269.649693	-32.051167	-0.0024	-0.0315	0.0861	-2.9592	-9.2713	0.9947	1.1789	0.7632	0.1241	20.0501	2.0862	164.8	0	0.00010
4043766581823562496	269.636827	-32.049685	-0.0133	-0.0300	1.8196	2.8413	-7.1864	0.5070	0.4875	0.3595	0.3558	19.4037	1.6894	164.5	0	0.00000
4043766581688306304	269.638117	-32.049722	-0.0122	-0.0301	0.6290	0.1702	-2.9588	0.1366	0.1970	0.1420	0.7110	17.3714	2.2833	164.6	0	0.00000
4043766581823563776	269.638681	-32.049378	-0.0117	-0.0297	0.1456	-6.6239	-11.398	0.3659	0.4174	0.3062	0.6242	19.0678	1.9023	164.7	0	0.00000
4043766581823637120	269.639561	-32.049254	-0.0110	-0.0296	0.5154	-4.0004	-5.3327	0.3835	0.4936	0.3751	0.6606	19.3470	1.7595	164.8	0	0.00000
4043766586069198976	269.639562	-32.048935	-0.0110	-0.0293	-1.0773	0.0331	-6.2098	0.8277	1.4630	1.0445	0.7591	20.0828	nan	164.9	0	0.00000
4043766581722254336	269.637171	-32.048473	-0.0130	-0.0288	0.1970	-2.1141	-5.4150	0.1047	0.1202	0.0855	0.4967	17.4726	2.1953	164.8	2	0.00000
4043766581823561856	269.636319	-32.047823	-0.0138	-0.0282	-0.0604	-7.4491	-4.8672	0.2698	0.2808	0.2007	0.4053	18.8001	1.9691	164.8	0	0.00000
