# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4058636621788216704	262.747948	-30.027243	-0.0205	-0.0456	-0.3974	-1.6499	-3.4402	0.1872	0.2109	0.1444	0.2837	18.1054	2.9900	186.9	0	0.00000
4058636621867314688	262.750788	-30.028270	-0.0181	-0.0466	0.3369	-1.9514	-5.6318	0.3720	0.4985	0.3191	0.3999	19.2749	3.1841	187	0	0.00000
4058636690507783680	262.744035	-30.024417	-0.0239	-0.0428	0.8700	0.1275	-1.1629	0.2633	0.3353	0.2336	0.4256	18.9648	2.6225	187.7	2	0.00000
4058636690507846400	262.740462	-30.023235	-0.0270	-0.0416	0.1479	0.1543	-0.4657	0.1618	0.1859	0.1345	0.2026	18.3702	2.0937	187.3	2	0.00000
4058636690507885696	262.738690	-30.022393	-0.0286	-0.0407	0.4598	-4.8501	-6.0482	0.1893	0.2130	0.1531	0.2239	18.3525	2.9173	187.1	0	0.00000
4058636690586829568	262.741196	-30.023535	-0.0264	-0.0419	-0.5387	-4.8879	-7.8156	0.2577	0.3119	0.2160	0.3484	18.6679	2.7665	187.3	0	0.00000
4058636686178396672	262.741972	-30.023102	-0.0257	-0.0414	0.7131	-3.8937	-4.3969	0.8783	0.8494	0.6335	0.4549	19.9262	nan	187.9	0	0.00000
4058636690507817984	262.742608	-30.023446	-0.0252	-0.0418	0.2019	-0.9793	-1.6120	0.3437	0.4188	0.2831	0.4234	18.6408	2.6888	187.9	0	0.00000
4058636690507804032	262.743823	-30.023288	-0.0241	-0.0416	-0.3380	-3.8951	-5.6256	0.5106	0.6109	0.3964	0.3267	19.3868	2.6792	188.4	0	0.00000
4058636690507826944	262.742972	-30.022599	-0.0248	-0.0409	0.3819	-0.6888	-2.8464	0.2173	0.2798	0.1950	0.4326	18.6719	2.3223	188.6	2	0.00000
4058636690507820544	262.743518	-30.022583	-0.0244	-0.0409	1.0394	-0.8903	-2.3897	0.5585	0.7844	0.5688	0.5455	19.8299	nan	188.8	0	0.00000
4058636690507824640	262.744128	-30.021932	-0.0238	-0.0403	-0.2551	-2.7145	-9.4797	0.5400	0.6491	0.3922	0.2617	19.4783	2.7652	189.4	0	0.00000
