# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4159071236522821632	272.658874	 -7.338488	-0.0251	-0.1309	1.4105	-0.7239	-3.5319	1.0058	1.0587	0.7314	0.4534	20.2725	2.3055	40.15	2	0.18441
4159071232224500096	272.657608	 -7.337819	-0.0263	-0.1302	0.1621	5.9370	-5.3332	0.4923	0.4635	0.3142	0.0836	19.3391	2.2379	40.24	0	0.00000
4159071236522827392	272.658728	 -7.337993	-0.0252	-0.1304	0.1551	-1.0962	-5.2668	1.0526	1.1264	0.7371	0.2179	20.4239	nan	40.25	0	0.22779
4159071236534751744	272.659401	 -7.338182	-0.0246	-0.1306	0.6185	-0.4431	-0.2197	0.4730	0.4491	0.2996	0.1104	19.3354	2.1703	40.24	2	0.00000
4159071236534751488	272.659913	 -7.337721	-0.0241	-0.1301	-0.5363	-3.3836	-1.6778	0.3060	0.2855	0.2179	0.1288	18.7702	2.1442	40.36	0	0.00000
4159071236522805120	272.660687	 -7.337702	-0.0233	-0.1301	0.1334	-0.8636	-5.5281	1.9037	2.2544	1.0018	0.4392	20.6401	2.1949	40.4	0	0.17297
4159071236522747776	272.665507	 -7.339270	-0.0185	-0.1317	0.5274	0.0805	-1.5694	0.5799	0.5558	0.3770	0.0739	19.6654	2.4501	40.22	2	0.00000
4159071236522779264	272.662982	 -7.338846	-0.0210	-0.1312	-0.8380	-0.5033	-7.2313	1.4673	1.3521	0.8327	0.3043	20.2471	2.4727	40.23	0	0.00352
4159071236522778624	272.663411	 -7.338517	-0.0206	-0.1309	1.9829	-6.0579	-4.0062	0.9504	0.8623	0.6415	0.2141	20.2731	2.1151	40.32	2	0.00157
4159071064724001024	272.670760	 -7.339873	-0.0133	-0.1323	0.1423	-1.7330	-4.0965	0.5087	0.4811	0.3258	0.0672	19.4569	2.4708	40.23	0	0.44240
4159071064736039424	272.671787	 -7.339609	-0.0123	-0.1320	0.1777	0.5887	-3.2032	0.6259	0.5670	0.4379	0.1857	18.6498	2.1968	40.31	0	0.00002
4159071064726330112	272.672513	 -7.339846	-0.0116	-0.1322	0.6172	1.4603	-1.7130	0.7976	0.8664	0.5968	0.2551	20.1299	1.7804	40.27	2	0.00000
4159071064723970816	272.673746	 -7.340204	-0.0103	-0.1326	-0.1231	1.6686	-1.7419	1.0248	0.9653	0.5792	0.2090	20.1612	2.4144	40.21	2	0.00000
4159071060425806720	272.675878	 -7.338753	-0.0082	-0.1311	0.6287	-2.1751	-5.5707	0.2884	0.2739	0.2014	0.0829	18.9192	2.6128	40.57	2	0.00031
4159071064723967232	272.677172	 -7.337395	-0.0069	-0.1298	-0.8142	-3.9799	-0.5530	0.8889	0.8305	0.5628	0.3138	20.0259	2.2974	40.9	2	0.00000
4159071064723943680	272.679187	 -7.338089	-0.0049	-0.1305	1.7752	-4.5911	-9.8969	1.7835	2.1682	1.0244	0.5355	20.6483	2.1638	40.76	0	0.00003
4159071064723949312	272.678674	 -7.337757	-0.0054	-0.1301	0.9115	-2.0936	-4.3851	0.7115	0.7321	0.5217	0.2362	20.0343	2.4125	40.83	2	0.59211
4159071064726315904	272.680447	 -7.339777	-0.0037	-0.1322	1.3338	-0.7112	-2.9821	1.6744	1.7191	0.9718	0.0960	20.6559	1.9112	40.39	0	0.12588
4159071060424734976	272.682334	 -7.338196	-0.0018	-0.1306	0.0993	-3.1993	-5.1466	0.1607	0.1477	0.1100	0.1083	17.8429	2.7569	40.75	2	0.00033
4171076219882961536	272.571617	 -7.276112	-0.1116	-0.0685	0.4594	-4.6902	-1.0358	0.0249	0.0216	0.0181	0.1101	13.9898	2.4703	40.66	1	0.00000
4171076219866451840	272.570243	 -7.275845	-0.1130	-0.0682	0.2233	-2.2410	-2.6494	1.2843	0.9263	0.7189	-0.0680	20.0376	2.0831	40.43	0	0.08057
4171082297244366208	272.568173	 -7.271524	-0.1151	-0.0639	-2.2883	1.1323	-7.4018	1.4055	1.1077	0.9681	-0.1236	20.4796	1.5690	40.52	0	0.00650
4171082301556671488	272.566300	 -7.270815	-0.1169	-0.0632	0.1074	-5.3201	-3.3484	0.0476	0.0392	0.0332	0.0406	15.5190	3.2928	40.23	3	0.00000
4171082297256178176	272.568809	 -7.271765	-0.1144	-0.0642	1.1049	-0.7927	-2.8406	0.6885	0.5199	0.3731	-0.1330	19.5999	2.2795	40.62	2	0.00000
4171082301540193024	272.571190	 -7.270657	-0.1121	-0.0631	-1.7295	-1.8413	-6.5147	1.7383	1.2776	1.1621	0.0897	20.7076	2.1803	41.21	2	0.18734
4171082301556686720	272.563335	 -7.264515	-0.1199	-0.0569	0.8093	-1.9529	-5.4216	2.7518	1.5564	1.3132	-0.1509	20.6202	2.0876	40.28	0	0.26758
4171082301540323712	272.565077	 -7.265668	-0.1181	-0.0581	-0.3056	0.4611	-4.2624	1.0732	0.7215	0.5988	-0.0464	20.0861	2.2425	40.52	0	0.00428
4171082301556688512	272.563526	 -7.263679	-0.1197	-0.0561	0.2167	-2.6709	-4.4816	0.0545	0.0461	0.0390	0.1317	15.5608	2.6304	40.4	1	0.98746
4171082297244366976	272.567309	 -7.268585	-0.1159	-0.0610	-0.7368	-1.1657	-2.4871	0.5583	0.4150	0.3030	-0.1084	19.2613	2.3519	40.67	2	0.00000
4171082301556676608	272.567833	 -7.265884	-0.1154	-0.0583	1.6313	-5.0882	-6.3732	0.9366	0.6454	0.4929	-0.0509	19.9867	2.2781	41.05	0	0.00010
4171082301540264320	272.569130	 -7.266860	-0.1141	-0.0593	0.3580	-5.4106	-3.0324	1.2866	0.9800	0.8922	0.0537	20.4786	1.7299	41.22	2	0.02511
4171082297244086528	272.571195	 -7.265996	-0.1121	-0.0584	0.3432	-2.7668	-4.9005	0.2389	0.1957	0.1650	0.0219	18.3775	2.5095	41.73	3	0.78054
4171082301540339584	272.565170	 -7.264143	-0.1180	-0.0565	-1.0384	-2.2381	-2.7782	1.1152	0.6918	0.5789	-0.1160	19.8418	2.2216	40.69	2	0.03668
4171082301540290816	272.567526	 -7.265563	-0.1157	-0.0580	-0.8277	-0.9769	-3.7231	1.1740	0.7979	0.6804	0.1081	20.2000	nan	41.03	0	0.19628
4171082301540326656	272.568057	 -7.262652	-0.1152	-0.0551	1.0458	-0.8729	-4.7168	1.0388	0.5951	0.4519	-0.3375	19.5676	2.2275	41.43	2	0.09611
4171082301540275456	272.571842	 -7.263530	-0.1114	-0.0559	1.1747	1.2483	2.9937	4.0319	1.3469	1.2000	0.3049	20.6890	2.3767	42.13	0	0.00000
4171082301540275328	272.571570	 -7.263201	-0.1117	-0.0556	-1.0426	-1.5193	0.5516	1.7862	1.4113	1.2636	0.1816	20.5480	2.1691	42.11	0	0.00450
4171082365963566976	272.561071	 -7.260247	-0.1221	-0.0527	-0.1225	-3.1616	-6.3769	0.3219	0.2747	0.2284	0.0582	18.7050	2.6515	40.22	0	0.00000
4171082370259867008	272.562417	 -7.261988	-0.1208	-0.0544	1.4395	-1.0267	-4.6431	1.7154	1.2429	1.3044	-0.1168	20.6134	1.9439	40.33	2	0.22205
4171082370267453312	272.563223	 -7.261183	-0.1200	-0.0536	2.8759	-3.2291	-3.4661	2.1249	1.5664	1.8149	0.2892	20.6681	2.3541	40.57	0	0.22068
4171082301540360448	272.565092	 -7.260884	-0.1181	-0.0533	-1.4867	5.2024	-3.2056	0.8865	0.6937	0.5383	0.0541	19.8919	2.3809	40.99	0	0.00000
4171082365963567360	272.564132	 -7.260200	-0.1191	-0.0526	-0.0721	-2.4675	-1.0978	0.2450	0.2168	0.1849	0.1230	18.5110	2.1338	40.85	3	0.00000
4171082370259926144	272.560597	 -7.258508	-0.1226	-0.0509	1.0785	-2.5192	-3.6382	2.6101	1.4607	1.1581	-0.5020	20.6074	2.0056	40.27	2	0.30582
4171082365963569792	272.561033	 -7.257917	-0.1221	-0.0503	0.8711	4.3418	-2.7507	0.1804	0.1529	0.1289	0.0227	18.0173	2.2248	40.41	1	0.00000
4171082370259915136	272.562639	 -7.257468	-0.1206	-0.0499	-2.3595	-1.8673	-5.6420	2.3527	1.4339	1.1975	-0.0753	20.6517	2.3537	40.78	0	0.28602
4171082297256160128	272.565211	 -7.261700	-0.1180	-0.0541	0.5843	0.6260	-3.6630	0.1525	0.1346	0.1121	0.1220	17.5757	2.0670	40.93	0	0.00000
4171082301540360832	272.565656	 -7.261767	-0.1176	-0.0542	2.4592	-0.2842	-4.3817	1.4843	0.9973	0.8236	-0.0743	20.3278	nan	41.02	0	0.12299
4171082301540360704	272.565160	 -7.261414	-0.1181	-0.0538	3.6753	-1.5044	-4.6312	1.0148	0.8721	0.6518	0.2261	19.8964	nan	40.95	0	0.29675
4171082301540359936	272.566619	 -7.260983	-0.1166	-0.0534	1.0617	-3.2267	-10.736	1.9820	1.3489	1.2175	0.2936	20.2856	2.1397	41.29	0	0.00029
4171082297244089216	272.569091	 -7.261568	-0.1142	-0.0540	-0.0007	-1.9773	-5.3156	0.1785	0.1264	0.1159	0.0287	17.7103	2.7231	41.75	3	0.00000
4171082301540323200	272.569919	 -7.261336	-0.1133	-0.0537	-3.8044	-3.8904	-5.0507	2.7531	1.8840	2.0671	0.0905	20.7826	1.8181	41.95	0	0.25904
4171082297244091264	272.570052	 -7.260257	-0.1132	-0.0527	0.7200	-0.0733	-8.1035	0.2901	0.2069	0.1878	0.0336	18.5245	2.2099	42.09	3	0.00000
4171082301540342912	272.570028	 -7.259362	-0.1132	-0.0518	2.4589	-3.5859	-3.8125	1.4626	0.8053	0.6670	-0.0494	20.3176	1.9305	42.17	2	0.38839
4171082297256188800	272.570852	 -7.259173	-0.1124	-0.0516	0.7792	-3.6070	-8.0313	0.2882	0.2130	0.1931	0.0282	18.6206	2.4181	42.37	2	0.00000
4171082370276171136	272.565730	 -7.258159	-0.1175	-0.0506	0.6201	1.2955	-0.5060	0.3254	0.2738	0.2378	0.1645	18.8649	2.1724	41.37	3	0.00000
4171082370276169984	272.567501	 -7.257044	-0.1157	-0.0494	0.2992	-2.4337	-1.8234	1.6411	1.2285	0.8636	0.2384	20.0805	nan	41.85	0	0.02766
4171082370259872512	272.567172	 -7.256781	-0.1161	-0.0492	0.2194	-6.2199	-6.6817	0.2474	0.2017	0.1769	0.1692	18.3840	2.5513	41.81	3	0.00000
4171082370259890176	272.567254	 -7.255591	-0.1160	-0.0480	1.2347	-0.2098	-0.8872	0.8928	0.6768	0.5230	0.1164	19.7973	2.4980	41.93	2	0.00000
4171082297244093568	272.569417	 -7.257753	-0.1138	-0.0502	-3.4047	-0.3052	-1.2161	0.4636	0.3656	0.3180	0.1834	18.5404	2.3093	42.2	0	0.00000
4171082297248859392	272.571185	 -7.257973	-0.1121	-0.0504	3.5042	-1.0223	-9.7740	0.3725	0.2568	0.2338	0.0236	18.2495	3.4259	42.56	0	0.00000
4171082301560443008	272.571790	 -7.257451	-0.1115	-0.0499	-2.5693	-5.6970	-4.1088	2.3134	1.1763	1.0662	-0.0690	20.3368	2.1057	42.74	0	0.16417
4171082365963850752	272.557075	 -7.249139	-0.1261	-0.0415	0.9876	-2.9677	-9.7665	1.1453	0.7468	0.6239	0.0405	20.1542	1.8149	40.27	2	0.00000
4171082370267488384	272.557740	 -7.249378	-0.1254	-0.0418	0.0843	-1.9243	-8.0621	1.2317	1.1805	1.0493	0.2186	20.5223	1.8301	40.39	2	0.00790
4171085325197589120	272.556159	 -7.247119	-0.1270	-0.0395	-2.2136	0.6445	-6.1088	1.3197	0.9339	0.8649	-0.1507	20.4612	1.3374	40.21	0	0.01871
4171085320901351168	272.556765	 -7.247260	-0.1264	-0.0397	1.0132	-3.3734	-6.5660	0.7595	0.5604	0.4266	0.0367	19.6828	2.3411	40.33	2	0.00026
4171082370260004608	272.561007	 -7.251199	-0.1222	-0.0436	2.6404	-3.6134	-6.0039	1.0167	0.7597	0.6981	0.1260	20.2088	1.8747	40.95	2	0.12664
4171082370259963264	272.564990	 -7.251376	-0.1182	-0.0438	5.3726	-4.2559	-6.4389	1.9494	2.0179	1.5029	0.4503	20.6090	1.7432	41.8	0	0.21335
4171082365963576704	272.564235	 -7.250372	-0.1190	-0.0428	1.0458	-3.2686	-3.1511	0.2322	0.1869	0.1582	0.0371	18.4027	2.5779	41.72	2	0.00000
4171082370260005632	272.562825	 -7.249459	-0.1204	-0.0419	-2.3658	-3.6632	1.6048	1.8080	0.9907	0.7926	-0.2802	20.2487	2.0154	41.48	2	0.00000
4171082370259889280	272.568048	 -7.254956	-0.1152	-0.0474	5.1811	0.2926	-9.1255	1.7849	1.0996	0.9496	-0.1215	20.5246	1.8719	42.16	0	0.00027
4171082370276180480	272.565332	 -7.252202	-0.1179	-0.0446	0.7450	-0.8972	-2.2638	0.2352	0.1873	0.1610	0.0656	18.3553	2.2429	41.81	3	0.00000
4171082404619611648	272.570078	 -7.254692	-0.1132	-0.0471	2.0300	-5.2492	0.3746	1.2845	0.8765	0.7611	0.1515	20.1889	1.7381	42.63	3	0.00000
4171082404619599872	272.571245	 -7.254698	-0.1120	-0.0471	0.0764	0.6050	-2.4887	1.1738	0.7937	0.7116	0.1732	20.2320	1.9268	42.89	2	0.00049
4171082404635906304	272.571941	 -7.254505	-0.1113	-0.0469	0.2002	-2.9435	-5.7843	0.1953	0.1526	0.1372	0.1151	17.9532	2.1183	43.06	1	0.00000
4171082400323587200	272.570203	 -7.253583	-0.1131	-0.0460	0.8170	-2.1481	-3.4011	0.5398	0.4026	0.3051	0.0357	19.1826	2.2804	42.76	3	0.01334
4171082400323314048	272.567023	 -7.251171	-0.1162	-0.0436	0.5012	0.2955	0.5473	0.2252	0.1810	0.1543	0.0666	18.3164	2.1631	42.26	3	0.00000
4171085325197577216	272.558184	 -7.247143	-0.1250	-0.0395	1.0787	-3.3357	-10.613	1.1405	0.7754	0.5895	-0.0408	20.0514	2.3221	40.64	0	0.00000
4171082365963579392	272.560759	 -7.248532	-0.1224	-0.0409	1.0658	0.0093	1.9500	0.0561	0.0468	0.0392	0.0515	15.8671	1.9482	41.1	3	0.00000
4171085325197582464	272.558762	 -7.246033	-0.1244	-0.0384	-0.1016	1.7039	-3.9416	1.2578	0.7915	0.6500	-0.0752	20.3027	2.1670	40.84	0	0.00007
4171082400323316608	272.563995	 -7.248369	-0.1192	-0.0408	0.1951	-1.7597	-3.0450	0.1816	0.1457	0.1245	0.0702	17.8690	2.4462	41.82	3	0.00000
4171082404619757568	272.563735	 -7.247312	-0.1195	-0.0397	-2.7372	1.1079	-7.3929	1.4424	0.9698	1.0740	-0.0182	20.5320	1.9776	41.84	2	0.00092
4171085359557307008	272.561270	 -7.244964	-0.1219	-0.0374	-0.0011	2.6788	-2.3387	0.8926	0.6334	0.4755	-0.0480	19.8202	2.3595	41.46	0	0.00000
4171085359557362304	272.558431	 -7.242316	-0.1247	-0.0347	0.4924	-7.5158	-10.385	0.9660	0.7379	0.5804	0.1685	20.0544	2.1706	41.01	2	0.00000
4171085359577177216	272.559848	 -7.241870	-0.1233	-0.0343	-0.0958	-1.5071	-1.4548	0.7354	0.5201	0.3910	-0.0421	19.4932	2.4448	41.35	2	0.00000
4171085359557327744	272.561501	 -7.242980	-0.1217	-0.0354	-0.4398	-2.8420	-4.9668	1.7539	1.1923	1.0127	0.0074	20.5802	2.4909	41.65	0	0.41816
4171082404635933312	272.564301	 -7.243862	-0.1189	-0.0363	-0.1624	1.3897	-11.331	1.2205	0.7743	0.5245	-0.4213	19.6096	2.3125	42.22	0	0.00000
