# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5771818193305732992	224.963128	-82.115243	-0.0156	 0.0984	1.8329	-10.787	-8.1397	0.4037	0.5131	0.5502	-0.2914	20.1770	2.4347	9.997	2	0.00000
5771818193305726080	224.938199	-82.116161	-0.0190	 0.0975	1.5746	-26.371	-1.2482	0.7613	0.8522	1.0218	-0.1873	20.6784	1.9848	9.892	0	0.00000
5771818124588526208	224.991425	-82.117212	-0.0117	 0.0965	0.2230	-7.3621	-0.0351	0.0137	0.0150	0.0169	-0.0307	14.1578	1.4642	9.263	3	0.00000
5771816711540922496	224.914004	-82.123918	-0.0223	 0.0897	0.0411	0.1161	-0.8209	0.1631	0.1891	0.2072	-0.1452	18.8806	1.2748	8.839	3	0.96866
5771818120290196736	224.943475	-82.123115	-0.0183	 0.0906	0.4650	-6.8654	-10.947	0.2251	0.2420	0.2841	-0.1651	19.3404	1.9535	8.845	2	0.00000
5771818124586688384	224.947760	-82.123517	-0.0177	 0.0902	1.5023	-4.1011	-5.1404	0.7240	1.1337	1.2292	0.1899	20.5827	1.8686	8.887	2	0.00001
5771818158948322816	225.060763	-82.117339	-0.0022	 0.0964	0.0556	-3.7182	-0.8985	0.2222	0.2520	0.2950	-0.2654	19.3566	1.4516	9.088	3	0.00000
5771818158948366976	225.043835	-82.119537	-0.0045	 0.0942	-0.0142	0.7959	-0.3392	0.4341	0.5785	0.6445	-0.3842	20.2710	1.0051	8.831	2	0.97421
5771818154649938816	225.094108	-82.117232	 0.0024	 0.0965	-0.1467	0.0247	-4.8963	0.3053	0.3469	0.4121	-0.2503	19.7381	2.0022	9.11	2	0.00000
5771818124588527488	224.977699	-82.128956	-0.0136	 0.0847	0.7056	-1.2740	6.6215	0.0803	0.0997	0.1004	0.0198	17.6923	1.4283	10.2	3	0.00000
5771818124588628480	225.046427	-82.124146	-0.0042	 0.0895	0.6176	-12.014	-2.9326	0.1117	0.1428	0.1493	-0.2510	18.2963	1.6939	9.24	3	0.00000
5771818124585766784	225.008623	-82.127726	-0.0093	 0.0860	0.4149	-2.9298	-1.5998	0.2591	0.3048	0.3385	-0.0775	19.6259	1.4641	10.04	2	0.00000
5771818120294062592	225.015909	-82.128708	-0.0083	 0.0850	1.4428	-5.4459	-7.2364	0.8478	1.2952	1.3827	-0.2361	20.7568	0.9327	10.3	2	0.00000
5771815169648772736	225.053858	-82.129378	-0.0032	 0.0843	-0.5564	-2.6916	-1.5127	0.8639	1.7564	1.3102	0.2335	20.6290	0.7637	10.5	0	0.43359
5771818120290191360	225.001487	-82.130790	-0.0103	 0.0829	0.4298	-5.2736	2.6068	0.1240	0.1802	0.1679	-0.2257	18.4372	1.2858	10.6	3	0.00000
5771816887637943168	224.773266	-82.123356	-0.0416	 0.0902	0.4557	-4.2014	-4.9114	0.0868	0.0996	0.1091	-0.0626	17.9161	1.6083	9.895	3	0.00000
