# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
6181851329414865408	200.701982	-30.625095	 0.0117	-0.0241	0.1127	-9.1494	-0.6634	0.3998	0.4247	0.3452	-0.3614	19.6013	1.3846	3.618	3	0.00000
6181854597885447296	200.653330	-30.600751	-0.0301	 0.0002	0.5733	-8.7717	-10.322	0.0285	0.0282	0.0225	-0.3999	10.1669	1.6226	3.462	1	0.00000
6181845694417776512	200.662180	-30.621844	-0.0225	-0.0208	0.1209	-6.6326	0.0698	0.2897	0.2805	0.2240	-0.2827	19.0465	1.3752	3.503	3	0.00000
6181851574228467712	200.671627	-30.619860	-0.0144	-0.0189	0.8198	-13.264	-12.919	0.0277	0.0268	0.0216	-0.2909	14.7692	0.8446	4.491	3	0.00000
6181845763137267584	200.656863	-30.611969	-0.0271	-0.0110	0.7829	-7.5826	0.7221	0.5768	0.5913	0.4530	-0.2771	19.8028	1.7617	3.431	0	0.00000
6181851642947945984	200.663204	-30.611207	-0.0216	-0.0102	0.7334	-10.905	6.1053	0.0441	0.0471	0.0356	-0.2555	15.7434	0.8518	4.428	3	0.00000
6181851569934456192	200.678827	-30.623243	-0.0082	-0.0222	-0.4186	-15.144	0.5179	0.7963	0.8563	0.6297	-0.2371	20.4026	0.7607	4.496	3	0.00000
6181851569933043200	200.682995	-30.618008	-0.0046	-0.0170	1.1600	-14.391	3.7564	0.1344	0.1300	0.1012	-0.2649	17.5573	1.5422	4.897	0	0.00000
6181851398134349568	200.691993	-30.619721	 0.0031	-0.0187	0.2011	-6.2208	-3.6326	0.3351	0.3139	0.2643	-0.2849	18.9974	0.9249	5.051	1	0.00000
6181851398134354944	200.699923	-30.615485	 0.0100	-0.0145	0.8375	-7.7516	0.0897	0.4627	0.4794	0.3893	-0.2609	19.9038	1.1128	4.894	3	0.00000
6181851574227806976	200.683981	-30.615502	-0.0037	-0.0145	1.8181	-9.3254	12.1384	0.7655	0.8515	0.6563	-0.1680	20.4486	2.5979	4.781	2	0.00000
6181851608588207744	200.687890	-30.609441	-0.0004	-0.0084	0.2429	-7.9299	-6.0536	0.1106	0.1077	0.0878	-0.2920	17.5657	0.9087	5.612	3	0.00000
6181851398134356864	200.694748	-30.613986	 0.0055	-0.0130	0.9706	-6.3218	-8.7301	0.4215	0.4185	0.3635	-0.3111	19.5107	2.2743	4.811	2	0.00000
6181851398133537280	200.696670	-30.609517	 0.0072	-0.0085	2.6236	-25.803	-12.943	0.0168	0.0169	0.0134	-0.2599	12.6205	0.7661	4.991	1	0.00000
6181851505508993024	200.701393	-30.607682	 0.0112	-0.0067	0.9710	-10.180	4.3894	0.0615	0.0620	0.0504	-0.2953	16.2675	1.2100	4.859	1	0.00000
6181851638652538624	200.660914	-30.604565	-0.0236	-0.0036	-0.9005	-0.3714	-4.2141	1.0424	1.3002	1.0242	-0.1838	20.7341	1.1974	4.443	0	0.00000
6181851677306503424	200.670924	-30.591053	-0.0150	 0.0099	0.8059	-2.6417	-4.6207	0.5125	0.5230	0.3850	-0.2213	19.9277	0.7389	4.94	3	0.00000
6181851608588209024	200.679570	-30.603037	-0.0075	-0.0020	0.3724	1.4592	-0.8152	0.1228	0.1296	0.0965	-0.2584	17.7294	-0.3758	5.933	3	0.00000
6181851604292800128	200.682820	-30.604426	-0.0047	-0.0034	-0.0771	-0.5518	3.3044	0.4075	0.4140	0.3068	-0.2617	19.5298	0.8271	7.877	1	0.99902
6181851604292803840	200.686858	-30.603047	-0.0013	-0.0020	0.3143	-0.5696	3.3750	0.7009	0.7347	0.6262	-0.2561	20.2979	0.6814	26.59	3	0.99837
6181851608587144448	200.690590	-30.601365	 0.0019	-0.0004	0.0250	-1.5274	3.4011	0.6007	0.5715	0.4592	-0.1984	19.9775	0.5020	33.65	2	0.99826
6181851604292811392	200.683187	-30.598673	-0.0044	 0.0023	0.0157	-1.2224	3.2559	0.2560	0.2744	0.2078	-0.3181	18.9330	0.8885	9.578	3	0.99885
6181851604292808320	200.687202	-30.600545	-0.0010	 0.0005	0.8269	-4.2076	-1.4814	0.7972	0.7850	0.7464	-0.5057	20.1974	1.2212	57.2	3	0.00000
6181851608587544960	200.688030	-30.600550	-0.0003	 0.0004	2.5704	-0.9377	3.6127	1.9335	1.6249	1.9928	-0.6005	20.6792	0.8557	80.65	0	0.98703
6181851707372022144	200.695391	-30.601290	 0.0061	-0.0003	0.2124	-5.2994	-4.9809	0.1719	0.1879	0.1486	-0.2532	18.3944	1.2040	7.539	3	0.00000
6181851707372021120	200.698575	-30.601166	 0.0088	-0.0002	0.8231	-0.4974	3.7016	0.7602	0.7593	0.7963	-0.5445	20.1498	0.6194	5.468	3	0.97869
6181851673012294528	200.683988	-30.594300	-0.0037	 0.0067	0.1847	-6.0157	-3.3689	0.0562	0.0603	0.0434	-0.2628	16.2683	1.0845	6.018	3	0.00000
6181851776091516544	200.683003	-30.589408	-0.0046	 0.0116	0.6410	2.6536	-5.8299	0.2377	0.2521	0.1841	-0.2562	18.8242	1.6299	4.89	3	0.00000
6181851776091515904	200.685360	-30.589832	-0.0026	 0.0112	0.0564	-0.8174	3.5537	0.3023	0.3396	0.2462	-0.2500	19.2662	0.6975	4.96	3	0.99636
6181851707372034432	200.698386	-30.593078	 0.0087	 0.0079	0.6871	0.5645	3.1612	0.6490	0.7369	0.5694	-0.1527	20.2166	0.5117	4.937	2	0.82805
6181851780385719680	200.692760	-30.587128	 0.0038	 0.0139	0.1771	-15.787	-0.5122	0.5140	0.5366	0.4687	-0.2520	20.0109	2.1396	4.8	2	0.00000
6181851398134349440	200.705327	-30.619461	 0.0146	-0.0185	0.9921	0.5973	-1.8121	0.8423	1.0321	0.6969	-0.1440	20.3662	0.6985	4.542	1	0.00000
6181851333710299904	200.710911	-30.618553	 0.0194	-0.0176	0.1208	-1.6945	-1.6140	0.2008	0.2113	0.1608	-0.2366	18.4689	0.8945	3.747	3	0.00000
6181851402428589696	200.704781	-30.616823	 0.0142	-0.0158	0.2316	-11.831	-9.2787	0.4290	0.4918	0.3647	-0.1917	19.7632	0.8893	5.05	3	0.00000
