# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
874269661439913216	119.551385	 26.229376	-0.0176	-0.0256	-0.6296	-0.3207	-2.7553	0.8404	0.8619	0.5067	0.1335	20.3094	1.6857	1.605	2	0.00006
874268944182467072	119.578252	 26.224174	 0.0065	-0.0308	0.8394	-5.4919	0.6530	0.0165	0.0163	0.0108	0.0186	11.3762	1.3554	1.778	1	0.00000
874269730159393536	119.548116	 26.237899	-0.0205	-0.0171	0.2290	-0.6940	0.2208	0.7222	0.7316	0.4631	0.0061	20.4512	0.9396	0.9196	3	0.98472
874269936319712768	119.535151	 26.247401	-0.0322	-0.0076	0.9879	5.1781	-11.201	0.2015	0.2208	0.1331	0.1773	18.7576	2.3503	2.659	3	0.00000
874269764519132160	119.550990	 26.237646	-0.0179	-0.0174	1.2217	-3.6307	-4.4640	0.0617	0.0600	0.0393	-0.0113	16.7482	1.4339	1.053	3	0.00000
874269700096711808	119.560509	 26.232605	-0.0094	-0.0224	0.7084	0.8034	-0.6678	0.0364	0.0346	0.0230	0.0827	15.5200	0.8745	1.161	3	0.00000
874269695799655552	119.563044	 26.238584	-0.0071	-0.0164	1.2457	-6.7252	-15.592	0.3625	0.3953	0.2298	0.2077	19.5623	2.5814	4.055	2	0.00000
874269700096710528	119.566623	 26.241744	-0.0039	-0.0133	1.0488	-3.5054	0.0474	0.0377	0.0367	0.0235	0.0049	15.5248	0.9779	1.843	1	0.00000
874275571314918912	119.567887	 26.246120	-0.0028	-0.0089	1.7793	-1.5624	-4.8718	0.1907	0.1850	0.1189	0.0932	18.5999	2.4040	2.262	3	0.00000
874275850488195968	119.548098	 26.263432	-0.0205	 0.0084	-0.1349	-3.4470	-6.8427	0.6182	0.8359	0.4407	0.4176	20.2692	1.7821	1.71	0	0.00000
874275640034428928	119.564665	 26.247879	-0.0057	-0.0071	1.5024	-22.958	-29.428	0.6932	0.7315	0.4508	0.1117	20.5010	2.2391	2.425	0	0.00000
874275850488194176	119.552961	 26.264170	-0.0162	 0.0092	1.4007	-1.9697	-0.8744	1.3042	1.4205	0.9567	0.1496	20.7951	1.0900	3.696	1	0.90845
874275850489876864	119.555713	 26.268388	-0.0137	 0.0134	0.9265	-14.399	-8.4153	0.1482	0.1507	0.0947	0.0285	18.0552	1.5335	3.319	1	0.00000
874268944182466304	119.575660	 26.233448	 0.0042	-0.0216	5.0598	-19.541	-61.002	0.0445	0.0425	0.0279	-0.0050	15.8676	2.7003	1.801	1	0.00000
874275571314916224	119.574703	 26.237705	 0.0033	-0.0173	-0.7191	-3.7644	0.2133	0.6144	0.8426	0.4717	0.4354	20.2457	1.2942	4.14	0	0.04828
874274819696042368	119.581585	 26.240691	 0.0095	-0.0143	0.5528	-0.4247	-0.9766	1.0390	0.8955	0.6567	-0.1917	20.4906	1.7410	4.168	0	0.96863
874275575611970048	119.572649	 26.251342	 0.0015	-0.0037	0.3828	2.2574	-0.6083	0.0538	0.0509	0.0345	-0.0521	16.3888	0.7989	14.47	3	0.00000
874275571314953216	119.574207	 26.253757	 0.0029	-0.0012	0.9725	-9.3368	-7.6352	0.9190	0.9056	0.5582	0.1496	20.5146	2.3313	10.5	2	0.00000
874275605674657920	119.585352	 26.248078	 0.0129	-0.0069	0.6133	-0.4942	-0.6089	0.2638	0.2775	0.1665	0.2662	19.1408	0.9242	2.348	3	0.65826
874275674394169984	119.571788	 26.259953	 0.0007	 0.0050	0.3066	-0.5935	0.1334	0.1976	0.1836	0.1169	-0.0088	18.6071	0.9796	13.77	3	0.99704
874275674394139904	119.573439	 26.258708	 0.0022	 0.0037	0.1988	-0.4803	-0.0711	0.4037	0.4150	0.2542	0.1192	19.7772	0.8234	14.96	3	0.99957
874275609971796992	119.577032	 26.257029	 0.0054	 0.0020	0.6732	0.4956	0.5465	0.7744	1.0031	0.5739	0.4064	20.5479	0.5833	10.64	3	0.99240
874275674396137984	119.573194	 26.261053	 0.0020	 0.0061	-0.6913	3.1454	-6.6428	0.8973	0.8147	0.5254	0.0624	20.5501	1.0902	8.178	3	0.00000
874275914912316288	119.548599	 26.280846	-0.0201	 0.0258	0.1818	-1.4792	-3.3657	0.1950	0.2105	0.1275	0.1359	18.6978	0.7480	2.45	3	0.00000
874275850488190720	119.557996	 26.271050	-0.0117	 0.0161	0.3815	-9.6018	-12.719	0.4109	0.4389	0.2621	0.1589	19.8811	2.0978	2.862	2	0.00000
874275884847928192	119.562818	 26.270445	-0.0073	 0.0154	2.4889	5.4041	-9.9528	1.2833	1.2171	0.7221	-0.0927	20.6358	1.9543	4.16	0	0.00000
874275880552573824	119.567069	 26.270320	-0.0035	 0.0153	0.9783	-8.7622	-8.1174	0.1955	0.2155	0.1283	0.1580	18.7990	1.9522	3.31	3	0.00000
874275983631828352	119.576722	 26.284074	 0.0051	 0.0291	0.1428	0.9944	-3.1742	1.0276	1.0493	0.6438	-0.1398	20.6120	2.2688	1.164	0	0.00043
874275777477665280	119.586316	 26.282748	 0.0137	 0.0277	-1.7365	4.4210	-8.6846	1.0790	0.9528	0.6549	-0.1357	20.4907	1.5044	1.56	0	0.00000
