# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
1760244345711856768	316.724482	 14.956221	-0.0047	-0.0282	0.7855	-8.6388	-12.671	0.7916	0.6843	0.5617	0.1587	20.3927	1.4024	5.604	2	0.00000
1760244345711870976	316.719633	 14.963765	-0.0094	-0.0206	0.4478	-1.8053	-2.4243	0.2294	0.1994	0.1601	0.0557	18.8039	1.4197	7.408	3	0.00000
1760244350007052160	316.722720	 14.959144	-0.0064	-0.0253	0.2566	4.9537	-2.7401	1.0448	1.1066	0.9528	0.3575	20.5993	1.4054	6.365	2	0.00000
1760244350006653568	316.727048	 14.963032	-0.0023	-0.0214	0.1778	-0.2387	0.0057	0.2771	0.2379	0.2126	0.1482	19.0564	0.7069	7.769	0	0.15746
1760244350008277120	316.727977	 14.963271	-0.0014	-0.0211	0.8554	-4.1433	-5.6502	0.0240	0.0206	0.0174	0.0818	14.5688	0.7881	7.864	3	0.00000
1760244350008412800	316.722599	 14.964563	-0.0066	-0.0198	0.2313	-1.4162	-5.6665	0.0740	0.0678	0.0535	-0.0564	16.9583	1.1521	7.948	3	0.00000
1760244345711879552	316.724064	 14.966937	-0.0051	-0.0175	2.3624	-2.1470	-2.9018	1.0347	0.8859	0.5543	0.0328	20.3905	0.9292	8.758	2	0.00011
1760244350007328896	316.725932	 14.963171	-0.0033	-0.0212	0.2810	-1.2982	-1.3564	0.9915	0.9009	0.7495	0.1821	20.5902	0.9017	7.769	2	0.54844
1760245827475402752	316.731201	 14.964136	 0.0018	-0.0203	0.9664	0.5590	-2.2739	0.4974	0.4507	0.3543	0.0881	19.9452	2.1634	8.112	2	0.00059
1760245827476078080	316.734774	 14.968888	 0.0052	-0.0155	-0.3856	2.6231	-0.3141	1.9594	1.3526	0.9894	-0.2308	20.7066	0.8511	9.363	2	0.59436
1760245823180624256	316.737300	 14.964889	 0.0077	-0.0195	0.1939	-2.2652	-5.7782	0.1522	0.1286	0.1035	0.0822	18.1226	0.8488	7.928	3	0.00000
1760245823180626816	316.742552	 14.966063	 0.0127	-0.0183	2.0217	0.2835	-0.5094	1.3839	1.1013	0.7654	-0.0689	20.5706	0.5811	7.518	3	0.66741
1760245823180626944	316.738834	 14.966047	 0.0091	-0.0184	0.1677	-2.4420	-4.3429	0.6715	0.6288	0.4723	0.0932	20.2529	1.1991	8.065	2	0.00000
1760245617022183168	316.748370	 14.959302	 0.0183	-0.0251	0.1906	-1.0369	-3.1078	0.1169	0.1019	0.0823	0.0508	17.7806	0.8450	4.891	3	0.00000
1760245651381943936	316.752347	 14.969867	 0.0222	-0.0145	0.2365	3.3113	-0.3264	0.2221	0.1957	0.1537	0.0466	18.7253	1.0533	6.224	3	0.00000
1760245170345626240	316.698111	 14.978300	-0.0302	-0.0061	0.7771	3.5116	-1.9500	0.1776	0.1513	0.1238	0.0702	18.2013	2.4064	4.965	1	0.00000
1760245174640384640	316.698296	 14.977991	-0.0300	-0.0064	-0.3411	3.3396	-1.6000	1.6711	1.4833	1.0484	-0.0041	20.7338	nan	4.995	0	0.07727
1760245243361480448	316.697218	 14.988492	-0.0311	 0.0041	0.7036	-0.3435	-5.4675	0.1303	0.1141	0.0911	0.0578	17.9185	1.0332	4.824	3	0.00000
1760244380071618176	316.703796	 14.967082	-0.0247	-0.0173	1.2588	-2.7837	-7.8189	0.7015	0.6025	0.5079	0.1861	20.2866	1.9462	5.141	2	0.00000
1760244414431356416	316.711668	 14.966433	-0.0171	-0.0180	0.5687	-5.8200	-7.8505	0.1775	0.1585	0.1191	0.0065	18.3672	1.0659	6.753	3	0.00000
1760244414431366912	316.709103	 14.971949	-0.0196	-0.0125	0.2939	-5.4443	-4.8901	0.2840	0.2515	0.1941	0.0556	19.1092	0.8733	7.247	3	0.00000
