# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4054428034850755328	263.332741	-33.418405	-0.0164	-0.0289	-0.3196	-2.0748	-3.0805	0.6153	0.7693	0.5147	0.3639	19.9936	nan	97.62	0	0.00000
4054428034850750080	263.334453	-33.417570	-0.0149	-0.0280	0.3293	-2.1357	-4.3737	0.5914	0.9254	0.5900	0.6082	20.1137	2.3702	91.08	2	0.00000
4054428034850689920	263.338437	-33.420786	-0.0116	-0.0312	0.2384	0.1506	-1.3129	0.1154	0.1397	0.0971	0.2711	17.6992	2.4177	98.35	3	0.00000
4054428034855085824	263.338964	-33.419545	-0.0112	-0.0300	-2.3889	-0.8138	-1.8171	0.9533	1.3862	0.9215	0.5801	20.3802	2.6047	92.21	0	0.00000
4054428034850704384	263.339624	-33.418490	-0.0106	-0.0289	-0.7182	-3.8184	0.0822	0.6058	0.8306	0.5441	0.5547	20.0028	2.6727	87.22	2	0.00000
4054428034850713344	263.338631	-33.418114	-0.0114	-0.0286	0.3710	-0.9615	-2.1640	0.2029	0.2681	0.1822	0.3963	18.6614	nan	87	0	0.00000
4054428064907616512	263.341718	-33.418697	-0.0089	-0.0291	0.2853	-0.7940	-2.3513	0.1571	0.1971	0.1330	0.3918	18.0680	2.2468	85.83	3	0.00000
4054428034850805504	263.329911	-33.416199	-0.0187	-0.0266	0.1427	-2.2613	-4.3461	0.2658	0.3403	0.2242	0.3434	19.0517	2.4312	94.77	2	0.00000
4054428034850842112	263.327075	-33.414947	-0.0211	-0.0254	2.5661	13.7225	-0.0578	0.1213	0.1462	0.1011	0.2843	17.8046	2.5811	96.86	3	0.00000
4054428790779999104	263.325628	-33.414073	-0.0223	-0.0245	0.3598	1.1255	-3.6183	0.0400	0.0469	0.0324	0.2478	15.6067	2.7757	97.5	3	0.00000
4054428790765104128	263.326454	-33.413571	-0.0216	-0.0240	-1.0742	-2.0983	-4.6975	0.5938	0.6974	0.4121	0.1580	19.5564	2.7409	93.58	0	0.00000
4054428790765120640	263.325396	-33.412802	-0.0225	-0.0233	0.4301	-0.3659	-1.8608	0.2379	0.3111	0.2184	0.2622	18.8752	2.4478	93.77	2	0.00000
4054428034850837120	263.328364	-33.414420	-0.0200	-0.0249	0.4057	-1.0182	-0.8050	0.2136	0.2767	0.1850	0.3900	18.6091	2.3712	91.84	3	0.00000
4054428034865748480	263.329341	-33.414110	-0.0192	-0.0246	0.1696	-3.5694	-5.2904	0.1581	0.2074	0.1439	0.3678	18.1931	3.2238	88.63	3	0.00000
4054428790765110656	263.326632	-33.412757	-0.0215	-0.0232	0.1388	-8.3359	-1.2485	0.4754	0.5799	0.3682	0.3087	19.5174	4.1844	90.47	0	0.00000
4054428790765102464	263.328165	-33.412438	-0.0202	-0.0229	-0.2285	-1.2074	-3.6251	0.4645	0.6025	0.3918	0.3770	19.8457	2.7459	86.01	2	0.00000
4054428790765164800	263.322516	-33.411143	-0.0249	-0.0216	0.4217	-2.4995	-2.7952	0.5743	0.8963	0.5734	0.5781	20.0741	2.7167	96.59	2	0.00000
4054428790765178496	263.321744	-33.410154	-0.0255	-0.0206	0.8420	-0.2478	-15.781	0.3230	0.4383	0.2843	0.4238	19.3552	2.6528	95.93	2	0.00000
4054428790765187840	263.322404	-33.408580	-0.0250	-0.0190	0.1844	-0.4810	-0.3519	0.6319	1.0970	0.7139	0.6920	20.1163	2.0995	89.63	0	0.00000
4054428790780022912	263.321620	-33.407357	-0.0256	-0.0178	0.6631	-0.2111	-2.8268	0.0207	0.0239	0.0167	0.1851	13.9454	1.0585	88.83	1	0.00000
4054428790765126272	263.325782	-33.411977	-0.0222	-0.0224	0.3164	-0.8189	-2.8602	0.1595	0.2110	0.1451	0.3962	18.2801	2.3225	90.15	3	0.00000
4054428790765107584	263.328908	-33.411268	-0.0196	-0.0217	0.7438	2.5127	-10.729	0.4411	0.5577	0.3645	0.2753	19.6508	nan	82.37	0	0.00000
4054428790765142016	263.327005	-33.409843	-0.0211	-0.0203	-0.1444	-0.3601	-1.8271	0.1650	0.2161	0.1457	0.3372	18.3043	2.4751	82.51	3	0.00000
4054428790765118848	263.328321	-33.410723	-0.0200	-0.0212	0.1117	-1.1913	-2.8123	0.1429	0.1944	0.1281	0.3410	18.1204	2.2585	82.27	2	0.00000
4054428786463244288	263.329127	-33.410423	-0.0194	-0.0209	0.3782	-1.8336	-3.8218	0.2102	0.2841	0.1888	0.3755	18.7204	2.4490	81.88	0	0.00000
4054428790765170304	263.325529	-33.408330	-0.0224	-0.0188	0.2648	-0.2921	-1.0039	0.2404	0.3068	0.2199	0.3494	18.6420	2.8019	82.35	0	0.00000
4054428786462146816	263.327714	-33.409297	-0.0206	-0.0197	0.3622	-0.9676	-5.3909	0.2079	0.3249	0.2125	0.5218	18.6859	2.0918	81.87	2	0.00000
4054428790769417856	263.329396	-33.409905	-0.0191	-0.0204	0.3182	0.9152	-6.8113	0.7504	1.2875	0.8484	0.6764	20.2693	nan	82.52	0	0.00006
4054428786468787968	263.328730	-33.407672	-0.0197	-0.0181	0.2348	-4.1600	-6.7725	0.6290	0.8180	0.5279	0.4148	19.9965	6.1849	86.86	2	0.22523
4054428034855133312	263.330645	-33.416164	-0.0181	-0.0266	1.0500	-2.2573	-3.0499	0.9513	1.7029	1.0935	0.6965	20.5047	3.2921	93.04	0	0.00009
4054428034865736064	263.332436	-33.416972	-0.0166	-0.0274	0.3536	2.5116	-0.8869	0.0580	0.0709	0.0488	0.3253	15.9865	2.9772	92.46	1	0.00000
4054428034850815104	263.330256	-33.415013	-0.0184	-0.0255	0.8861	-1.9184	-3.3554	0.4182	0.5419	0.3557	0.3642	19.7285	2.8271	89.73	0	0.00000
4054428034850743168	263.336487	-33.416498	-0.0132	-0.0269	0.4500	-0.0653	-4.1779	0.3801	0.4771	0.3125	0.3852	19.5111	2.6975	84.31	2	0.00000
4054428034850771712	263.334320	-33.415500	-0.0150	-0.0259	0.3439	-0.2279	-0.2337	0.3649	0.4334	0.2843	0.3764	19.2659	nan	84.22	0	0.00000
4054428034850771840	263.334794	-33.415410	-0.0146	-0.0259	0.3676	2.0200	-2.1301	0.1925	0.2605	0.1730	0.4087	18.6056	2.2606	83.43	0	0.00000
4054428030548765568	263.335580	-33.415445	-0.0140	-0.0259	0.4251	-1.0453	-3.6358	0.0800	0.0919	0.0640	0.2689	16.8212	1.8711	82.75	1	0.00000
4054428034865747072	263.330140	-33.414205	-0.0185	-0.0247	0.5717	-1.7227	-3.0817	0.1900	0.2642	0.1755	0.4211	18.6335	2.1787	87.28	2	0.00000
4054428034855146496	263.330907	-33.413610	-0.0179	-0.0241	1.7222	-4.4202	-4.1249	0.9709	1.6880	1.0461	0.7260	20.4562	2.7293	84.19	2	0.00006
4054428030554546944	263.334500	-33.414869	-0.0149	-0.0253	-0.2950	-5.2969	-6.9653	0.9064	1.2509	0.8762	0.4785	20.2276	nan	82.63	0	0.24062
4054428034855120384	263.336173	-33.414940	-0.0135	-0.0254	1.1354	-3.9677	-8.8218	0.9655	1.3110	0.8686	0.4786	20.1600	nan	81.88	0	0.09569
4054428034855142656	263.334327	-33.412729	-0.0150	-0.0232	1.6330	-0.2417	-1.3432	1.0333	1.4120	0.8748	0.4780	20.3257	3.5243	83.31	0	0.00000
