# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5932407982606482048	242.705076	-55.260715	-0.0343	 0.0570	0.2209	-4.8246	-2.2627	0.2191	0.2177	0.1742	0.0092	18.7561	1.9708	166.1	2	0.00000
5932407261054916096	242.721703	-55.255893	-0.0248	 0.0619	0.6818	-5.2450	-4.9185	1.1162	0.8859	0.8126	0.0143	20.5180	1.6662	166	0	0.01756
5932408016966262272	242.719387	-55.256789	-0.0261	 0.0610	0.4323	-4.1167	-1.6567	0.1578	0.1692	0.1233	0.0256	18.2551	1.5940	166.3	2	0.00000
5932407261052023680	242.720156	-55.256395	-0.0257	 0.0614	1.1013	-2.0025	-3.0656	0.3470	0.3311	0.2720	-0.0131	19.4088	nan	166.2	0	0.00000
5932408016967848832	242.716052	-55.258733	-0.0280	 0.0590	-1.2122	-5.0073	-4.5331	0.6086	0.5897	0.4642	-0.0237	20.1211	1.5095	167.3	2	0.00000
5932408016966230784	242.716712	-55.259218	-0.0276	 0.0585	-1.9873	-3.4368	-5.5276	0.4962	0.5154	0.4017	-0.1054	19.5144	1.7549	167.8	0	0.02535
5932408017050855936	242.709511	-55.259292	-0.0317	 0.0585	0.1292	-4.3077	-5.1405	0.0346	0.0370	0.0267	-0.0032	15.3268	2.5541	166.2	3	0.00000
5932408016967853184	242.710574	-55.259582	-0.0311	 0.0582	-1.4314	-2.2502	-4.1584	0.6566	0.6197	0.5913	0.1139	20.0208	2.0335	166.7	0	0.00040
5932407982606486144	242.707655	-55.260163	-0.0328	 0.0576	0.1926	1.1797	-2.8956	0.4286	0.4350	0.3491	0.0058	19.7716	1.8095	166.4	2	0.00000
5932407982606451584	242.707746	-55.262100	-0.0327	 0.0557	0.5850	-3.6703	-6.7462	1.1077	1.2089	0.8832	-0.1758	20.5354	nan	168	0	0.23950
5932408016966239232	242.713961	-55.258782	-0.0292	 0.0590	0.3459	-3.6828	-1.8605	0.2587	0.2748	0.2098	-0.0436	18.8903	1.5365	166.8	0	0.00000
5932408017050865664	242.716087	-55.259759	-0.0280	 0.0580	1.3598	-8.4670	-2.3217	1.3085	1.2240	1.1017	-0.3256	20.5091	2.4956	168.2	0	0.00215
5932408017050855424	242.715169	-55.260188	-0.0285	 0.0576	0.4028	-4.8077	-2.9757	0.0287	0.0296	0.0231	-0.0657	14.9994	1.7165	168.3	3	0.00000
5932408012667442176	242.712164	-55.261881	-0.0302	 0.0559	-0.3242	-6.2420	-6.4819	0.6557	0.6624	0.5765	-0.0395	20.1518	nan	169	0	0.02887
5932407982606454144	242.711692	-55.262398	-0.0305	 0.0554	0.3991	-4.8893	-7.2422	0.3202	0.3600	0.2533	0.0226	19.3754	1.6478	169.3	2	0.22479
5932408016966196224	242.713084	-55.261997	-0.0297	 0.0558	0.9269	-4.8916	-8.5280	0.8036	0.6919	0.6396	-0.2011	20.1081	1.8678	169.3	0	0.22613
5932407982606447104	242.711448	-55.262969	-0.0306	 0.0548	-1.0950	-2.2647	-3.2339	0.6614	0.5548	0.5784	-0.1787	20.0045	nan	169.7	0	0.00000
5932408699862212224	242.757957	-55.251863	-0.0041	 0.0659	-0.2774	-4.9448	-4.4906	0.1153	0.1154	0.0954	-0.0124	17.4824	2.2452	166.6	1	0.00000
5932408704161070208	242.760082	-55.251252	-0.0029	 0.0665	0.2460	-2.4731	-4.8464	0.3767	0.5273	0.2782	0.2433	19.2933	nan	166.1	0	0.00000
5932408704164374912	242.757146	-55.252616	-0.0046	 0.0652	0.2544	-6.8426	-3.2320	1.0691	1.1608	1.6727	-0.5328	20.3546	nan	167.3	0	0.03854
5932408704164375296	242.756956	-55.252836	-0.0047	 0.0649	1.1595	-5.1183	-2.8441	0.4024	0.3787	0.3614	0.0461	19.5188	nan	167.5	0	0.00000
5932408704164375168	242.757655	-55.252855	-0.0043	 0.0649	-1.1265	-4.1930	-3.8793	0.7949	0.6883	0.6549	-0.3258	19.9652	nan	167.5	0	0.00064
5932408704164375040	242.757487	-55.253104	-0.0044	 0.0647	-0.0320	-5.9482	-5.8349	0.2887	0.2818	0.2526	-0.0885	19.1413	1.7224	167.8	0	0.00000
5932408704246001280	242.758512	-55.253048	-0.0038	 0.0647	-1.7772	-2.5074	-3.9759	1.4147	1.1846	1.3405	-0.1195	20.6981	nan	167.8	0	0.02226
5932408704161055872	242.764780	-55.252047	-0.0002	 0.0657	-0.2254	-4.8125	-2.1157	0.1962	0.2023	0.1622	-0.1199	18.6082	1.9284	166.9	2	0.00000
5932408704161056000	242.760862	-55.252229	-0.0025	 0.0655	0.2795	-4.2351	-6.0916	0.2940	0.3045	0.2387	-0.0517	19.2882	1.5504	167	2	0.00693
5932408704161040384	242.761298	-55.253578	-0.0022	 0.0642	0.1184	-2.0454	-4.1086	0.1766	0.1816	0.1459	-0.0220	18.5919	1.7914	168.3	2	0.00000
5932408704245775744	242.762234	-55.252947	-0.0017	 0.0648	0.1479	-1.6644	-1.3648	0.1675	0.1779	0.1344	-0.0499	18.4354	1.4283	167.7	3	0.00000
5932408699841827072	242.764316	-55.252616	-0.0005	 0.0652	0.3365	-3.5017	-2.9684	0.1403	0.1461	0.1167	-0.1244	18.0373	1.4192	167.5	2	0.00000
5932408704245776768	242.767162	-55.251203	 0.0011	 0.0666	2.7556	1.6811	-9.1595	1.2936	1.2425	1.0029	-0.2073	19.7180	1.7455	166.1	0	0.02328
5932408704162584576	242.770558	-55.251770	 0.0030	 0.0660	2.5251	-2.7128	-3.4010	0.9493	0.8805	0.7285	-0.1153	20.4728	1.8921	166.6	2	0.00000
5932408704245774848	242.766557	-55.253488	 0.0008	 0.0643	0.8249	-9.5271	-11.257	0.0760	0.0809	0.0639	-0.1362	16.9111	1.5061	168.3	3	0.00000
5932408704161033728	242.767726	-55.253680	 0.0014	 0.0641	-0.1454	-4.3560	-7.7919	0.7921	0.7900	0.5672	0.0395	20.2099	1.6617	168.5	0	0.56781
