# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4152433347382025216	275.820129	-13.678984	-0.0120	-0.0104	0.1093	-0.0842	-2.4092	0.3815	0.5615	0.5078	0.7330	19.3735	2.3006	57.34	2	0.00000
4152433347382002048	275.824346	-13.680093	-0.0079	-0.0115	-0.7996	-5.1478	-8.3207	0.5221	0.6381	0.4845	0.4377	19.4699	4.1117	56.28	0	0.92888
4152433347382001920	275.823879	-13.679536	-0.0084	-0.0109	0.4325	-0.9160	0.3420	0.2602	0.3394	0.2593	0.3117	18.5812	4.0258	56.18	0	0.00000
4152433347392057344	275.825592	-13.679442	-0.0067	-0.0108	1.1858	1.8264	2.4081	0.0519	0.0609	0.0436	0.1184	16.0451	1.5004	55.68	3	0.00000
4152433347381998976	275.826187	-13.679056	-0.0061	-0.0104	1.0718	-1.9093	-1.9397	0.4496	0.5612	0.4415	0.4958	19.3800	2.6836	55.46	0	0.00000
4152386407683808896	275.828273	-13.684436	-0.0041	-0.0158	1.5299	0.6838	-7.3520	0.1705	0.1782	0.1343	0.2797	17.9974	2.5629	57.59	3	0.00000
4152386407693435776	275.830987	-13.684784	-0.0015	-0.0162	-0.8638	-0.9676	-0.1061	1.2564	1.4012	1.1003	0.4878	20.3899	2.7553	57.53	0	0.00000
4152386411979331840	275.832416	-13.685106	-0.0001	-0.0165	0.8761	-4.7784	-6.4696	0.3047	0.3656	0.2787	0.1836	18.7723	4.7529	57.66	0	0.35632
4152386411979334272	275.832591	-13.684353	 0.0001	-0.0157	0.4698	-2.4503	-3.6537	0.4052	0.4862	0.3725	0.4447	19.1741	4.1328	57.27	0	0.00000
4152433347381964288	275.828471	-13.683800	-0.0039	-0.0152	0.2848	-0.4323	-1.5223	0.7950	0.8290	0.6962	0.5269	19.8497	nan	57.24	0	0.00000
4152433343088150656	275.827969	-13.683011	-0.0044	-0.0144	1.4845	-4.0589	-5.9353	0.5742	0.5416	0.4428	0.4348	19.2705	4.1963	56.9	0	0.35263
