# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
2957937104808058496	 80.967342	-24.672679	-0.0698	-0.1482	0.8256	-10.684	7.4495	0.6012	0.4023	0.5293	-0.0787	20.3444	1.7587	2.47	2	0.00000
2957937139167798272	 80.979094	-24.671129	-0.0591	-0.1467	-0.3082	1.6237	-0.7443	0.3989	0.2971	0.3499	-0.0076	19.9314	1.4035	2.466	2	0.06676
2957937177828649344	 80.959009	-24.664575	-0.0774	-0.1401	0.1076	0.4950	1.2218	0.3262	0.2393	0.2774	-0.0388	19.6624	1.0522	2.467	2	0.00000
2957937139168315264	 80.981344	-24.668926	-0.0571	-0.1445	-1.2662	1.6767	-1.6991	0.7450	0.4494	0.7197	0.0454	20.5952	0.3704	2.464	1	0.79160
2957937143465334656	 80.979055	-24.665298	-0.0592	-0.1408	1.9613	10.4757	10.8120	1.2311	0.7052	1.5539	-0.1183	20.7967	1.9508	2.463	2	0.00000
2957937143464692736	 80.975244	-24.660031	-0.0626	-0.1356	-0.0836	1.1646	1.7319	0.5923	0.4404	0.4953	-0.1083	20.3973	1.0666	2.467	2	0.00000
2957937143466209664	 80.977465	-24.663389	-0.0606	-0.1389	-0.8050	1.3133	0.3612	0.8250	0.5367	0.7200	0.0848	20.6610	1.2767	2.463	2	0.01933
2957934119811250304	 80.999072	-24.680027	-0.0410	-0.1556	-0.7321	2.2042	-1.1845	0.4621	0.3370	0.4299	-0.0071	20.1299	0.5886	2.468	3	0.95031
2957934188530726144	 80.997673	-24.672379	-0.0423	-0.1479	0.2549	8.8693	-7.7889	0.2928	0.2396	0.2656	0.0433	19.5939	1.1535	2.463	3	0.00000
2957934497768370304	 81.008985	-24.675579	-0.0320	-0.1511	0.8014	1.1857	-7.4199	0.0157	0.0128	0.0153	-0.1071	14.2756	0.7436	2.464	1	0.00000
2957934287312787200	 81.024871	-24.689758	-0.0175	-0.1653	-0.3670	8.3402	4.4507	0.8809	0.5983	0.7776	-0.1323	20.6498	1.5239	2.472	2	0.00000
2957934218590021120	 81.033124	-24.689616	-0.0100	-0.1651	0.9800	1.5417	2.5425	0.1820	0.1266	0.1763	-0.0912	18.8950	1.7977	2.471	2	0.00000
2957934257246654336	 81.045056	-24.690640	 0.0008	-0.1662	0.6439	2.5906	-2.0006	0.5182	0.3440	0.4764	-0.0780	20.3025	0.5695	2.472	3	0.84859
2957934252949759616	 81.047330	-24.690654	 0.0029	-0.1662	0.4280	5.0299	6.1950	0.0915	0.0680	0.0847	-0.0736	17.8211	1.2334	2.472	3	0.00000
2957934497768370944	 81.011979	-24.680949	-0.0292	-0.1565	-3.5758	23.7662	-11.886	0.7511	0.5973	0.7074	-0.1724	17.4103	2.5300	2.467	1	0.00000
2957934321669249792	 81.030099	-24.675186	-0.0128	-0.1507	0.6962	-0.1022	5.8552	0.3565	0.2656	0.3186	-0.0944	19.8039	2.1559	2.464	2	0.00000
