# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4330437712912303616	248.062399	-13.204881	-0.0685	-0.1511	0.6038	-4.8074	-5.4667	0.2622	0.3359	0.2365	0.1486	19.1602	1.8197	6.237	2	0.00000
4330435135931924992	248.080062	-13.205591	-0.0513	-0.1518	0.0582	-6.8383	-9.2092	0.5193	0.6387	0.4549	-0.0352	19.9441	1.0932	6.588	2	0.00000
4330438060808081408	248.021018	-13.179029	-0.1088	-0.1253	0.2059	-0.1145	-3.7403	0.1802	0.2211	0.1562	0.0475	18.6618	1.3925	6.237	3	0.00000
4330438056509709952	248.029164	-13.185431	-0.1009	-0.1317	0.1413	1.2442	-0.5812	0.3650	0.4219	0.3042	0.0139	19.5385	1.4146	6.24	3	0.00000
4330438056510435968	248.027695	-13.180340	-0.1023	-0.1266	0.2043	-3.0100	-6.3823	1.0397	1.4081	1.0199	0.0368	20.6223	1.4932	6.431	2	0.71257
4330438060810043008	248.032462	-13.178299	-0.0976	-0.1245	-0.1695	-2.4028	-4.9576	0.3983	0.5188	0.3594	0.1432	19.7001	1.2063	6.716	2	0.26589
4330438881144169984	248.003766	-13.159222	-0.1256	-0.1055	-0.4438	-1.4490	-4.2729	0.6729	0.9795	0.6672	0.1252	20.4219	0.8780	6.353	3	0.24324
4330438885439415296	248.005399	-13.160291	-0.1240	-0.1065	2.5569	-2.1637	-4.2680	1.3224	1.6609	1.1211	-0.0759	20.6610	1.0513	6.385	3	0.32980
4330438881144171136	248.006191	-13.156809	-0.1232	-0.1031	-0.9171	-8.2634	-6.6479	0.8433	1.1878	0.8026	0.1849	20.4906	0.9794	6.562	3	0.00003
4330439263398939392	248.009566	-13.152966	-0.1200	-0.0992	0.5834	-1.9828	-3.6255	0.0430	0.0547	0.0369	0.1314	16.0055	1.1858	6.886	3	0.00000
4330439465259022336	248.006091	-13.149950	-0.1233	-0.0962	0.1115	0.1866	-16.591	0.3298	0.4194	0.2915	0.1151	19.5216	1.2246	6.836	3	0.00000
4330438812424683776	248.015743	-13.173324	-0.1139	-0.1196	-0.5150	-1.5889	-3.7346	0.4378	0.6025	0.3989	0.3009	19.8642	1.3457	6.283	2	0.00001
4330438816719915008	248.017354	-13.171653	-0.1124	-0.1179	0.3431	-4.5898	6.2045	1.2591	1.9465	0.9984	0.1113	20.7630	1.0205	6.424	0	0.00000
