# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5961801634944494208	263.537001	-39.093334	-0.0619	-0.0242	0.2393	-1.9645	-0.1774	0.1517	0.1634	0.1205	0.2306	17.8832	1.7435	73.99	0	0.00000
5961801707956172800	263.536812	-39.092665	-0.0620	-0.0235	0.2045	-2.8552	-1.2266	0.1710	0.1801	0.1329	0.2034	17.9694	2.8130	73.85	3	0.00000
5961801703669920640	263.535659	-39.090365	-0.0629	-0.0212	0.6512	-5.6691	-6.2438	0.6340	0.5427	0.4228	-0.2349	19.4777	nan	73.94	0	0.00000
5961801707956183680	263.535229	-39.089486	-0.0632	-0.0203	0.6945	-3.1821	0.2020	0.6027	0.5327	0.3759	0.1044	19.6667	2.2112	74	2	0.00000
5961801707956178944	263.536330	-39.090214	-0.0624	-0.0210	0.5413	-1.4049	-3.8842	0.1979	0.1894	0.1470	0.1073	18.3648	1.8317	73.23	2	0.00000
5961801707956188416	263.534951	-39.087969	-0.0635	-0.0188	0.4790	-0.2265	-5.6687	0.6226	0.5443	0.3843	0.1164	19.6894	2.5546	73.68	2	0.00000
5961801707956190592	263.534976	-39.087230	-0.0634	-0.0181	-0.2659	-0.3397	-7.1564	0.6986	0.5614	0.3918	0.0215	19.7843	2.0168	73.39	0	0.00000
5961801707956193536	263.533963	-39.086931	-0.0642	-0.0178	-0.4624	-3.0674	-5.7355	0.4737	0.4504	0.3334	0.0130	19.3001	nan	74.28	0	0.00000
5961801703669920384	263.533833	-39.086611	-0.0643	-0.0174	-0.3506	-1.9448	-1.5066	0.4030	0.3506	0.2462	0.1673	19.1390	2.7164	74.3	0	0.00000
5961801707956200192	263.533805	-39.084399	-0.0643	-0.0152	-0.7951	1.2780	-1.8120	0.6283	0.5039	0.3478	0.0662	19.6581	2.3775	73.61	2	0.00000
5961801742361017728	263.536353	-39.083790	-0.0624	-0.0146	-0.0190	-3.2403	-6.0738	0.7123	0.5796	0.3999	0.0208	19.7204	2.5181	70.98	0	0.00000
5961801707956209024	263.532728	-39.082270	-0.0652	-0.0131	0.1965	-4.5614	-3.0428	0.5999	0.5411	0.4163	0.0639	19.8113	2.3025	74.09	2	0.00050
5961801742315942016	263.535506	-39.082101	-0.0630	-0.0129	-1.0284	1.7180	-10.853	0.4922	0.4467	0.3989	-0.0726	18.2077	2.3236	71.33	0	0.00000
5961801742361024128	263.534532	-39.080395	-0.0638	-0.0112	0.3425	1.3207	-1.3053	0.1556	0.1518	0.1170	0.0789	18.0144	1.8151	71.86	0	0.00000
5961801742315945856	263.535785	-39.080395	-0.0628	-0.0112	0.1997	-1.2154	-3.4235	0.5999	0.5224	0.3642	0.1106	19.6271	2.0445	70.68	2	0.10831
5961801742361029504	263.531964	-39.076437	-0.0658	-0.0073	1.8816	-6.4588	-6.3835	0.3571	0.3393	0.2706	0.1111	18.6135	2.4345	73.69	0	0.00000
5961801738024761600	263.534555	-39.075663	-0.0638	-0.0065	-0.0136	-2.9106	-5.8284	0.1772	0.1751	0.1333	0.0550	18.1748	2.6362	71.03	3	0.00000
5961801738023757056	263.532706	-39.074431	-0.0652	-0.0053	-0.3459	-2.4413	-4.6943	0.5179	0.5175	0.3539	0.2288	19.4003	nan	72.69	0	0.00332
5961801738036451200	263.533325	-39.074487	-0.0647	-0.0053	-0.0257	-2.0890	-5.2454	0.1776	0.1763	0.1377	0.0974	17.9505	2.6381	72.09	0	0.00000
5961801742318942464	263.535374	-39.073188	-0.0631	-0.0040	0.3823	-2.0457	-5.4251	0.8134	0.7236	0.4679	0.0292	19.8742	2.0643	70.03	2	0.00007
5961801738036465920	263.536359	-39.073046	-0.0624	-0.0039	0.6071	-3.6803	-1.4920	0.3972	0.3584	0.2490	0.0922	19.1107	2.2943	69.15	2	0.00000
5961801948474407680	263.531091	-39.070144	-0.0665	-0.0010	0.1542	-1.3643	-0.1618	0.8014	0.7334	0.5136	0.0419	19.7246	2.2790	74.07	0	0.00001
5961801948477399936	263.533082	-39.068826	-0.0649	 0.0003	-0.2129	-4.4537	-8.4251	0.2329	0.2257	0.1652	0.0932	18.4257	2.5986	72.06	3	0.00000
5961801948477390720	263.534719	-39.069965	-0.0636	-0.0008	-0.3422	1.3760	-4.0163	0.4747	0.4286	0.3075	0.1312	19.4122	2.2634	70.49	2	0.00000
5961801944183200512	263.533594	-39.069645	-0.0645	-0.0005	1.2450	-1.3154	0.1314	0.5788	0.5328	0.3660	0.0758	19.4026	2.1833	71.56	0	0.00000
5961801742318957952	263.536876	-39.069368	-0.0620	-0.0002	0.2722	-5.5977	-8.4875	0.5220	0.4768	0.3311	0.0395	19.3475	2.2305	68.58	0	0.00000
5961801948478470144	263.531115	-39.067034	-0.0664	 0.0021	0.2209	2.1580	0.8576	1.3617	2.0918	1.0997	0.5084	20.5607	1.9236	74.09	0	0.00279
5961801944182209024	263.534987	-39.067601	-0.0634	 0.0016	0.2290	-3.5609	-1.6828	0.1211	0.1388	0.0916	0.2652	17.2714	2.5807	70.27	1	0.00000
5961801948477404544	263.536397	-39.066673	-0.0623	 0.0025	0.0271	-4.5477	-6.6400	0.2916	0.2850	0.2096	0.0494	18.6710	2.5489	69.05	0	0.00000
5961801944182214016	263.532325	-39.065047	-0.0655	 0.0041	0.3429	4.1463	-1.6493	0.2125	0.2237	0.1573	0.0884	18.4198	1.8227	72.98	3	0.00000
5961801948477412736	263.534628	-39.065703	-0.0637	 0.0035	0.8883	-4.3730	-7.4688	0.6750	0.6217	0.4308	0.0861	19.8635	1.9625	70.69	2	0.00000
5961801948520235008	263.534377	-39.064554	-0.0639	 0.0046	0.5214	-3.9846	-3.9328	0.2353	0.2497	0.1792	0.0621	18.4189	2.4864	71.02	0	0.00000
5961801948477419264	263.535447	-39.063730	-0.0631	 0.0054	1.3460	-0.6409	0.4801	0.4056	0.3916	0.2784	0.1142	19.2793	2.1199	70.1	0	0.00000
5961801944184118272	263.535988	-39.063773	-0.0627	 0.0054	0.5916	-1.5794	-2.6956	0.4272	0.4147	0.3344	0.1468	19.3718	2.4138	69.61	0	0.12610
5961801948477438080	263.531837	-39.061474	-0.0659	 0.0077	0.4482	0.7522	-0.4409	0.6413	0.6279	0.4253	0.1551	19.8462	1.9505	73.9	2	0.00000
5961801948477440896	263.533086	-39.060310	-0.0649	 0.0089	-0.0244	-1.4695	0.1832	1.2446	1.7549	0.8440	0.6787	20.2597	2.1099	72.83	0	0.00009
5961801948477433088	263.534432	-39.061407	-0.0639	 0.0078	-0.5527	-2.3289	-9.4725	0.6798	0.6771	0.4598	0.1435	19.9982	2.5729	71.34	2	0.00000
5961801948520243712	263.532526	-39.058042	-0.0654	 0.0111	0.0204	-2.3443	-4.0695	0.4159	0.4096	0.2807	0.0986	19.2780	2.6009	73.85	0	0.05244
5961802047261443584	263.534652	-39.058744	-0.0637	 0.0104	0.0547	-2.3488	-3.4753	0.1513	0.1885	0.1127	0.3107	17.6269	2.8371	71.6	3	0.72098
5961802051556673280	263.533086	-39.056218	-0.0649	 0.0130	1.2203	-0.8866	-3.5629	0.8068	0.8823	0.5164	0.3248	20.0370	1.9649	73.72	2	0.04151
5961802051556673408	263.533820	-39.055868	-0.0644	 0.0133	0.5135	-5.5122	-8.0972	0.1508	0.1656	0.1070	0.1967	17.7130	2.4648	73.08	3	0.00000
5961802047263004288	263.535632	-39.056685	-0.0630	 0.0125	0.7460	8.2894	2.8191	0.2103	0.2076	0.1468	0.0685	18.3779	2.0112	71.13	3	0.00000
5961802051613205376	263.536732	-39.054924	-0.0621	 0.0142	-0.2283	-4.9460	-4.1186	0.5586	0.5252	0.3627	0.0684	19.4981	2.6969	70.56	0	0.00007
5961802051556681216	263.533965	-39.053686	-0.0642	 0.0155	2.7058	-5.6846	-2.7920	1.0084	1.1099	0.6593	0.2652	19.8750	2.1438	73.57	0	0.00750
5961802051599462656	263.534340	-39.053137	-0.0640	 0.0160	0.0768	0.8504	0.3549	0.2441	0.2645	0.1794	0.1782	18.5354	2.2940	73.37	2	0.00000
5961802047263220864	263.534998	-39.050900	-0.0634	 0.0183	-0.1576	-4.2043	-5.3283	0.2177	0.2389	0.1575	0.2017	18.4132	2.1093	73.49	3	0.00000
5961802051556686208	263.536951	-39.051463	-0.0619	 0.0177	1.1374	-6.5727	-8.3606	0.6095	0.6805	0.4385	0.1901	19.1959	2.6299	71.42	0	0.00000
5961800810310725248	263.559833	-39.117988	-0.0441	-0.0488	0.4603	0.5747	-1.1481	0.0592	0.0577	0.0447	0.0399	16.2846	1.8916	73.17	3	0.00000
5961800814602860928	263.562363	-39.118975	-0.0422	-0.0498	0.9733	-1.0716	-3.7633	0.7626	0.6793	0.4666	0.0963	19.7722	1.7678	72.46	0	0.05318
5961800642849331328	263.577509	-39.128358	-0.0304	-0.0592	-0.1899	-5.5913	-4.5157	0.1284	0.1532	0.1040	0.3444	17.5816	2.7268	74.14	3	0.00000
5961800642804096512	263.585181	-39.131059	-0.0244	-0.0619	0.2796	-4.4572	-1.1368	0.4414	0.3645	0.2594	0.0821	19.0682	2.3433	74.14	2	0.00000
5961800642804104704	263.581646	-39.129461	-0.0272	-0.0603	1.3016	1.3246	-0.0623	0.5154	0.4432	0.3047	0.1550	19.4472	2.3841	73.6	2	0.00000
5961800642849322240	263.588933	-39.131144	-0.0215	-0.0619	-1.5235	-1.9335	-3.0497	0.8232	0.6753	0.4788	0.0842	19.6902	2.3990	72.91	0	0.24050
5961800574087275264	263.590767	-39.131808	-0.0201	-0.0626	1.1723	-2.4860	-10.797	0.4436	0.3751	0.2621	0.0567	19.2567	nan	73.14	0	0.00000
5961800574087276288	263.591013	-39.131351	-0.0199	-0.0622	0.5805	-0.6967	-3.7235	0.2538	0.2472	0.1916	0.0203	18.6797	2.1413	72.5	0	0.00000
5961800574143870720	263.591994	-39.131441	-0.0192	-0.0622	-0.2572	-2.7540	-4.0392	0.5600	0.4497	0.3122	0.0219	19.4272	2.5082	72.32	2	0.04034
5961800642849322112	263.590658	-39.130090	-0.0202	-0.0609	0.2357	-0.6218	-4.3544	0.0655	0.0634	0.0493	0.0422	16.4041	2.7196	71.1	3	0.00000
5961800642804100864	263.585498	-39.128529	-0.0242	-0.0593	0.7218	0.1290	-5.6785	0.7587	0.6364	0.4367	0.1698	19.8467	2.4610	71.01	2	0.00000
5961800810310701696	263.568939	-39.124525	-0.0371	-0.0553	0.2954	-4.1620	-3.6473	0.1463	0.1587	0.1133	0.1957	17.6750	2.8613	74.24	3	0.00000
5961800814602837888	263.568853	-39.122728	-0.0371	-0.0535	2.5659	-2.4019	-5.1716	1.1116	1.7037	0.8830	0.7490	19.9627	2.4526	72.34	0	0.00370
5961800810311751680	263.571558	-39.125255	-0.0350	-0.0561	1.1361	-1.0971	-1.3631	0.8815	0.8202	0.6551	0.0100	18.3455	2.1711	73.58	1	0.00871
5961800810312610688	263.567223	-39.121957	-0.0384	-0.0528	-0.0682	-0.7110	-3.8653	0.2207	0.2092	0.1641	0.0734	18.4506	2.9215	72.48	0	0.00000
5961800844671496960	263.567945	-39.119824	-0.0378	-0.0506	0.7156	-0.2737	-2.2532	0.2443	0.2314	0.1813	0.0778	18.6463	2.2966	69.96	2	0.00000
5961800848962571648	263.572586	-39.121760	-0.0342	-0.0526	1.0231	-7.1892	-6.8511	0.8200	0.6629	0.4687	0.0919	19.9876	2.2681	69.41	0	0.00000
5961800849007767552	263.573430	-39.122532	-0.0336	-0.0533	0.8658	-1.3697	-0.5852	0.1761	0.1682	0.1273	0.0898	18.1170	1.9525	69.75	0	0.00000
5961800848965267712	263.575577	-39.121109	-0.0319	-0.0519	0.0179	-0.6803	-3.7679	1.0777	1.6629	0.8169	0.7469	20.0929	2.1514	67.51	0	0.03423
5961800848965282944	263.572431	-39.119641	-0.0343	-0.0504	-0.2610	1.1446	-10.438	1.3057	1.9444	0.9152	0.7462	20.2034	2.1674	67.61	0	0.00000
5961800849007769344	263.574928	-39.119526	-0.0324	-0.0503	0.3116	-1.8028	-1.6081	0.1077	0.1198	0.0897	0.1353	17.3337	1.8404	66.5	1	0.00000
5961800642804133632	263.578388	-39.120708	-0.0297	-0.0515	-0.6113	-0.6938	0.8494	0.7672	0.6753	0.4385	0.2076	19.7566	1.8532	66.15	0	0.00000
5961800849007766528	263.577581	-39.120063	-0.0303	-0.0509	0.9678	-6.6853	-6.5930	0.3954	0.3859	0.2616	0.5185	18.4818	nan	65.95	0	0.00000
5961800642804135424	263.577911	-39.120229	-0.0301	-0.0510	-0.0197	-1.3471	-2.9227	0.1407	0.1468	0.1062	0.2490	17.6796	2.3377	65.96	0	0.00253
5961800642804108928	263.582630	-39.127144	-0.0264	-0.0579	-0.6002	1.6321	-2.6523	0.7222	0.5314	0.3670	-0.0223	19.6521	2.3227	70.54	2	0.00000
5961800638525017600	263.583402	-39.126154	-0.0258	-0.0570	-0.2978	-2.1153	-7.6155	0.4716	0.3889	0.2716	0.0743	19.2040	2.4848	69.21	0	0.00000
5961800642806813696	263.579114	-39.124691	-0.0292	-0.0555	1.8518	-7.1394	-6.7907	1.1905	1.9154	0.9400	0.7224	20.2082	2.0841	69.37	2	0.00122
5961800638517867648	263.579939	-39.124417	-0.0285	-0.0552	0.3704	-4.8907	-8.5980	0.2207	0.2046	0.1585	0.0729	18.4751	2.6692	68.78	3	0.00000
5961800642849333120	263.580175	-39.123582	-0.0283	-0.0544	0.0125	-3.8608	-4.9046	0.2667	0.2404	0.1897	0.0836	18.6874	2.8201	67.9	0	0.00000
5961800642804124416	263.579772	-39.123455	-0.0286	-0.0543	-0.2250	-3.4963	-4.6825	0.3164	0.3305	0.2575	0.2830	18.9005	nan	67.94	0	0.00003
5961800638512008320	263.583731	-39.125400	-0.0256	-0.0562	0.3701	3.9345	1.3424	0.1267	0.1315	0.0947	0.2188	17.5424	1.7089	68.35	3	0.00000
5961800642804096896	263.589035	-39.127811	-0.0215	-0.0586	-0.4512	1.6098	-2.3999	0.2071	0.1977	0.1545	0.0684	18.2655	1.9313	69.07	0	0.00000
5961800638512004224	263.589892	-39.127712	-0.0208	-0.0585	0.1089	-5.6169	-4.3192	0.0919	0.0909	0.0691	0.0910	17.0321	2.9200	68.72	3	0.00000
5961800638525053952	263.592237	-39.127698	-0.0190	-0.0585	0.3948	-1.9144	-4.4199	0.1352	0.1464	0.1050	0.2263	17.7259	1.9390	68.08	3	0.00000
5961800642849327616	263.588525	-39.125647	-0.0219	-0.0565	0.4276	-1.2645	1.2657	0.1459	0.1572	0.1135	0.2332	17.6607	2.1319	67.12	1	0.00000
5961800638512010752	263.587363	-39.124382	-0.0228	-0.0552	0.4072	-1.9976	-5.4649	0.0879	0.0806	0.0626	0.0513	16.9128	2.0875	66.35	3	0.00000
5961800642804098944	263.591498	-39.124966	-0.0196	-0.0558	-0.4954	-3.3235	-3.5267	0.5961	0.4921	0.3388	0.0372	19.6483	2.6964	65.83	2	0.12485
5961800642804130048	263.578848	-39.122325	-0.0294	-0.0531	1.8109	-3.1240	-9.0622	0.5094	0.4518	0.3408	0.0935	19.1396	2.6389	67.29	0	0.00000
5961800638513065088	263.580007	-39.122315	-0.0285	-0.0531	0.5050	-2.6252	-4.3187	0.3679	0.3189	0.2417	0.0800	19.0122	2.5046	66.87	2	0.00052
5961800638530958080	263.580307	-39.121697	-0.0282	-0.0525	0.0247	-6.2618	-4.2410	0.1536	0.1590	0.1139	0.2310	17.8140	2.7554	66.27	3	0.00000
5961800642804124672	263.581976	-39.122009	-0.0269	-0.0528	0.0042	-1.3734	-4.2880	0.8806	0.6793	0.4475	0.0592	19.8519	1.4616	65.99	3	0.02599
5961800642804134528	263.579332	-39.119614	-0.0290	-0.0504	-0.2790	-0.3221	-1.9147	0.6346	0.5060	0.3513	0.0589	19.6794	2.4370	65.1	2	0.00005
5961800642863360640	263.585603	-39.120714	-0.0241	-0.0515	0.7438	-7.5290	-5.9132	0.1377	0.1456	0.1061	0.1477	17.7587	1.8627	64.28	2	0.00000
5961800642804113408	263.588320	-39.121455	-0.0220	-0.0523	1.8689	-3.5983	-4.3240	0.8371	0.8492	0.5433	0.4419	19.5927	2.4135	64.18	0	0.05891
5961800638530958208	263.587351	-39.120617	-0.0228	-0.0514	0.9546	-0.5696	-4.2096	0.0408	0.0405	0.0308	-0.0267	15.4511	1.3343	63.95	1	0.00000
5961800642804122496	263.585527	-39.120144	-0.0242	-0.0509	1.3142	0.0872	-3.7080	0.7121	0.6048	0.4170	0.0514	19.8399	nan	64.02	0	0.00346
5961800642804118400	263.587264	-39.120183	-0.0228	-0.0510	0.8939	-2.0755	-0.5849	0.2755	0.2653	0.2021	0.0222	18.1162	nan	63.79	0	0.00000
5961800642804119680	263.587737	-39.119471	-0.0225	-0.0503	0.2524	-4.9460	-7.4531	0.6398	0.6583	0.4562	0.2269	19.8164	2.8658	63.53	2	0.00000
5961800745883324544	263.591272	-39.120526	-0.0197	-0.0513	1.0245	1.0236	-1.1134	0.5186	0.4219	0.2936	0.0597	19.4135	2.2425	63.51	3	0.00000
5961800574084601344	263.593056	-39.133109	-0.0183	-0.0639	0.4404	-2.1000	-3.1906	0.2323	0.2226	0.1718	0.0558	18.6211	2.1231	74.1	3	0.52399
5961800574084584448	263.600872	-39.132882	-0.0123	-0.0637	-0.1676	2.3056	-2.3829	0.6442	0.4620	0.3335	0.0509	19.4967	2.4590	71.97	0	0.00000
