# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4062918184792347136	271.525986	-27.797416	-0.0087	-0.0321	0.1529	-4.5907	-4.5104	0.2157	0.2155	0.1665	0.3287	18.4538	1.0278	187.1	0	0.00000
4062918390950775424	271.525224	-27.796644	-0.0094	-0.0314	0.1383	-1.4590	-3.1161	0.2381	0.3014	0.2496	0.6172	18.3713	nan	187	0	0.00000
4062918390950702336	271.524692	-27.796610	-0.0099	-0.0313	0.1942	-2.7358	-4.5215	0.1829	0.2057	0.1515	0.2527	17.8365	1.5547	187	0	0.00000
4062918188882333312	271.527081	-27.796272	-0.0077	-0.0310	0.0410	-3.7013	-3.8567	0.4889	0.5235	0.3909	0.5617	18.7973	0.7292	186.2	0	0.01718
4062918184793016576	271.529146	-27.797365	-0.0059	-0.0321	0.1644	-2.2170	0.9471	0.2707	0.2986	0.2232	0.3198	16.8776	1.6057	186.9	0	0.00000
4062918219152757760	271.530410	-27.796472	-0.0048	-0.0312	-0.6100	-3.4805	-5.4958	0.5977	0.5486	0.3344	-0.1138	18.9386	nan	185.3	0	0.00000
4062918218820656512	271.531888	-27.797449	-0.0035	-0.0322	0.1412	-7.4847	-3.4123	0.0603	0.0722	0.0569	0.2479	15.4907	1.8506	186.7	0	0.00000
4062918219152612608	271.533445	-27.796378	-0.0021	-0.0311	1.1504	-2.3140	-11.697	0.2689	0.3234	0.2106	-0.3463	18.1499	2.2551	184.2	0	0.00000
4062918223242053376	271.535174	-27.797799	-0.0006	-0.0325	-0.7964	-1.6613	-2.4059	0.2966	0.4091	0.2899	0.5322	18.7812	nan	186.9	0	0.00059
4062918223206555264	271.537422	-27.798515	 0.0014	-0.0332	0.1821	-6.8857	-4.2675	0.0686	0.0787	0.0572	0.2717	16.7518	1.8570	187.1	2	0.00000
4062918219152598656	271.538246	-27.798524	 0.0021	-0.0332	-0.0702	-5.3518	-8.9727	0.0834	0.0940	0.0695	0.1755	16.9669	1.7350	187.1	0	0.00000
4062918223142835712	271.536807	-27.797927	 0.0009	-0.0327	1.2381	1.8421	-4.2917	0.3453	0.2899	0.2364	-0.1338	18.3652	nan	186.9	0	0.00000
4062918223206555392	271.537074	-27.797869	 0.0011	-0.0326	-1.4781	-5.3924	-10.158	0.4146	0.4754	0.3595	0.3252	18.1432	nan	186.9	0	0.00000
4062918223206591232	271.534958	-27.796963	-0.0008	-0.0317	0.0047	-1.3224	-5.8335	0.5533	0.6243	0.4394	-0.2091	18.9547	nan	185.7	0	0.00000
4062918223206584192	271.535859	-27.796278	 0.0000	-0.0310	-0.2684	2.6469	-4.9623	0.1852	0.2090	0.1485	0.2182	18.1048	1.2778	183.6	0	0.00000
4062918219152614272	271.536689	-27.797234	 0.0008	-0.0320	0.2304	-2.9790	-5.4347	0.0871	0.1009	0.0743	0.1959	17.2888	1.5733	186.2	2	0.00000
4062918219152614656	271.537309	-27.797372	 0.0013	-0.0321	0.3688	-5.5023	-4.5798	0.1434	0.1615	0.1179	0.1293	17.8547	nan	186.5	0	0.00000
