# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4075694651318367872	283.763602	-22.750177	-0.0107	-0.0487	-1.5342	2.1323	-7.7651	0.8890	1.5874	1.3926	0.5390	20.2487	1.0294	49.15	2	0.00002
4075694651332953088	283.765971	-22.750389	-0.0085	-0.0489	0.2053	3.7447	0.5193	0.6527	0.7694	0.6789	0.4453	19.8506	1.6463	49.34	2	0.00000
4075694647016450688	283.762692	-22.747295	-0.0115	-0.0458	-0.2857	0.4195	-1.5151	0.7507	0.9390	0.8178	0.3848	19.9351	1.2313	51.62	2	0.00023
4075694651329667456	283.759886	-22.746884	-0.0141	-0.0454	0.5192	-2.2440	-2.0468	0.1381	0.1725	0.1575	0.3722	17.6986	1.0923	51.32	1	0.00000
4075694651318366208	283.766614	-22.749807	-0.0079	-0.0483	-0.1415	-2.3947	-5.3364	0.7110	1.0587	1.0420	0.5514	20.1335	1.4061	49.97	3	0.43762
4075694651315705984	283.768962	-22.748178	-0.0057	-0.0467	0.6199	-5.1475	-8.3221	0.5669	0.6909	0.5787	0.3264	19.5987	1.0667	51.8	0	0.00008
4075694651315686272	283.771885	-22.750298	-0.0030	-0.0488	-0.7398	-4.3391	-3.6157	0.6169	0.8112	0.7250	0.4619	19.7252	1.1860	50.02	1	0.08910
4075694651315695488	283.770036	-22.749342	-0.0047	-0.0479	-0.4398	-3.7034	-3.5934	0.5174	0.6516	0.5867	0.4433	19.4720	1.4538	50.79	2	0.07163
4075694651315695744	283.771002	-22.748375	-0.0038	-0.0469	0.2145	-3.3244	-7.2889	0.5406	0.8606	0.8235	0.4702	19.9080	0.6739	51.8	0	0.09770
4075694651329645440	283.770528	-22.747913	-0.0043	-0.0464	0.4757	0.1891	-1.4695	0.0566	0.0770	0.0707	0.2871	16.4404	1.1039	52.21	3	0.00000
4075694651329648512	283.771345	-22.745996	-0.0035	-0.0445	-1.8489	-0.3051	-3.3999	0.6392	0.7920	0.7564	0.3878	18.6777	1.0862	54.19	1	0.03731
4075694651315680896	283.772758	-22.751066	-0.0022	-0.0496	0.8341	8.7994	-25.359	0.4995	0.5980	0.5039	0.3150	19.5414	1.9209	49.35	2	0.00000
4075694651329629440	283.775322	-22.751092	 0.0001	-0.0496	0.0079	-2.3033	-3.5138	0.1342	0.1811	0.1539	0.2167	17.9379	0.9691	49.37	3	0.00000
4075694582599312384	283.776997	-22.750906	 0.0017	-0.0494	0.9314	-2.5755	-5.1861	0.8122	1.3343	1.1518	0.3995	20.1923	0.7900	49.52	2	0.37907
4075694616958620160	283.777449	-22.750477	 0.0021	-0.0490	0.8353	-4.0454	-5.9353	0.6363	1.0061	0.8985	0.4439	20.0623	1.1914	49.9	2	0.46687
4075694616973208704	283.780012	-22.751256	 0.0045	-0.0498	-0.1138	-5.5959	-6.9511	0.6205	0.9587	0.8470	0.3580	20.0385	1.0741	49.04	0	0.15515
4075694616955907968	283.782977	-22.750200	 0.0072	-0.0487	0.3698	-3.7477	-5.9034	0.4278	0.4935	0.4302	0.4201	19.3467	0.9484	49.71	3	0.47177
4075694616960021760	283.784505	-22.750118	 0.0086	-0.0486	3.5180	0.2307	-5.8686	0.9835	2.2298	1.6442	0.0670	20.5009	1.0128	49.57	2	0.08731
4075694651315675904	283.775632	-22.749537	 0.0004	-0.0481	-1.5402	1.2968	-2.1433	0.6751	0.9168	0.8511	0.5752	19.9164	1.0755	50.83	0	0.00137
4075694651329639168	283.773225	-22.747840	-0.0018	-0.0464	0.4067	-1.0620	0.1556	0.0948	0.1255	0.1204	0.3868	17.3149	1.0728	52.44	3	0.00000
4075694616969888768	283.778923	-22.748899	 0.0035	-0.0474	0.6341	-1.6870	4.5301	0.0260	0.0322	0.0288	0.2973	14.7741	0.9983	51.32	3	0.00000
4075694681373250432	283.776781	-22.748501	 0.0015	-0.0470	1.3658	3.7833	1.3476	0.0365	0.0445	0.0397	0.2791	15.5771	1.2722	51.81	3	0.00000
4075694685675416576	283.776461	-22.747829	 0.0012	-0.0464	0.6948	-1.0963	-4.5359	0.5166	0.5691	0.4830	0.3394	19.5074	0.8042	52.47	0	0.03919
4075694685689375488	283.775067	-22.747263	-0.0001	-0.0458	0.0948	-1.5000	-2.3964	0.1040	0.1291	0.1174	0.3246	17.4532	1.1423	53.05	3	0.00000
4075694685675424512	283.775423	-22.746981	 0.0002	-0.0455	0.2014	-3.1223	-5.3310	1.1695	0.7160	0.5875	0.0591	19.6209	nan	53.33	0	0.70689
4075694685675420928	283.777984	-22.745582	 0.0026	-0.0441	-0.0194	-5.1033	-7.2204	0.5070	0.5856	0.5076	0.3727	19.5989	1.0543	54.69	3	0.00107
4075694616955920768	283.780779	-22.749031	 0.0052	-0.0476	0.6357	2.2789	-5.1613	0.2926	0.3734	0.3353	0.4265	18.8936	1.5203	51.05	0	0.00000
4075694612656717440	283.781262	-22.749804	 0.0056	-0.0483	0.8936	-7.3600	-6.7312	0.4902	0.6092	0.5285	0.4397	19.4688	nan	50.27	0	0.00000
4075694616955913856	283.781840	-22.749847	 0.0061	-0.0484	-0.2349	-2.1230	-5.4975	0.2753	0.3840	0.3555	0.5006	19.0178	1.0947	50.17	3	0.01060
4075694685675409280	283.779282	-22.747657	 0.0038	-0.0462	-0.6423	-2.1511	-5.0665	0.7515	0.9159	0.7864	0.4466	19.9487	0.9218	52.5	2	0.53240
4075694616955921920	283.781462	-22.747978	 0.0058	-0.0465	0.1539	-5.1464	-5.8682	0.2728	0.3531	0.3242	0.4104	18.9701	1.0890	51.99	3	0.00003
4075694685689369600	283.780186	-22.745404	 0.0046	-0.0439	0.3226	1.1212	-6.7031	0.1408	0.1781	0.1610	0.3075	17.8751	1.1184	54.7	3	0.00000
4075694616969884672	283.785317	-22.745605	 0.0094	-0.0441	0.2728	-2.7751	-4.7933	0.1719	0.2201	0.2002	0.3289	18.3214	1.0925	53.73	3	0.88292
4075694612653783680	283.783138	-22.745381	 0.0073	-0.0439	0.2384	-3.3518	-3.6957	0.1567	0.1941	0.1752	0.3084	18.1045	1.2031	54.34	3	0.00000
4075694616969874176	283.787930	-22.748402	 0.0118	-0.0469	0.0275	0.0789	-1.8476	0.1144	0.1427	0.1281	0.2763	17.6606	1.0959	50.53	3	0.00000
4075694616969871488	283.790805	-22.746920	 0.0144	-0.0454	0.1668	-1.9938	-3.3401	0.0479	0.0605	0.0556	0.3591	15.9875	1.4209	51.2	3	0.00000
4075694616969879680	283.787933	-22.745752	 0.0118	-0.0443	0.4091	2.2595	0.9714	0.1034	0.1280	0.1141	0.2527	17.4187	1.1410	53.02	3	0.00000
4075694612656737152	283.786205	-22.744266	 0.0102	-0.0428	-0.0382	-3.1526	-5.0911	0.4266	0.4898	0.4219	0.3488	19.3285	0.9634	54.9	3	0.90050
4075694612656787712	283.792032	-22.744347	 0.0155	-0.0429	0.0151	-3.0386	-4.6322	0.2330	0.2951	0.2727	0.3923	18.4243	1.0819	53.23	1	0.90498
4075700492485123328	283.796052	-22.747391	 0.0193	-0.0459	1.7378	-13.643	-16.647	0.2100	0.2981	0.2696	0.4816	18.4418	2.1753	49.21	2	0.00000
4075700488187156480	283.797778	-22.745589	 0.0208	-0.0441	0.1057	-2.2868	-8.1962	0.2858	0.4491	0.3852	0.3034	19.0194	1.0388	50.14	3	0.00000
4075700488172048512	283.793173	-22.744796	 0.0166	-0.0433	0.3419	-3.5277	-5.2034	0.2121	0.2777	0.2619	0.4175	18.5537	1.0308	52.45	3	0.87043
4075700492473872000	283.795249	-22.745327	 0.0185	-0.0439	1.0367	-1.9284	3.2579	0.7623	1.1528	1.0499	0.4919	20.1880	1.4101	51.27	2	0.00000
4075700492471159552	283.792806	-22.743390	 0.0163	-0.0419	0.0522	-3.0942	-4.5766	0.2995	0.3784	0.3572	0.4268	18.7167	1.0448	53.89	1	0.85771
4075700492473870976	283.796954	-22.745407	 0.0201	-0.0439	-1.2312	2.9185	-8.4176	0.8326	1.5379	1.4327	0.6503	20.1787	0.9664	50.6	2	0.00000
4075700492471141760	283.796739	-22.744368	 0.0199	-0.0429	-0.2521	-2.4031	-5.5527	0.4042	0.5211	0.4502	0.4593	19.2194	1.1326	51.58	3	0.32320
4075700492486010368	283.798704	-22.744403	 0.0217	-0.0429	-0.0360	-3.0289	-5.1538	0.2109	0.3102	0.2775	0.3848	18.5784	1.0198	50.79	3	0.94444
4075700492473383680	283.800349	-22.742789	 0.0232	-0.0413	0.4182	-6.9094	-6.2435	0.7325	1.1204	0.9534	0.4629	19.9452	1.1507	51.47	3	0.05920
4075694750095708800	283.744372	-22.742031	-0.0284	-0.0406	-0.0784	-1.4204	-5.6392	0.4337	0.4835	0.4263	0.4849	19.2584	1.0426	49.46	2	0.00015
4075694754412179328	283.745126	-22.741652	-0.0277	-0.0402	-0.3788	-0.4520	-4.1229	0.8982	1.4477	1.1974	0.3503	20.0255	1.0648	50.12	0	0.19318
4075694754397611904	283.744429	-22.741516	-0.0284	-0.0400	0.6277	0.3173	-2.3182	1.1035	1.2788	1.1195	0.4530	20.3430	nan	49.88	0	0.04749
4075694823128454144	283.740418	-22.737860	-0.0321	-0.0364	0.6059	-0.3888	-14.178	0.0718	0.0967	0.0863	0.3284	16.7553	1.0621	50.42	3	0.00000
4075694921908833024	283.742803	-22.738712	-0.0299	-0.0372	0.4292	-3.5596	-4.9783	0.7111	0.6174	0.5413	0.4923	19.5362	1.1548	51.15	2	0.75733
4075694921894421760	283.743992	-22.737778	-0.0288	-0.0363	0.6895	-0.6576	-5.9725	1.0330	1.4360	1.2270	0.4160	20.4214	1.3335	52.52	0	0.12435
4075694818829508480	283.732904	-22.732762	-0.0390	-0.0313	-0.4169	-0.0634	-5.0889	0.4216	0.6222	0.5634	0.6763	19.3352	1.0219	49.02	3	0.00000
4075695677822928256	283.729077	-22.725586	-0.0425	-0.0241	1.0973	-0.4829	-5.6731	0.6041	0.8849	0.8771	0.5549	19.8812	1.0597	50.05	2	0.00123
4075694823128463232	283.737488	-22.736249	-0.0348	-0.0348	0.5810	-4.0931	-3.5839	0.1301	0.1758	0.1625	0.4804	17.8700	1.1784	49.79	3	0.00000
4075694823114708992	283.738884	-22.735868	-0.0335	-0.0344	0.5719	-1.3327	-7.4055	0.2374	0.3288	0.3077	0.5036	18.8033	0.9592	50.9	3	0.00000
4075694818815232768	283.736706	-22.734521	-0.0355	-0.0331	0.3856	-4.8801	-5.4723	0.5730	0.7273	0.6442	0.5155	19.6650	1.1128	50.43	0	0.34493
4075694921908788096	283.738760	-22.733918	-0.0336	-0.0324	0.2028	-3.4415	-5.7886	0.7479	0.8728	0.8040	0.5226	19.8154	1.1423	52.15	2	0.61145
4075694926193979520	283.736255	-22.731056	-0.0359	-0.0296	-0.4415	-1.1156	-7.3931	0.7964	1.1203	0.9534	0.7271	19.8283	0.9175	52.32	2	0.00000
4075694921894470656	283.736866	-22.731643	-0.0353	-0.0302	0.4726	-5.7180	-7.5247	0.6095	0.8557	0.7764	0.5530	19.9244	0.9553	52.38	2	0.04090
4075694921908788352	283.739835	-22.735468	-0.0326	-0.0340	0.2786	2.2729	-0.3129	0.8541	1.3708	1.2256	0.3983	20.2078	1.7018	51.76	2	0.00054
4075694926196311552	283.742756	-22.735465	-0.0299	-0.0340	-0.4686	-3.6834	-5.7760	1.5733	0.9616	0.7920	0.3397	19.9604	0.7066	53.57	2	0.61347
4075694921908833920	283.742852	-22.734336	-0.0298	-0.0329	-0.3291	-2.9564	-3.7943	0.1920	0.2546	0.2304	0.4396	18.4008	0.9729	54.49	1	0.00162
4075694926207671424	283.742678	-22.733765	-0.0300	-0.0323	0.5645	-0.3916	-5.0696	0.4733	0.5272	0.4535	0.4208	19.2718	nan	54.82	0	0.00008
4075694926207664256	283.745633	-22.735070	-0.0272	-0.0336	0.3567	0.0616	0.2535	0.0844	0.1072	0.0965	0.3545	17.0421	1.0971	55.67	3	0.00000
4075694921908799104	283.739891	-22.731438	-0.0325	-0.0300	0.6518	-4.0928	-4.9557	0.5448	0.6429	0.5522	0.5081	19.4321	0.9517	54.63	0	0.61550
4075694926193907456	283.745574	-22.731872	-0.0273	-0.0304	0.5934	-5.3244	-9.4358	0.4988	0.5532	0.4945	0.5043	19.4264	1.0665	58.36	2	0.00000
4075694926207697280	283.734455	-22.729876	-0.0376	-0.0284	-0.3620	-4.6289	-6.3770	0.3680	0.5000	0.4264	0.6228	19.0013	1.0621	51.77	3	0.10106
4075694926196322560	283.736225	-22.728271	-0.0359	-0.0268	1.0093	-1.0266	-5.5514	0.8923	1.5398	1.3640	0.6340	20.1704	0.9628	54.03	2	0.13608
4075694926193991936	283.737465	-22.728449	-0.0348	-0.0270	0.4798	-3.6736	-5.0677	0.4054	0.5480	0.4689	0.6220	19.1396	0.8044	54.86	3	0.80566
4075695682108264064	283.735150	-22.727265	-0.0369	-0.0258	0.6053	2.6434	-1.0536	0.2402	0.3944	0.3727	0.6934	18.6428	1.1291	53.81	3	0.00000
4075695677805739904	283.735035	-22.726246	-0.0370	-0.0248	0.0600	-3.9260	-6.7290	0.1747	0.2820	0.2611	0.7044	18.0582	1.0826	54.31	3	0.00000
4075694926207699200	283.737119	-22.726446	-0.0351	-0.0250	0.1843	-3.1883	-5.0159	0.0530	0.0693	0.0637	0.4037	16.3167	1.2581	55.86	3	0.99712
4075694921908794624	283.739492	-22.725454	-0.0329	-0.0240	0.6181	1.4710	-0.8727	0.2526	0.4306	0.3855	0.5670	18.8483	1.1686	58.52	3	0.00000
4075694926207684736	283.741398	-22.729295	-0.0312	-0.0278	0.1806	-1.5334	-2.7713	0.0879	0.1164	0.1043	0.3860	17.0932	1.1279	57.31	3	0.00000
4075694926193971968	283.740924	-22.727468	-0.0316	-0.0260	-0.3877	-0.7467	1.4784	0.6320	0.8184	0.7289	0.5668	19.7830	2.4899	58.3	2	0.00000
4075694926193958656	283.741402	-22.728613	-0.0312	-0.0271	0.4127	1.1056	-4.0311	0.4304	0.5545	0.4916	0.5555	19.3286	nan	57.83	0	0.00000
4075694926196315264	283.743998	-22.729718	-0.0288	-0.0282	-0.6166	-6.2972	-3.0720	1.1308	1.4397	1.1840	-0.0766	20.1390	1.6162	59.02	0	0.34175
4075694926207675776	283.745799	-22.729735	-0.0271	-0.0283	0.0973	2.6656	-0.9964	0.2326	0.2938	0.2545	0.2959	18.4933	1.1338	60.47	3	0.00000
4075694926193951232	283.743594	-22.727326	-0.0291	-0.0259	0.0253	-0.4424	-2.9249	0.1679	0.2462	0.2192	0.3888	18.1724	1.1693	60.73	0	0.00000
4075694921891493120	283.744048	-22.727438	-0.0287	-0.0260	0.2794	-1.5073	-8.4419	0.2022	0.2967	0.2649	0.4288	18.4756	nan	61.04	0	0.00000
4075694926193947904	283.744866	-22.727167	-0.0280	-0.0257	0.4100	0.1344	-5.8978	0.3258	0.4530	0.3951	0.2931	19.0670	0.9574	62.04	3	0.00000
4075694926193978368	283.742322	-22.725302	-0.0303	-0.0238	2.0629	1.1478	-6.9851	0.5555	0.8363	0.7451	0.4742	19.8635	1.3203	61.25	2	0.00000
4075694926195829248	283.744775	-22.725657	-0.0280	-0.0242	1.8724	-5.9058	-3.4240	0.8257	1.2051	1.0640	0.4412	20.1217	0.9584	63.37	0	0.08131
