# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
6730890433531881728	284.822261	-36.786412	-0.0527	-0.1542	-0.0897	-4.4172	-3.9038	0.7012	0.7931	0.7963	0.1282	20.0812	1.8663	21.91	2	0.00000
6730890021203187328	284.873053	-36.796583	-0.0121	-0.1643	0.4173	-3.3021	-4.6787	0.2022	0.2407	0.1834	-0.1045	18.3686	1.1032	21.88	3	0.00000
6730890399160311168	284.844022	-36.793611	-0.0353	-0.1614	0.0663	-6.7553	-7.6103	0.2572	0.3011	0.2636	0.0550	18.7792	1.0683	21.88	1	0.00000
6730890403466024960	284.849283	-36.794977	-0.0311	-0.1627	0.8300	-0.6267	-5.9768	0.4935	0.6201	0.5843	0.1018	19.6070	0.9693	21.87	0	0.00000
6730890403464116224	284.848267	-36.794411	-0.0319	-0.1622	0.3469	-1.1639	-4.3512	0.0365	0.0475	0.0362	-0.1913	15.3651	0.8331	21.87	1	0.00000
6730890399172148224	284.847812	-36.792194	-0.0323	-0.1600	-0.2239	-2.0733	-3.2801	0.4123	0.5188	0.4514	0.0047	19.4539	1.1397	21.91	3	0.00000
6730890467879798912	284.827827	-36.785374	-0.0483	-0.1531	0.4535	0.0297	-13.551	0.0811	0.0921	0.0832	0.0581	16.7858	1.1247	21.95	1	0.00000
6730890472183609472	284.831911	-36.787751	-0.0450	-0.1555	0.0417	1.2584	-6.9600	0.1050	0.1127	0.0937	0.0026	16.9127	1.1162	21.93	1	0.00000
6730890472183611136	284.830723	-36.786801	-0.0460	-0.1546	0.0510	-0.4076	-2.6387	0.0432	0.0447	0.0350	-0.1196	15.2116	1.3561	21.94	1	0.00000
6730890472181633408	284.832808	-36.786915	-0.0443	-0.1547	-0.0142	-5.2600	0.3782	1.3650	2.2178	1.6305	-0.0566	20.4758	1.1939	21.95	0	0.02801
6730890472181632384	284.832933	-36.784901	-0.0442	-0.1527	-1.7781	-3.8155	-3.5061	1.2963	1.6167	1.1575	-0.0817	20.4666	0.9720	21.98	1	0.01681
6730890403466026112	284.846648	-36.790125	-0.0332	-0.1579	0.1330	0.1837	-11.372	0.1406	0.1779	0.1489	-0.1145	17.8256	0.8999	21.94	0	0.00000
6730890403464119680	284.847708	-36.789331	-0.0324	-0.1571	0.0360	-2.9571	-3.7905	0.2944	0.3937	0.3285	0.0748	18.9214	0.9648	21.95	3	0.00000
6730890403464122624	284.845234	-36.787172	-0.0343	-0.1549	0.6273	-3.1338	-3.1851	0.1220	0.1488	0.1283	-0.0562	17.4172	1.0630	21.98	1	0.00000
6730890025505035392	284.854486	-36.795435	-0.0269	-0.1632	-0.4531	-1.3697	-5.7790	0.6261	1.0507	0.7168	-0.3216	20.0094	1.0608	21.87	3	0.00000
6730890021215026688	284.859383	-36.794169	-0.0230	-0.1619	-3.6541	9.0939	-10.122	1.1236	2.1610	1.5627	-0.4702	20.5781	1.6209	21.9	0	0.00050
6730890025498897792	284.860656	-36.791127	-0.0220	-0.1589	0.5484	-2.6217	-5.6921	0.7395	1.0892	0.7323	-0.4655	19.8693	nan	21.95	0	0.00000
6730890021203191808	284.861116	-36.790907	-0.0216	-0.1587	-0.1969	-2.8114	-2.3905	0.4984	0.6981	0.5221	-0.1814	19.7448	0.9461	21.96	1	0.00002
6730890021215026816	284.867293	-36.794996	-0.0167	-0.1628	-0.2140	-3.8428	-7.1029	0.4184	0.5328	0.4069	-0.0596	19.5163	0.9566	21.9	3	0.00000
6730890025506984320	284.865214	-36.793090	-0.0183	-0.1608	0.0910	-0.4264	-9.7282	0.2862	0.3547	0.2793	-0.0555	18.9579	0.8991	21.93	1	0.00000
6730890021203188992	284.874087	-36.794705	-0.0112	-0.1625	0.4272	-6.0104	-3.3039	0.1810	0.2128	0.1658	-0.0733	18.2079	0.8911	21.91	3	0.00000
6730890021203190912	284.866832	-36.792057	-0.0171	-0.1598	0.6045	2.2710	-8.5468	0.3148	0.3539	0.2877	-0.0460	18.9593	1.5196	21.95	3	0.00000
6730890021203193984	284.869948	-36.791143	-0.0146	-0.1589	0.4977	2.4548	-5.0812	0.4215	0.5054	0.3852	-0.0583	19.4559	1.0851	21.97	3	0.00000
6730890025498884736	284.869612	-36.790580	-0.0148	-0.1583	1.7725	-1.8956	-4.3270	0.6202	0.7426	0.5775	-0.0320	19.8878	nan	21.98	0	0.00002
6730890055562932224	284.870733	-36.789584	-0.0139	-0.1573	0.7646	-0.6203	-3.4288	0.1966	0.2353	0.1916	0.0662	18.2641	1.2532	21.99	1	0.00000
6730890781419276928	284.852927	-36.790040	-0.0282	-0.1578	1.3400	0.8737	-7.7603	1.3190	1.8393	1.1770	-0.1113	20.4582	1.2390	21.96	2	0.00012
6730890781413152768	284.858046	-36.787654	-0.0241	-0.1554	-0.6735	0.3554	-4.5133	0.6883	0.8982	0.6620	-0.1841	19.9526	1.0513	22.01	2	0.01628
6730890025506989696	284.861321	-36.788913	-0.0215	-0.1567	1.8776	0.7783	-4.3840	0.2330	0.2553	0.2027	-0.0966	17.6542	1.4969	21.99	1	0.00000
6730890777117441536	284.856604	-36.785903	-0.0252	-0.1537	0.7663	-2.1039	1.0515	0.2437	0.2892	0.2253	-0.1075	18.5503	0.8673	22.04	1	0.00000
6730890781419273728	284.854202	-36.784587	-0.0272	-0.1523	1.1255	0.3394	0.2370	0.9767	1.2845	1.0068	-0.2046	20.3161	1.4987	22.05	2	0.12540
6730890777117443712	284.860092	-36.784325	-0.0224	-0.1521	0.3244	3.3548	-0.5006	0.1728	0.2022	0.1579	-0.0968	18.1252	1.0064	22.08	1	0.00000
6730890025506989440	284.863146	-36.787432	-0.0200	-0.1552	0.2444	-3.1617	-1.3685	0.0266	0.0308	0.0233	-0.1653	14.1751	1.3080	22.02	1	0.00000
6730890021207711872	284.864785	-36.786755	-0.0187	-0.1545	1.3717	-6.6509	-16.376	0.1580	0.1935	0.1495	-0.1000	18.0231	2.0593	22.04	3	0.00000
6730890059866723584	284.870869	-36.786493	-0.0138	-0.1542	0.5511	-4.9608	-3.8549	0.0813	0.0960	0.0773	-0.1195	16.8417	0.9888	22.05	1	0.00000
6730890055562937216	284.870449	-36.785513	-0.0142	-0.1533	0.1246	-3.3986	-3.4755	0.0657	0.0762	0.0622	-0.1014	16.4096	1.2184	22.07	1	0.00000
6730890059858631424	284.869737	-36.784927	-0.0147	-0.1527	0.7464	-0.6426	-3.9964	0.1901	0.2335	0.1817	-0.0789	18.3455	1.3211	22.08	3	0.00000
6730890777129271808	284.863772	-36.783122	-0.0195	-0.1509	0.0658	0.3754	-7.2904	0.5082	0.6514	0.5105	-0.0594	19.7947	1.3085	22.11	2	0.00000
6730890055574766336	284.868362	-36.782160	-0.0158	-0.1499	-0.8777	1.5743	-1.3852	1.3139	1.7165	1.1112	-0.3237	20.5447	0.7251	22.15	2	0.54617
6730890059858638848	284.869959	-36.780926	-0.0145	-0.1487	0.4471	1.9429	-6.2040	0.4255	0.5504	0.4178	-0.0420	19.5714	0.8867	22.18	3	0.00000
6730890055574766592	284.874867	-36.780309	-0.0106	-0.1481	0.5797	0.7804	-2.8275	0.6113	0.8570	0.6164	-0.1426	20.0017	0.8718	22.21	3	0.73015
6730902360649325952	284.770237	-36.769254	-0.0944	-0.1371	-0.7177	-0.2054	-5.9818	1.1055	1.1677	1.0128	-0.0902	20.3600	0.8156	21.86	3	0.00177
6730902425075501824	284.756236	-36.760812	-0.1057	-0.1286	0.0987	-1.4290	-3.2021	0.1874	0.1992	0.1757	0.0462	18.2647	0.8665	21.86	3	0.00000
6730902429368842752	284.756493	-36.759370	-0.1055	-0.1272	-1.8567	-3.8180	-9.2046	1.4013	1.9719	1.7281	0.3232	20.7232	1.4615	21.88	0	0.00128
6730902429370322048	284.766128	-36.765538	-0.0977	-0.1334	2.1157	-0.1610	3.8765	1.8249	1.9794	1.9847	0.0749	20.8206	1.6306	21.87	2	0.03236
6730902429365391872	284.769204	-36.765842	-0.0953	-0.1337	0.0821	-3.9012	-7.0106	0.2584	0.2677	0.2324	0.0141	18.7398	0.8305	21.89	3	0.00000
6730902429372784000	284.769012	-36.764332	-0.0954	-0.1321	1.0734	-8.2951	-5.2420	0.0552	0.0545	0.0484	0.0498	14.2864	1.3530	21.91	1	0.00000
6730902429372803584	284.763536	-36.760525	-0.0998	-0.1283	0.6167	5.9599	-6.2703	0.0427	0.0440	0.0377	-0.0007	15.5743	0.8676	21.92	1	0.00000
6730902429365482752	284.766566	-36.761818	-0.0974	-0.1296	1.1449	-1.2833	-8.1588	0.9412	1.1151	0.9362	-0.2552	20.2767	1.0741	21.93	3	0.00000
6730902425068889472	284.765715	-36.759578	-0.0981	-0.1274	0.5688	-6.7077	-3.6252	0.0471	0.0512	0.0430	-0.0773	15.7609	0.9046	21.95	1	0.00000
6730902429365477760	284.770641	-36.758250	-0.0941	-0.1261	0.3358	1.9070	-13.928	0.5936	0.6522	0.6129	0.1137	19.8575	1.5236	22.01	0	0.00000
6730902596868345088	284.743518	-36.749290	-0.1159	-0.1171	0.3813	-2.9671	-5.1555	0.1469	0.1618	0.1394	-0.0055	17.8354	1.0745	21.88	3	0.00000
6730902596874176384	284.749957	-36.756535	-0.1107	-0.1244	0.4547	-6.0885	-2.5517	0.3099	0.3298	0.2937	0.0521	18.9782	1.0870	21.86	3	0.00000
6730902631239084544	284.751233	-36.755670	-0.1097	-0.1235	0.4491	2.2333	-10.575	0.4945	0.5484	0.4936	0.0481	19.7234	0.9196	21.88	3	0.00000
6730902631227323392	284.749417	-36.752550	-0.1111	-0.1204	0.5218	-6.2552	0.3613	0.0916	0.0860	0.0795	0.0453	16.8062	0.9285	21.9	1	0.00000
6730902635531314688	284.750723	-36.751502	-0.1101	-0.1193	0.1156	-5.7290	-3.4354	0.4714	0.4814	0.4410	0.0529	19.5477	0.7845	21.92	3	0.00000
6730902631228274688	284.757871	-36.752371	-0.1044	-0.1202	0.3103	-2.7036	-0.6292	0.3547	0.3881	0.3483	0.0565	19.2460	1.4394	21.97	3	0.00000
6730902425069649920	284.759470	-36.757231	-0.1031	-0.1251	0.4144	-0.3129	-6.9461	0.2093	0.2184	0.1909	0.0164	18.4464	0.8602	21.93	3	0.00000
6730902429368834048	284.764776	-36.757409	-0.0988	-0.1252	0.2829	-4.5152	-3.7685	1.7251	2.6284	1.6342	-0.3152	20.7145	0.6607	21.97	0	0.03269
6730902429372805376	284.766122	-36.757100	-0.0977	-0.1249	0.3771	0.9844	-5.4809	0.2257	0.2422	0.2111	0.0290	18.5942	0.8159	21.98	3	0.00000
6730902635524163712	284.763650	-36.749678	-0.0997	-0.1175	0.5244	-0.1600	-9.0745	0.6312	0.7262	0.6476	0.0383	19.8101	0.8296	22.07	0	0.00000
6730902429365650176	284.766250	-36.752821	-0.0976	-0.1206	-0.3378	-0.7471	-4.7735	0.4004	0.4429	0.3853	0.0086	19.4436	0.8124	22.05	3	0.00000
6730902528159869568	284.770362	-36.752465	-0.0944	-0.1203	0.1370	-4.0814	-7.2235	0.3013	0.3270	0.2869	0.0125	18.9246	0.9647	22.09	3	0.00000
6730902528148109184	284.770811	-36.750023	-0.0940	-0.1178	0.2436	3.0357	0.8861	0.0750	0.0888	0.0715	-0.1528	16.5716	0.9813	22.15	3	0.00000
6730902635527308288	284.748585	-36.747416	-0.1118	-0.1152	1.2000	0.5460	-3.7550	0.9176	1.1484	0.9570	-0.0851	20.3874	0.9485	21.95	2	0.28113
6730902635524340224	284.753492	-36.750491	-0.1079	-0.1183	0.0874	1.6808	-6.1621	0.1797	0.1778	0.1623	0.0336	18.1004	0.8343	21.96	3	0.00000
6730902631227324672	284.752766	-36.749583	-0.1085	-0.1174	0.2019	-1.5220	-5.5398	0.1270	0.1253	0.1153	0.0340	17.5500	0.8274	21.96	1	0.00000
6730902631228084608	284.752944	-36.747460	-0.1083	-0.1153	0.3020	-0.6359	-4.5534	0.2218	0.2279	0.2088	0.0384	18.4978	0.8503	21.99	3	0.00000
6730902631239085056	284.754976	-36.746603	-0.1067	-0.1144	-0.4626	-5.5077	-2.2998	0.4917	0.5133	0.4671	0.0357	19.6238	1.4568	22.02	2	0.00000
6730902631239085184	284.748067	-36.746468	-0.1122	-0.1143	0.0336	-1.0486	-3.4213	0.5362	0.5747	0.5039	0.0180	19.7990	0.7267	21.96	3	0.00227
6730902635527309696	284.750391	-36.745278	-0.1104	-0.1131	0.6238	1.7950	-0.6185	0.9352	1.0928	0.8279	-0.1244	20.2925	1.1443	21.99	2	0.24807
