# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
3833326515761113472	151.375233	  0.034541	-0.0077	-0.0371	-0.5340	0.7016	-0.6430	0.7398	0.7538	0.8303	-0.3754	20.0454	1.2343	0.9048	1	0.99709
3833326520056078848	151.385000	  0.038642	 0.0021	-0.0330	0.6042	-0.3250	-2.9417	0.0977	0.0996	0.1063	-0.3237	17.1021	1.4356	1.251	3	0.00000
3833326515761122048	151.380814	  0.045623	-0.0021	-0.0260	1.5035	-6.0528	1.8115	0.2335	0.2571	0.2935	-0.3583	18.7761	2.3150	2.253	2	0.00000
3833326824998780928	151.341699	  0.060821	-0.0412	-0.0108	1.1789	-6.2615	-3.0793	0.0996	0.1027	0.1147	-0.4283	17.2927	1.8092	0.6872	3	0.00000
3833327619567664640	151.334768	  0.072480	-0.0481	 0.0008	2.1626	42.0123	-29.835	0.0369	0.0363	0.0388	-0.3435	14.9255	1.4429	0.5044	1	0.00000
3833326859358524160	151.341376	  0.068331	-0.0415	-0.0033	0.8282	1.7547	-0.0719	0.9403	0.8272	1.0017	-0.5847	20.3382	0.6019	0.725	3	0.83800
3833327172891107968	151.367622	  0.059445	-0.0153	-0.0122	-0.6489	-0.9444	0.3276	0.8778	1.0072	1.3726	-0.6176	20.3184	0.7440	4.439	1	0.99915
3833327237315652096	151.349784	  0.073395	-0.0331	 0.0017	-0.7794	-0.6271	0.9158	0.5066	0.5611	0.6669	-0.3172	19.8995	0.8713	1.243	1	0.99462
3833327168597830784	151.369902	  0.062568	-0.0130	-0.0091	0.8811	0.9597	-0.9053	0.5135	0.5675	0.6576	-0.3779	19.9526	1.0796	6.782	2	0.99897
3833327168597828992	151.369170	  0.066393	-0.0137	-0.0053	5.8912	-22.688	-17.887	0.0945	0.0941	0.1005	-0.3402	15.4212	2.4441	7.796	1	0.00000
3833327172891064704	151.369780	  0.066899	-0.0131	-0.0048	5.8121	-24.395	-16.859	0.0163	0.0154	0.0162	-0.2818	13.3207	1.4966	8.549	3	0.00000
3833327172891064832	151.365987	  0.071143	-0.0169	-0.0005	5.8684	-23.992	-17.528	0.1059	0.1110	0.1261	-0.4576	17.4561	2.9745	5.989	3	0.00000
3833327993229905536	151.356977	  0.082861	-0.0259	 0.0112	1.7766	-10.457	-0.1066	0.2754	0.3165	0.3727	-0.2559	19.0081	2.2494	1.853	2	0.00000
3833327237315655040	151.365681	  0.076483	-0.0172	 0.0048	-0.5454	0.5397	0.0431	0.7117	0.8030	0.9277	-0.5460	20.2548	0.1405	5.363	3	0.99974
3833327271675393920	151.367856	  0.077083	-0.0151	 0.0054	0.0988	-0.0221	-0.0605	0.5165	0.5887	0.7724	-0.4205	19.8483	0.8544	6.682	3	0.99993
3833327275970279552	151.368031	  0.080156	-0.0149	 0.0085	0.8115	-1.5355	-0.8724	0.6884	0.7555	0.8831	-0.3751	20.2927	0.9004	5.852	2	0.98577
3833327271675596032	151.364946	  0.083294	-0.0180	 0.0116	1.0356	0.1216	-0.8806	0.7337	0.8078	0.8686	-0.4882	20.2484	0.7643	3.638	3	0.99830
3833327271675402624	151.365492	  0.085745	-0.0174	 0.0141	-0.0767	0.9250	-0.5627	0.3085	0.3618	0.4699	-0.3986	19.2345	1.0875	3.273	3	0.99932
3833327271675597312	151.364097	  0.085969	-0.0188	 0.0143	0.1624	1.2549	-1.6808	0.6241	0.7902	1.0961	-0.5754	20.2296	0.7361	2.88	1	0.99824
3833328130668867968	151.368222	  0.095168	-0.0147	 0.0235	0.4847	-3.8921	3.7716	0.0383	0.0365	0.0399	-0.3842	15.3923	0.7315	1.944	3	0.00000
3833326962437733248	151.375980	  0.060357	-0.0069	-0.0113	-0.3342	-0.0279	-0.4185	0.5232	0.5763	0.6970	-0.3337	19.8581	1.2351	9.344	3	0.99996
3833326962439414016	151.376787	  0.060509	-0.0061	-0.0112	-0.4399	-0.1901	1.7686	0.9417	0.8396	1.0816	-0.5916	20.1952	0.7340	10.01	3	0.99936
3833326962437727616	151.386033	  0.053778	 0.0031	-0.0179	0.1443	-0.4074	-4.8537	0.0665	0.0639	0.0721	-0.4224	16.5551	0.8240	5.205	3	0.00000
3833327168596165632	151.371279	  0.062639	-0.0116	-0.0090	-0.0239	0.2275	0.9787	0.6992	0.7712	0.8796	-0.5325	20.2969	0.7145	7.791	3	0.99965
