# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4172549702889176064	269.630623	 -5.107179	-0.0329	-0.0368	0.8922	-1.3684	-2.6711	0.0186	0.0186	0.0157	0.2244	14.0979	1.4213	28.28	3	0.00000
4172549702885222528	269.633766	 -5.107914	-0.0298	-0.0375	0.3272	-0.8379	-9.5760	0.6169	0.8246	0.6158	0.3319	20.2412	1.8348	25.87	0	0.00000
4172549629868835584	269.641030	 -5.114528	-0.0225	-0.0441	-0.0715	-0.0889	1.5362	0.2645	0.3077	0.2388	0.0670	19.1682	1.8926	28.68	3	0.00000
4172549634165717632	269.640154	 -5.113537	-0.0234	-0.0432	0.6510	-5.2789	-3.1520	0.9256	1.1163	0.8015	-0.0349	20.6611	1.5752	27.78	2	0.05929
4172549732948045568	269.647647	 -5.116336	-0.0160	-0.0460	0.4591	1.8403	-6.6938	0.3233	0.3660	0.2805	0.1352	19.3845	1.8713	26.98	2	0.00000
4172549737244935936	269.642668	 -5.109988	-0.0209	-0.0396	-0.8528	0.3563	-4.8710	1.1702	1.1465	1.0552	0.2826	20.6948	1.5381	25.12	2	0.01031
4172549702885217280	269.636558	 -5.107644	-0.0270	-0.0373	1.3119	-1.3938	-0.2204	1.3353	2.1408	1.6826	0.6907	20.5928	2.4623	24.49	0	0.02114
4172549805966044032	269.637446	 -5.107145	-0.0261	-0.0368	-0.6792	-1.5167	-3.1127	1.4750	2.5187	1.3855	-0.0339	20.9059	1.0820	24.84	0	0.12896
4172549732948060800	269.640801	 -5.108172	-0.0228	-0.0378	0.0644	-3.2463	-4.4032	0.1885	0.2007	0.1634	0.3429	18.5691	2.2773	25.97	3	0.69513
4172549732948065280	269.639980	 -5.106064	-0.0236	-0.0357	0.0325	-2.8519	-6.7472	0.1798	0.2048	0.1693	0.4159	18.6661	2.1237	28.28	2	0.00000
4172549737247651968	269.641269	 -5.106311	-0.0223	-0.0359	-1.3560	-3.6293	-6.7449	0.9577	1.3510	1.0450	0.2177	20.7501	1.8778	29.15	2	0.06011
4172549737244941056	269.643165	 -5.107683	-0.0204	-0.0373	0.2840	-6.9593	-9.0169	0.5543	0.6675	0.5443	0.4628	20.1731	1.8320	28.73	2	0.00000
4172549737244937600	269.644378	 -5.107805	-0.0192	-0.0374	1.8601	1.3110	-2.0732	1.0566	1.3818	1.1538	0.3603	20.6485	1.1898	29.54	0	0.01452
4172549732948060288	269.647212	 -5.108559	-0.0164	-0.0382	0.4278	-10.608	0.7077	0.1769	0.1912	0.1603	0.2755	18.5907	1.9427	30.35	3	0.00000
4172549737248905984	269.651286	 -5.113310	-0.0123	-0.0429	0.1770	0.4337	-2.9009	0.2184	0.2473	0.2007	0.2593	18.9518	2.1864	25.26	2	0.00000
4172549531086461824	269.656150	 -5.115513	-0.0075	-0.0451	0.5270	9.0686	-5.7589	0.7049	1.0097	0.7073	0.1612	20.5476	1.8159	24.51	2	0.00000
4172549526789620224	269.654783	 -5.113580	-0.0088	-0.0432	0.8734	-0.5861	-6.4525	0.0882	0.0953	0.0794	0.2612	17.5094	2.0295	26.01	3	0.00000
4172549526793163136	269.655808	 -5.113694	-0.0078	-0.0433	0.4311	2.0162	-0.9956	0.1123	0.1240	0.1029	0.2643	17.9456	1.9395	26.13	3	0.00000
4172549531086465152	269.656872	 -5.113216	-0.0068	-0.0428	0.2271	-3.3638	-8.3063	0.6110	0.8406	0.6980	0.4602	20.3191	1.6575	27.21	2	0.00000
4172549526789613056	269.658085	 -5.117957	-0.0056	-0.0476	0.3666	-0.8310	-4.1222	0.2230	0.2682	0.2282	0.3201	18.9590	2.0763	25.86	2	0.00000
4172549737244913408	269.652594	 -5.110876	-0.0110	-0.0405	-0.0483	-2.0859	-4.0769	0.3943	0.4745	0.3596	0.1067	19.7710	1.8985	29.7	2	0.62990
4172549737244909824	269.655157	 -5.109828	-0.0085	-0.0394	0.0954	-2.9613	-3.4625	0.4862	0.6225	0.4530	0.0940	20.0729	1.8379	31.38	2	0.48747
4172549737244923136	269.651694	 -5.107005	-0.0119	-0.0366	0.0433	-3.1340	0.9829	0.4757	0.5816	0.4543	0.1363	20.1666	1.8988	30.64	0	0.00000
4172549737244920320	269.653283	 -5.106806	-0.0103	-0.0364	0.9586	-1.2738	0.4100	0.9401	1.3371	0.9369	0.2293	20.6119	1.4000	30.02	2	0.00007
4172549737244921344	269.653555	 -5.106054	-0.0101	-0.0357	0.7707	-5.1914	-5.4040	0.4653	0.5111	0.4131	0.1804	19.9625	1.7652	29.23	2	0.00005
4172549737246562944	269.654258	 -5.106149	-0.0094	-0.0358	-0.4533	-5.8123	-4.7148	0.8908	1.1200	0.8578	0.0376	20.5847	1.8642	29.15	0	0.12349
4172549526789627392	269.657510	 -5.110053	-0.0061	-0.0397	0.2546	-4.8654	0.2274	0.4827	0.5756	0.4609	0.2329	20.1955	1.9271	31.42	2	0.00000
4172549565450211072	269.663976	 -5.111515	 0.0003	-0.0411	0.1796	-5.9256	-2.0067	0.2862	0.3699	0.3231	0.2401	19.3679	2.2147	30.86	2	0.00000
4172549565446199424	269.663299	 -5.109599	-0.0004	-0.0392	0.5463	-4.0579	-5.0707	0.4329	0.5514	0.4913	0.3340	20.0510	1.6637	31.16	0	0.16544
4172549767307801984	269.659037	 -5.106493	-0.0046	-0.0361	-0.5415	-2.0986	-4.0193	0.2611	0.3267	0.2538	0.1277	19.2774	2.5894	28.66	2	0.76122
4172549561149367296	269.663056	 -5.108769	-0.0006	-0.0384	0.0871	-5.3749	-1.6224	0.3492	0.4490	0.3630	0.1618	19.7162	2.0625	30.53	2	0.00000
4175552125542284544	269.619884	 -5.094210	-0.0436	-0.0238	0.4382	-1.5271	-3.3648	0.3333	0.4114	0.3167	0.1242	19.4857	2.2077	28.92	2	0.00464
4175552228629530880	269.621126	 -5.093696	-0.0424	-0.0233	1.1346	2.3571	-3.4897	0.0243	0.0264	0.0214	0.2637	14.8413	1.7535	26.52	3	0.00000
4172549702885244160	269.628483	 -5.104534	-0.0350	-0.0342	0.4200	-7.5503	-0.5039	0.1995	0.2325	0.1928	0.3393	18.8971	2.0914	27.47	0	0.00000
4172549698588332800	269.628541	 -5.103929	-0.0350	-0.0335	0.7395	-2.8365	-3.4267	0.0945	0.1175	0.0923	0.3346	17.5778	1.8985	26.69	3	0.00000
4172549702889179776	269.626275	 -5.100378	-0.0372	-0.0300	0.4659	0.1343	-4.5240	0.0553	0.0625	0.0514	0.2893	16.6300	1.8574	25.75	3	0.00000
4172549702886829568	269.626302	 -5.099835	-0.0372	-0.0295	5.1589	-11.823	-54.842	1.5924	1.5526	1.2489	-0.2113	20.7735	nan	25.33	0	0.00000
