# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5623060179950623360	137.049856	-37.237695	 0.0470	-0.0163	0.4789	-4.8440	5.6922	0.1919	0.1915	0.2027	0.1337	19.0150	2.1235	21.03	2	0.00000
5623107145412371584	137.049725	-37.210246	 0.0469	 0.0111	0.5946	-2.5062	-0.4201	0.2644	0.2509	0.3008	0.1859	19.5646	1.5539	20	3	0.00000
5623107424584132736	137.041107	-37.193524	 0.0400	 0.0279	-0.0857	-2.6521	2.0393	0.4172	0.3682	0.4880	0.0187	20.1352	1.6513	20.37	2	0.00000
5623107424584130560	137.033360	-37.185334	 0.0339	 0.0360	-0.4296	-1.9039	1.2504	0.3347	0.3125	0.3818	0.1918	19.9332	1.4571	20.84	3	0.00000
5623107424591282176	137.034515	-37.187657	 0.0348	 0.0337	-0.1468	-4.0873	3.6756	0.3592	0.3174	0.4080	0.1111	19.9186	1.3117	20.16	2	0.00000
5623107424589698176	137.028766	-37.187166	 0.0302	 0.0342	6.5516	-25.437	-37.243	0.0107	0.0095	0.0125	0.2019	12.6359	1.4386	18.62	1	0.00000
5623107214130893056	137.044299	-37.197766	 0.0426	 0.0236	-0.1155	-4.1782	3.8543	0.1687	0.1551	0.1855	0.1686	18.9756	1.1119	20.31	3	0.00000
5623107214131886336	137.042331	-37.199563	 0.0410	 0.0218	0.3129	-2.7427	2.3948	0.0994	0.0912	0.1068	0.1480	18.1230	1.0551	19	3	0.00000
5623107214131870848	137.043426	-37.204204	 0.0419	 0.0172	0.4045	-2.5177	1.3723	0.2415	0.2169	0.2521	0.1495	19.4114	0.9869	18.46	3	0.00000
5623107214131874176	137.041714	-37.202897	 0.0405	 0.0185	-0.2801	-2.9887	4.0473	0.3498	0.2994	0.3594	0.1053	19.6732	1.1938	18.2	1	0.00000
5623107218425723776	137.039724	-37.201804	 0.0389	 0.0196	0.3345	-4.2343	5.9368	0.3423	0.3128	0.3555	0.0637	19.9018	1.8963	17.94	2	0.00000
5623107424589699584	137.034663	-37.201424	 0.0349	 0.0200	0.9349	-7.6854	3.4034	0.0437	0.0414	0.0475	0.1179	16.6292	1.5212	18.02	3	0.00000
5623107420290323200	137.036716	-37.197536	 0.0365	 0.0238	0.2238	-5.1908	3.8075	0.0999	0.0941	0.1088	0.1765	18.1341	1.1917	17.95	3	0.00000
5623107424589699072	137.029056	-37.194490	 0.0304	 0.0269	0.1588	-4.5233	4.7644	0.0287	0.0265	0.0328	0.2129	15.7787	1.3663	17.91	3	0.00000
5623107424586547712	137.032523	-37.190980	 0.0332	 0.0304	-1.8023	-0.0972	0.3975	1.2420	1.3262	1.7342	-0.1432	20.8211	1.9951	18.36	2	0.53642
5623107420290376832	137.027053	-37.189437	 0.0289	 0.0319	0.2109	-3.3300	3.4031	0.0829	0.0789	0.1048	0.0730	17.7682	0.9533	17.85	3	0.00000
5623107424584167552	137.027279	-37.195539	 0.0290	 0.0258	-0.0365	-1.1018	2.0786	0.1544	0.1452	0.1836	0.1904	18.8266	1.2814	18.57	3	0.00000
