# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
6078981708717256192	189.692373	-51.102983	 0.0156	 0.0473	0.3037	-5.9174	1.9720	0.2317	0.2057	0.1654	0.4477	19.0339	1.1447	22.59	3	0.00000
6078981713011289344	189.695029	-51.104256	 0.0173	 0.0460	1.0627	-4.2404	-0.2594	0.4489	0.4057	0.3161	0.4206	19.9387	1.0947	22.66	3	0.00000
6078982430271748096	189.708340	-51.107938	 0.0256	 0.0423	-0.3020	-5.9245	0.2824	0.3121	0.2981	0.2238	0.3885	19.4629	1.1450	22.62	3	0.00000
6078982434568543616	189.709098	-51.110240	 0.0261	 0.0400	0.0504	-3.2104	-0.7929	0.7387	0.8348	0.6926	0.4330	20.4807	0.9646	22.85	3	0.24639
6078982434575289344	189.713053	-51.113894	 0.0286	 0.0364	0.5656	-8.8855	-0.2586	0.0624	0.0524	0.0437	0.4065	16.7333	1.1236	23.2	3	0.00000
6078982434568540928	189.703983	-51.109151	 0.0229	 0.0411	0.6288	-1.8506	0.4918	0.6103	0.6192	0.5415	0.6058	20.3276	0.7389	22.99	3	0.85977
6078981713020783744	189.697804	-51.111349	 0.0190	 0.0389	0.4846	-5.7623	-1.0781	0.0874	0.0713	0.0591	0.4269	17.3212	1.0678	24	3	0.00000
6078981713011271296	189.693410	-51.110299	 0.0163	 0.0400	-0.4431	-1.5433	0.3255	0.6208	0.5466	0.4477	0.5233	20.2154	1.0522	24.01	3	0.97591
6078981713011267584	189.694298	-51.111272	 0.0168	 0.0390	0.7378	-1.2173	0.3300	0.5428	0.5106	0.3824	0.4621	20.1447	0.9142	23.97	3	0.97283
6078982434568536576	189.702433	-51.112780	 0.0219	 0.0375	-1.4574	-3.2043	-0.1198	1.6625	2.3416	1.2302	0.4923	20.7553	0.8737	23.99	2	0.54176
6078982430271732480	189.705546	-51.114085	 0.0239	 0.0362	0.1287	-4.7083	-0.0401	0.2573	0.2420	0.1748	0.4897	19.1461	1.0264	24	3	0.00000
6078981713022143872	189.693012	-51.112737	 0.0160	 0.0375	0.1504	-1.1984	0.4536	0.0855	0.0685	0.0549	0.4008	17.2089	1.3017	23.81	2	0.99968
6078981713020781312	189.691690	-51.113769	 0.0152	 0.0365	0.1116	-1.2245	0.4246	0.0487	0.0394	0.0333	0.4423	16.2981	1.3927	24.36	3	0.99996
6078981953538954880	189.659258	-51.101681	-0.0052	 0.0486	0.0225	-3.5236	-1.3060	0.2447	0.2237	0.1719	0.4557	19.1820	1.0430	22.69	3	0.00000
6078981781741756032	189.685602	-51.102596	 0.0114	 0.0477	0.7563	-10.972	2.8785	0.0246	0.0192	0.0166	0.4424	14.7346	0.8846	22.68	2	0.00000
6078981777436733056	189.680114	-51.102703	 0.0079	 0.0476	0.5292	-6.4370	-0.4619	0.6236	0.6011	0.5328	0.5766	20.3648	1.4138	22.78	2	0.00000
6078981777436726400	189.680629	-51.105683	 0.0082	 0.0446	0.1235	-5.6126	-2.6609	0.1301	0.1084	0.0976	0.4014	18.1876	0.9694	23.5	3	0.00000
6078981777437560320	189.678606	-51.107257	 0.0070	 0.0430	-0.0933	-5.9456	-0.6047	0.4279	0.3858	0.3096	0.4765	19.9384	1.0025	23.97	3	0.00000
6078981781740262400	189.676591	-51.105601	 0.0057	 0.0447	0.1950	-6.2761	-1.1563	0.0567	0.0460	0.0418	0.3843	16.6116	1.3081	23.6	1	0.00000
6078981777436723584	189.673061	-51.106419	 0.0035	 0.0439	0.7946	-9.3422	3.6415	0.3997	0.3952	0.2929	0.4875	19.7578	2.0093	23.9	2	0.00000
6078981781733485056	189.676767	-51.107090	 0.0058	 0.0432	0.0431	-2.3377	2.3268	0.8225	1.0405	0.8170	0.2610	20.6594	0.8801	23.97	3	0.21550
6078981781732124928	189.674864	-51.107823	 0.0046	 0.0425	0.2653	-2.2424	0.3921	0.6294	0.6437	0.4867	0.4533	20.3517	0.4225	24	3	0.82540
6078981747373733248	189.664667	-51.104291	-0.0018	 0.0460	-0.7944	-4.7082	-1.2192	0.9350	1.0401	0.7142	0.4333	20.6934	1.4899	23.28	2	0.02170
6078981747382048384	189.662455	-51.105720	-0.0032	 0.0446	-2.0187	-6.8935	-7.3870	1.2727	1.7607	1.0532	0.5972	20.8278	1.5616	23.72	0	0.00000
6078981953529450880	189.658767	-51.102682	-0.0055	 0.0476	0.0429	-2.2763	-4.5605	0.3064	0.2846	0.2175	0.4424	19.2076	nan	22.83	0	0.00000
6078981953538954496	189.659254	-51.103021	-0.0052	 0.0473	0.4852	-4.9822	-0.9994	0.0544	0.0433	0.0396	0.3842	16.5721	1.0995	22.9	3	0.00000
6078981953532154240	189.657915	-51.103638	-0.0060	 0.0466	0.3119	-4.4850	1.0024	2.0451	2.3130	1.7204	0.4659	20.8873	0.6403	23	0	0.16380
6078981747380520960	189.658966	-51.107431	-0.0054	 0.0428	0.5518	-3.1911	-1.4716	0.1754	0.1501	0.1237	0.4128	18.5513	nan	24.01	0	0.00000
