# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5990793488827774592	244.277521	-44.578420	-0.0063	 0.0147	0.0261	-3.1881	-5.0017	0.2725	0.2808	0.2188	-0.0484	19.1185	2.7191	26.35	2	0.00000
5990793493141081088	244.275448	-44.579005	-0.0078	 0.0141	0.6932	0.7953	-2.5145	0.2553	0.2670	0.1998	-0.0419	18.5167	3.1075	26.22	0	0.00000
5990793488827774208	244.276529	-44.580211	-0.0070	 0.0129	0.9101	-1.4327	-4.2162	0.4713	0.5053	0.3712	0.0778	19.8283	2.2289	27.74	0	0.00000
5990793488824482688	244.274401	-44.582379	-0.0085	 0.0108	0.6869	2.3171	-5.4244	0.1920	0.1922	0.1422	0.0105	18.5343	2.7106	28.92	2	0.00000
5990793458759863040	244.290391	-44.577228	 0.0029	 0.0159	1.0454	-4.0310	-3.9893	1.1837	1.1159	0.8448	0.3281	20.4722	1.9848	26.19	2	0.00000
5990793458759861120	244.292659	-44.579153	 0.0045	 0.0140	-1.8811	0.0569	0.6404	1.0653	0.9182	0.6704	0.1285	20.2734	2.2080	27.77	0	0.94411
5990793420108299008	244.280865	-44.578432	-0.0039	 0.0147	0.8596	2.9286	-10.782	0.3679	0.3852	0.2897	0.0988	19.5101	2.5485	27.18	2	0.00000
5990793424421603072	244.279551	-44.579578	-0.0049	 0.0136	-0.2282	1.0565	1.0821	0.2812	0.2898	0.2006	0.1577	18.9932	3.1621	28.09	2	0.99700
5990793420108299776	244.283343	-44.578996	-0.0022	 0.0141	-0.2072	0.7795	0.5494	0.2782	0.2877	0.2079	0.1440	19.1291	3.2414	28.2	2	0.99691
5990793420107547776	244.277186	-44.584221	-0.0065	 0.0089	-0.0510	1.3461	0.6894	0.3479	0.3429	0.2657	-0.0249	19.1602	3.1063	33.82	0	0.99801
5990793424399067136	244.285138	-44.580347	-0.0009	 0.0128	-0.2728	-5.8839	-5.1407	0.2916	0.2927	0.2239	0.0990	19.1657	2.9338	30.22	3	0.00000
5990793424421601408	244.284666	-44.580894	-0.0012	 0.0122	-0.0936	1.4938	0.1516	0.2439	0.2455	0.1861	0.0072	18.9561	3.1472	31.1	0	0.87565
5990793424399061888	244.288123	-44.580458	 0.0012	 0.0127	0.4195	1.2887	1.9641	0.8090	0.7888	0.6538	-0.0221	20.3439	2.3836	30.35	0	0.95275
5990793420105009408	244.289584	-44.580958	 0.0023	 0.0122	-0.0637	-3.4146	-1.6278	0.3178	0.3376	0.2451	0.1673	19.3520	2.7165	30.94	2	0.00000
5990793424421598848	244.286862	-44.583431	 0.0003	 0.0097	0.3385	-2.1074	-3.6353	0.0295	0.0280	0.0215	-0.0793	13.8597	3.5297	38.27	3	0.00000
5990793458760331776	244.295119	-44.579873	 0.0062	 0.0133	-2.7533	-1.2048	0.9837	1.4205	1.5181	0.8629	0.4006	20.5742	2.0413	27.8	0	0.79483
5990793458781336064	244.294895	-44.581183	 0.0061	 0.0120	-0.0556	1.0234	0.7590	0.0918	0.0811	0.0635	-0.0278	16.8164	3.3168	29.35	0	0.99992
5990793454468044416	244.300708	-44.581219	 0.0102	 0.0119	0.2067	-5.3626	-4.9506	0.5346	0.5563	0.3961	0.2024	19.5810	2.5570	26.68	0	0.00000
5990793252601252864	244.303165	-44.581544	 0.0120	 0.0116	1.9310	0.6100	-0.1553	0.8593	0.8849	0.6813	-0.0709	20.3962	2.0343	25.7	2	0.63222
5990793252601062272	244.304195	-44.582846	 0.0127	 0.0103	-0.0745	-0.7188	-0.0982	0.8587	1.0909	0.7188	0.3858	20.3592	1.8281	26.01	2	0.72607
5990793424400596480	244.292299	-44.582224	 0.0042	 0.0109	-2.2870	0.7257	-1.7158	1.7583	2.3079	1.2340	0.6273	20.7005	2.0519	32.3	0	0.41860
5990793424421597312	244.291566	-44.582834	 0.0037	 0.0103	0.4806	-6.1947	-2.3642	0.1288	0.1267	0.0911	0.0453	17.5443	3.1866	34.12	0	0.00000
5990793424399049600	244.295721	-44.583377	 0.0067	 0.0098	-0.1008	0.8081	1.1337	0.2641	0.2576	0.1875	0.1142	18.9248	2.9844	32.06	3	0.99136
5990793424399049344	244.295057	-44.584088	 0.0062	 0.0091	0.2024	-6.1350	-5.5164	0.1241	0.1110	0.0820	-0.0092	17.6067	3.4518	34.09	2	0.00000
5990793424421595776	244.294976	-44.584440	 0.0061	 0.0087	-0.5408	-2.4248	-3.9550	0.9965	0.8364	0.6520	0.2357	20.3742	nan	35.01	0	0.00000
5990793420108300928	244.286519	-44.586642	 0.0001	 0.0065	-0.4777	2.2918	0.0769	1.1885	0.9764	0.8010	0.1070	20.4720	2.3335	61.5	2	0.98571
5990793420104997504	244.290948	-44.586495	 0.0033	 0.0066	-0.0010	0.9327	0.6249	0.1772	0.1833	0.1335	0.0833	18.4372	3.1117	52.46	2	0.99982
5990793424400604672	244.289604	-44.587231	 0.0023	 0.0059	2.1471	4.5546	-0.8194	1.2493	2.5956	1.4088	-0.0357	20.6692	1.7101	63.38	2	0.90998
5990793420108302848	244.292504	-44.586831	 0.0044	 0.0063	-0.6977	2.0509	0.8019	0.3891	0.4048	0.3015	0.1100	19.6446	2.8607	50.21	2	0.99370
5990793454468043392	244.297914	-44.582614	 0.0082	 0.0105	-0.0179	1.3792	-0.2637	0.9761	0.8178	0.6145	0.2455	20.3390	2.2443	29.42	0	0.90905
5990793424399943552	244.296991	-44.584662	 0.0076	 0.0085	2.7739	3.2834	-0.1683	1.6047	2.1620	1.2365	0.3780	20.5966	2.0988	33.08	0	0.80437
5990793424400603264	244.294444	-44.586256	 0.0057	 0.0069	-0.6422	3.3068	1.0944	1.1257	1.9004	1.1852	0.6554	20.5141	2.1946	41.76	2	0.97273
5990793213949875456	244.299419	-44.586521	 0.0093	 0.0066	0.4148	1.1901	0.1521	0.5784	0.5154	0.3775	0.1879	19.9198	2.7068	32.97	2	0.97793
5990793248306304640	244.305410	-44.587371	 0.0136	 0.0058	-0.1034	-0.3988	-2.2983	0.1326	0.1257	0.0937	-0.0043	17.7394	3.2757	27.71	0	0.00000
5990793213946560640	244.302594	-44.589999	 0.0116	 0.0031	0.2412	-4.1866	-3.1000	0.2468	0.2347	0.1735	0.0801	18.5734	2.7708	31.74	0	0.00000
5990793252622895616	244.308244	-44.588695	 0.0156	 0.0044	0.8063	2.0985	-0.3891	0.0251	0.0229	0.0184	-0.1295	14.6953	1.5539	26.16	3	0.00000
5990793248306297600	244.307028	-44.591216	 0.0147	 0.0019	0.3868	-1.9614	-5.3849	0.1718	0.1587	0.1181	0.0838	18.2283	2.4445	27.6	3	0.00000
5990793390040856960	244.269039	-44.583564	-0.0123	 0.0096	0.6027	-1.2492	-0.2286	1.3388	2.1100	1.2136	0.6246	20.6464	1.7335	26.75	2	0.63157
5990793390040861824	244.272983	-44.585842	-0.0095	 0.0073	-2.8626	-4.3006	-0.0887	2.0571	2.5076	1.4799	0.0798	20.7700	1.7587	31.66	2	0.43857
5990793317028331648	244.276167	-44.585977	-0.0073	 0.0072	-0.5134	1.2090	0.5338	0.2808	0.2763	0.2155	-0.0165	19.0080	3.1195	36.41	0	0.99845
