# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
1785664058115656960	320.370762	 19.085308	-0.0079	-0.0319	0.0888	-2.8340	0.1486	0.7973	0.7926	0.4512	-0.2624	20.2993	2.0449	3.31	0	0.00223
1785664058114262272	320.357796	 19.091625	-0.0202	-0.0256	-0.5614	0.9713	-7.7225	0.5963	0.5020	0.3187	-0.1363	19.9470	1.6389	3.339	2	0.00000
1785664126833741952	320.359425	 19.094796	-0.0187	-0.0224	0.6813	-6.6947	-2.7602	0.3069	0.2692	0.1699	-0.0760	19.0320	1.6424	3.72	2	0.00000
1785664161193790592	320.364179	 19.099151	-0.0142	-0.0180	0.2068	0.9901	-3.3086	0.7424	0.7938	0.4363	-0.1269	20.2717	1.6967	4.515	2	0.00256
1785664161193790848	320.363330	 19.101642	-0.0150	-0.0156	1.0331	0.6093	-4.7712	0.7732	0.7713	0.4744	-0.2516	20.3365	2.0039	4.691	2	0.00000
1785664092474009600	320.368138	 19.100135	-0.0104	-0.0171	-0.4135	-2.2342	-8.7751	0.4315	0.4227	0.2541	-0.2672	19.6293	0.8581	4.908	3	0.00000
1785664161193488000	320.355293	 19.101597	-0.0226	-0.0156	0.2453	-0.6207	-5.7563	0.0946	0.0932	0.0558	-0.2714	17.2160	0.8943	3.937	3	0.00000
1785664161193493632	320.357396	 19.105963	-0.0206	-0.0112	0.2815	-0.1932	-3.8555	0.0914	0.0838	0.0528	-0.2494	17.0880	0.8544	4.451	3	0.00000
1785664161193496320	320.359822	 19.109844	-0.0183	-0.0074	2.1720	-0.0558	-1.4148	1.2611	1.2215	0.6684	-0.1573	20.7025	0.4845	4.95	2	0.77314
1785664161193494144	320.368356	 19.106796	-0.0102	-0.0104	0.6199	-1.8346	-1.7542	0.0818	0.0770	0.0508	-0.2735	16.7894	1.0534	6.065	1	0.00000
1785664161194093696	320.364038	 19.107827	-0.0143	-0.0094	1.4339	-1.8611	-16.904	1.2155	1.2038	0.6990	0.0905	20.5806	1.9417	5.394	0	0.00000
1785664161193501696	320.363170	 19.113017	-0.0151	-0.0042	0.4506	-6.7809	-7.4995	0.1599	0.1823	0.0960	-0.3385	17.9392	0.9983	5.725	0	0.00000
1785664440365624448	320.346726	 19.125801	-0.0306	 0.0086	0.0786	-2.9613	-4.9398	0.3440	0.3376	0.2048	-0.2184	19.2269	1.1387	3.416	3	0.00000
1785664371646147584	320.352151	 19.123398	-0.0255	 0.0062	1.6992	15.9117	-0.4691	0.4897	0.5378	0.2858	-0.3200	19.7418	2.3824	4.087	2	0.00000
1785664470431159168	320.358528	 19.123027	-0.0195	 0.0058	0.7921	-8.6363	-4.5962	0.2558	0.2503	0.1534	-0.1826	18.8200	2.1569	4.858	2	0.00000
