# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4055453192008065024	263.905207	-30.516243	-0.0354	-0.0352	0.0490	-4.4622	-10.157	1.0258	1.5320	1.0951	0.6737	20.2498	nan	133.7	0	0.00021
4055453187701520128	263.908125	-30.518112	-0.0329	-0.0371	1.8444	-3.1387	-12.366	0.0158	0.0187	0.0134	-0.2309	12.5454	0.9450	133.6	1	0.00000
4055453192007994496	263.910138	-30.518460	-0.0312	-0.0375	0.6388	-2.8292	-1.7745	0.9863	2.3777	1.3301	0.6306	20.4634	2.2982	133.5	0	0.00621
4055453123288384128	263.916793	-30.523604	-0.0254	-0.0426	0.1427	-2.5106	-6.0645	0.1766	0.2632	0.1726	0.3105	18.2035	5.0788	133.6	2	0.00053
4055453123288401664	263.915808	-30.522960	-0.0263	-0.0420	-1.1994	-0.8788	-4.9354	1.1761	1.9245	1.1444	0.6217	20.1223	5.6324	133.6	0	0.06365
4055453118982009728	263.918877	-30.524246	-0.0236	-0.0432	0.2983	1.8892	-1.7130	0.1725	0.2605	0.1738	0.4303	18.4427	2.4506	133.6	2	0.00000
4055453157648093952	263.920519	-30.523579	-0.0222	-0.0426	0.1813	0.3372	0.3082	0.4108	0.6525	0.4129	0.5499	19.6241	3.6900	133.4	0	0.00000
4055453123288385152	263.918064	-30.522802	-0.0243	-0.0418	-0.0435	-1.3721	-9.1182	0.2708	0.3711	0.2465	0.3670	19.0728	3.9354	133.4	2	0.00000
4055453157648124288	263.919269	-30.522086	-0.0233	-0.0411	0.0251	-3.8023	-2.7761	0.8488	1.5031	0.8990	0.6128	20.4149	3.4825	133.3	2	0.00211
4055453157648110720	263.920209	-30.522538	-0.0225	-0.0415	0.9903	-0.0805	-1.8414	0.3408	0.4937	0.3075	0.4301	19.3364	2.5821	133.3	2	0.00000
4055453153341750528	263.922266	-30.523920	-0.0207	-0.0429	0.8917	0.4035	-3.1901	0.1740	0.2511	0.1685	0.3852	18.0046	2.4951	133.4	0	0.00000
