# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4068055072736489856	266.981229	-24.811997	-0.0354	-0.0329	0.1851	-2.0411	-3.6851	0.4212	0.6921	0.5865	0.1185	19.4221	nan	91	0	0.15347
4068055072736496256	266.981155	-24.810621	-0.0354	-0.0316	0.9709	-2.0556	-5.3541	0.3031	0.4554	0.2449	0.4533	19.3348	3.4905	91.91	2	0.37725
4067304449900251008	266.993721	-24.822859	-0.0240	-0.0438	-0.5086	-1.4742	-5.2026	0.3257	0.4533	0.2619	0.4288	19.4661	3.4856	89.35	2	0.83554
4067304449907020544	266.994565	-24.822071	-0.0233	-0.0430	0.1891	3.6311	-3.2983	0.8461	1.2561	0.7544	0.6297	20.5440	2.6399	90.42	2	0.00361
4067304449900269184	266.992651	-24.820985	-0.0250	-0.0419	-0.2120	-3.9358	-6.3532	0.4433	0.5714	0.3425	0.3437	19.8521	3.4625	90.51	0	0.11223
4067304449900260480	266.993688	-24.821179	-0.0241	-0.0421	0.5191	-0.6230	-2.1926	0.1018	0.1236	0.0742	0.3361	17.6762	1.8020	90.82	3	0.00000
4067304381196415360	267.000535	-24.824801	-0.0178	-0.0457	0.6298	-4.7104	-5.6109	0.5407	0.6506	0.3905	0.3237	19.3206	3.9403	90.22	0	0.04246
4067304449907002240	266.996858	-24.822528	-0.0212	-0.0435	0.0601	-1.6794	-5.0007	0.9366	1.4068	1.0210	0.7555	20.3202	2.7176	90.98	0	0.37502
4067304381180756096	266.998049	-24.822454	-0.0201	-0.0434	-0.3068	-9.6274	-9.2734	0.6533	0.8725	0.5048	0.4356	19.9621	3.1861	91.53	0	0.00000
4067304449915896576	266.997382	-24.820935	-0.0207	-0.0419	-0.0353	-3.1084	-1.9978	0.2678	0.3636	0.2119	0.4159	19.0277	3.9500	92.69	0	0.00000
4067304381187510144	266.999624	-24.822350	-0.0187	-0.0433	-0.5288	-3.4727	-7.5663	0.9659	0.9876	0.6626	0.3231	20.3959	2.3112	92.24	2	0.06046
4067304381180736896	267.002081	-24.822885	-0.0164	-0.0438	-0.9057	1.6196	-7.4055	0.9225	0.8534	0.5268	0.2442	20.2888	nan	92.59	0	0.00030
4067304381187497856	267.001823	-24.822124	-0.0167	-0.0431	0.0020	-1.8817	-6.2779	0.6857	1.1087	0.6865	0.6397	20.3992	2.1477	93.26	0	0.39466
4067304376869493376	267.000448	-24.821110	-0.0179	-0.0421	-0.5358	-5.3367	-5.7905	0.3366	0.4022	0.2623	0.4326	19.2144	4.1628	93.76	2	0.00000
4067304381180715264	267.003745	-24.826351	-0.0149	-0.0473	0.4894	-1.2640	-2.2655	0.1680	0.1985	0.1222	0.3553	18.3856	2.1413	89.72	0	0.00000
4067304381202180736	267.002668	-24.823567	-0.0159	-0.0445	0.6931	-0.2349	-1.8399	0.3834	0.5035	0.3074	0.3822	19.6075	3.5762	92.11	0	0.00000
4067304376861153664	267.003965	-24.824096	-0.0147	-0.0450	0.7896	1.4499	-6.6914	0.0859	0.1082	0.0662	0.4169	17.4157	1.8609	91.99	3	0.00000
