# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
6741750584745032448	295.385435	-34.070887	-0.0411	-0.0714	0.2361	-4.7950	-14.133	0.3755	0.4533	0.2906	-0.2781	19.7106	0.8393	7.138	3	0.00000
6741751344959172224	295.378181	-34.068131	-0.0471	-0.0687	-0.7920	-3.3002	-0.7031	1.2010	2.5002	1.2630	-0.6407	20.8093	0.5166	7.036	3	0.72020
6741750589042967168	295.388949	-34.067749	-0.0382	-0.0683	2.6852	-2.6135	-4.0598	0.9168	1.2815	0.8059	-0.3890	20.6096	0.3924	7.648	1	0.00668
6741751340659281152	295.381479	-34.065236	-0.0444	-0.0658	2.1072	6.9664	-9.4439	0.2265	0.2785	0.1689	-0.3419	18.6397	2.8280	7.509	0	0.00000
6741751340659283840	295.378751	-34.062005	-0.0466	-0.0625	0.7869	-2.7221	-1.5434	0.4512	0.5072	0.3323	-0.2627	19.8253	1.1218	7.676	3	0.93101
6741751340659285376	295.383044	-34.061094	-0.0431	-0.0616	0.2899	-2.2774	-1.6635	0.1712	0.1931	0.1232	-0.3741	18.3125	1.1412	8.045	3	0.98957
6741750589042968448	295.388551	-34.063231	-0.0385	-0.0638	0.0309	1.0105	-6.1387	0.6988	1.0064	0.5957	-0.5200	20.3076	0.9145	8.14	3	0.00000
6741751344957213184	295.385830	-34.060994	-0.0408	-0.0615	0.1705	-6.4129	-6.7729	0.8438	1.3037	0.8001	-0.2229	20.5344	0.6539	8.234	3	0.00000
6741751344957213312	295.387579	-34.060432	-0.0393	-0.0610	2.5833	-2.5245	-2.0919	1.7768	2.3071	1.4714	-0.0570	20.6770	0.4471	8.411	3	0.60351
6741751409378765440	295.369505	-34.056111	-0.0543	-0.0567	0.0803	-1.5862	-7.7675	0.2750	0.3161	0.2031	-0.3419	19.1174	0.8148	7.619	3	0.00000
6741751340659291648	295.374867	-34.054658	-0.0498	-0.0552	0.0139	-2.4812	-1.5921	0.0585	0.0757	0.0467	-0.4705	16.5425	1.2804	8.156	3	0.99995
6741751344958492928	295.378411	-34.058709	-0.0469	-0.0592	0.7840	9.5818	-7.2444	0.1557	0.1852	0.1194	-0.3778	18.2682	1.1937	7.994	3	0.00000
6741751344954169984	295.382555	-34.058140	-0.0435	-0.0587	0.6071	-1.7723	-1.6465	0.3620	0.4244	0.2634	-0.3037	19.4987	nan	8.342	0	0.86746
