# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
5961843558129860096	264.000002	-38.589183	-0.0342	-0.0359	2.3968	-7.0725	-8.0614	1.0421	1.5696	1.1654	0.4918	20.4181	2.0866	65.61	0	0.00000
5961843558129856384	264.004482	-38.591217	-0.0307	-0.0379	-0.8082	2.0908	-5.4085	1.1247	2.6043	1.5995	0.6638	20.6420	1.7298	65.98	2	0.00000
5961843626885928064	263.998608	-38.585270	-0.0353	-0.0319	0.2821	-1.6626	-1.7212	0.0309	0.0419	0.0309	0.2179	15.1216	3.0593	66.8	3	0.00000
5961843558126524672	264.000848	-38.588694	-0.0335	-0.0354	0.3889	1.2390	-0.8205	0.2063	0.2727	0.2073	0.2131	18.8268	2.1792	65.99	2	0.00000
5961843558126511360	264.002247	-38.588666	-0.0324	-0.0353	0.2729	-0.4140	0.0382	0.4713	0.6090	0.4461	0.1861	19.8407	2.7492	66.48	2	0.00000
5961843553827536128	264.001404	-38.587539	-0.0331	-0.0342	0.1296	-6.0225	-0.6908	0.0484	0.0662	0.0473	0.1316	14.6927	4.1057	66.79	3	0.99972
5961843588188918912	264.005692	-38.588019	-0.0297	-0.0347	0.4352	-0.8438	-1.8167	0.1301	0.1674	0.1284	0.2577	18.0516	2.1382	69.16	3	0.00000
5961843661245659776	264.001929	-38.585422	-0.0327	-0.0321	0.2402	-4.5183	-4.2089	0.0941	0.1355	0.1033	0.4469	17.4188	2.9700	68.99	3	0.00000
5961843661205768064	264.002068	-38.585078	-0.0326	-0.0318	-2.5488	3.0199	5.5101	0.8778	1.3514	1.0250	0.6347	20.2503	nan	69.48	0	0.00001
5961842832273017216	264.019820	-38.598436	-0.0187	-0.0451	0.2300	-2.7382	-5.2068	0.0780	0.1013	0.0748	0.2661	16.9582	3.3071	65.94	1	0.00000
5961843553827527680	264.008486	-38.594842	-0.0276	-0.0415	-0.0674	-5.3818	-4.9295	0.4781	0.6873	0.4662	0.3716	19.5501	nan	65.5	0	0.00000
5961843558126410880	264.007618	-38.594427	-0.0282	-0.0411	0.0858	-3.5621	-1.4433	0.3657	0.4641	0.3501	0.2221	19.5997	4.0430	65.48	0	0.00011
5961843558126401024	264.008383	-38.594560	-0.0276	-0.0412	1.0964	-0.3904	-1.7941	0.1140	0.1585	0.1184	0.3375	17.7044	2.0032	65.57	0	0.00000
5961842836575331968	264.016101	-38.597476	-0.0216	-0.0441	0.3017	-4.3598	-8.5812	0.7033	1.3817	0.9692	0.7294	20.1027	2.5173	65.78	2	0.00000
5961842836576577408	264.017567	-38.597338	-0.0205	-0.0440	-0.1067	-2.9484	-7.1120	0.8431	1.2482	1.0917	0.6038	20.4303	2.8822	66.11	2	0.00000
5961843588192440576	264.014945	-38.595907	-0.0225	-0.0426	0.1575	0.5744	-1.2854	0.0560	0.0731	0.0548	0.2517	16.3727	3.2319	66.34	3	0.00000
5961843592486095232	264.014581	-38.595285	-0.0228	-0.0420	0.5318	-2.2245	-3.6601	0.3514	0.4464	0.3275	0.2755	19.5199	2.1346	66.66	2	0.00000
5961842836611885184	264.015913	-38.595384	-0.0218	-0.0421	0.1787	-4.0253	-2.9827	0.0535	0.0695	0.0510	0.2534	16.1599	3.1023	67.04	1	0.00000
5961842836571837696	264.016794	-38.594987	-0.0211	-0.0417	0.5118	3.1833	2.8628	0.0801	0.1139	0.0854	0.4309	17.2131	1.7464	67.79	3	0.00000
5961842836574428672	264.018205	-38.594261	-0.0200	-0.0409	1.1066	-2.1671	-4.0365	0.8607	1.6173	1.0552	0.7198	20.3573	2.1016	69.41	2	0.00000
5961842836571724032	264.027366	-38.601259	-0.0128	-0.0479	-0.5588	-3.4699	-3.6909	0.4777	0.6552	0.4991	0.4975	19.7008	2.7843	65.59	0	0.00000
5961842836611865216	264.023135	-38.598916	-0.0161	-0.0456	0.1848	-2.5336	-5.1823	0.1668	0.2135	0.1614	0.2594	18.5003	2.9872	66.22	2	0.00000
5961842832273015424	264.025380	-38.599694	-0.0144	-0.0464	0.4936	-1.3836	2.3150	0.1466	0.1887	0.1417	0.2587	18.1831	1.9201	66.11	0	0.00000
5961842832287900928	264.030049	-38.601893	-0.0107	-0.0486	0.3009	2.1628	-4.3518	0.0388	0.0494	0.0360	0.2413	15.6822	2.7515	65.54	3	0.00000
5961842767852213504	264.033320	-38.601217	-0.0082	-0.0479	0.8111	-0.9883	-3.4079	0.3144	0.3842	0.2850	0.2431	19.4119	2.0605	66.08	2	0.00000
5961842832274667392	264.032521	-38.599651	-0.0088	-0.0463	-0.1665	-2.0669	-4.9088	0.1576	0.2088	0.1591	0.3380	18.4237	3.0774	67.25	2	0.00000
5961842763558726784	264.034210	-38.599873	-0.0075	-0.0465	-0.0685	3.9593	-2.3473	0.2761	0.3410	0.2605	0.2360	19.1343	2.7613	67.26	0	0.00000
5961842836611860864	264.025967	-38.598563	-0.0139	-0.0452	0.1037	-3.2366	-7.7071	0.0753	0.0966	0.0714	0.2498	16.9286	3.1913	67.07	1	0.00000
5961842832274669568	264.026240	-38.597339	-0.0137	-0.0440	0.0761	-5.0273	-3.4536	0.0813	0.1154	0.0866	0.4206	17.1996	3.4037	68.58	3	0.00000
5961842836571795840	264.022410	-38.595960	-0.0167	-0.0426	-1.5028	1.6608	2.0481	0.7410	1.1111	0.8153	0.6384	20.2182	nan	69.04	0	0.00000
5961842836611874816	264.021842	-38.595368	-0.0171	-0.0420	0.8830	-0.1636	-3.8340	0.1496	0.1944	0.1473	0.2843	18.3035	1.9444	69.65	3	0.00000
5961842836571749376	264.027968	-38.597625	-0.0123	-0.0443	-0.0627	-3.8463	-6.0098	0.1424	0.2002	0.1490	0.4294	17.6858	2.9216	68.74	0	0.00000
