# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4067763869645447296	268.598098	-24.175511	-0.0139	-0.0302	-0.4276	1.9959	-4.2382	0.5034	0.4419	0.3004	-0.2018	19.0777	5.0159	41.93	0	0.00000
4067763869645448320	268.598661	-24.174503	-0.0134	-0.0292	-0.0279	-0.7168	-6.5303	0.3814	0.3427	0.2322	-0.1132	18.8507	4.4965	43.04	0	0.00000
4067763873968101248	268.601393	-24.173490	-0.0109	-0.0282	1.2955	-1.6637	-1.6189	0.7839	0.7857	0.6825	0.5148	19.7595	1.3727	44.97	0	0.04930
4067764080094893184	268.586561	-24.166690	-0.0244	-0.0214	0.3693	-2.3926	-5.1943	0.5334	0.5419	0.3411	-0.1682	19.6512	2.2745	42.71	2	0.00000
4067764080093728512	268.586997	-24.164820	-0.0240	-0.0195	0.4109	0.6564	-0.2360	0.2543	0.2734	0.1729	-0.0892	18.7239	2.5398	44.23	2	0.00000
4067764144523335552	268.582601	-24.162775	-0.0280	-0.0175	0.3666	-0.6900	-7.3135	0.8475	1.0322	0.5901	0.1029	20.1202	3.3988	42.16	0	0.00000
4067764075803868416	268.590405	-24.170207	-0.0209	-0.0249	-1.3339	-3.6269	-4.9576	0.5883	0.5914	0.3825	-0.1651	19.6713	3.8838	42.65	2	0.00000
4067764080093673216	268.592737	-24.170255	-0.0188	-0.0250	0.2250	-1.3068	-1.4532	0.3227	0.3264	0.2153	-0.1477	18.9883	2.7647	43.94	2	0.00000
4067764075812359808	268.587995	-24.167195	-0.0231	-0.0219	0.1542	0.5953	0.0417	0.2459	0.2978	0.1822	-0.2649	18.6788	2.6825	43.34	2	0.00000
4067764080094891520	268.589320	-24.167881	-0.0219	-0.0226	1.8203	-3.4469	-2.5734	1.2222	0.9625	0.6079	-0.3153	20.0752	3.2973	43.71	0	0.08372
4067764080093698944	268.590324	-24.167666	-0.0210	-0.0224	0.1979	-3.3348	-7.3234	0.2562	0.2750	0.1793	-0.1533	18.3133	4.9573	44.51	2	0.00000
4067764080126548608	268.593157	-24.168982	-0.0184	-0.0237	1.0332	-14.012	4.3323	0.7510	0.8790	0.4930	0.0777	19.9812	nan	45.21	0	0.00000
4067764080093679232	268.593090	-24.168432	-0.0184	-0.0232	1.2454	3.6367	-3.5133	0.5507	0.5246	0.3370	-0.0802	19.7265	2.0421	45.62	2	0.00000
4067764075798337408	268.591274	-24.167496	-0.0201	-0.0222	0.9762	-0.0171	-3.8875	0.2089	0.2157	0.1398	-0.0649	18.3813	2.0532	45.24	3	0.00000
4067764080093692544	268.592829	-24.166602	-0.0187	-0.0213	-0.0143	-1.4128	-2.9532	0.3807	0.3544	0.2319	-0.1142	19.1464	2.5724	46.95	2	0.46321
4067764075798340096	268.594199	-24.167217	-0.0174	-0.0219	0.3993	0.9908	-2.1702	0.0618	0.0570	0.0418	-0.1917	15.6973	1.8132	47.31	0	0.00000
4067764075803873280	268.594848	-24.172190	-0.0168	-0.0269	0.3481	1.6351	-4.7607	0.6321	0.6283	0.4038	-0.1000	19.6917	3.6281	43.43	0	0.00000
4067763869645444736	268.596145	-24.172102	-0.0157	-0.0268	-0.3749	-4.3025	-5.5501	0.5011	0.4540	0.3104	-0.0550	19.2446	4.2461	44.12	0	0.00000
4067764080096780416	268.595879	-24.170940	-0.0159	-0.0257	-0.5604	-0.7044	-2.6016	1.1554	1.5251	0.8157	0.1087	20.3495	3.1790	45.01	2	0.08826
4067763869645447424	268.598051	-24.171593	-0.0139	-0.0263	0.5267	-3.8019	-7.3521	0.9574	0.8861	0.5780	0.1011	20.0168	3.6040	45.45	2	0.00000
4067764075803873536	268.595497	-24.168233	-0.0163	-0.0230	0.5841	0.3786	-0.9348	0.1701	0.1672	0.1110	-0.1330	17.8987	2.9141	47.19	3	0.00000
4067764080095543168	268.596688	-24.168621	-0.0152	-0.0233	1.7086	4.1203	-6.8559	1.4940	1.6191	1.0087	-0.0189	20.4065	nan	47.51	0	0.00010
4067764075798339968	268.596743	-24.167941	-0.0151	-0.0227	0.8635	2.2355	-0.2206	0.0305	0.0315	0.0199	-0.0888	14.4452	1.1303	48.18	1	0.00000
4067764080093653376	268.598664	-24.168744	-0.0134	-0.0235	-0.5714	-1.8813	-7.2614	0.6325	0.5666	0.3709	-0.0451	19.5208	nan	48.46	0	0.00000
4067764080093653248	268.598724	-24.168418	-0.0133	-0.0231	0.2246	3.3911	-0.0941	0.3521	0.3338	0.2139	-0.1199	19.0069	2.6150	48.82	0	0.00000
4067764080096780544	268.588184	-24.166192	-0.0229	-0.0209	0.8434	-6.9100	-6.1272	1.3794	1.5374	0.8054	-0.1677	20.3417	3.3012	44.15	0	0.00001
