# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
4067792873559699584	268.670383	-24.030067	-0.0061	-0.0153	0.5862	5.5673	-2.2054	0.6639	0.8451	0.5097	0.3382	20.1729	3.0123	53.59	0	0.00000
4067792869265782144	268.670632	-24.029193	-0.0059	-0.0145	1.9321	-3.1369	-7.6586	2.1432	2.4791	1.2851	0.1264	20.8118	3.7735	52.94	0	0.00009
4067793075417948672	268.664343	-24.026134	-0.0116	-0.0114	0.3793	0.3038	-0.4492	0.0586	0.0696	0.0466	0.3033	16.4124	3.2224	53.49	1	0.00000
4067793079747632768	268.664095	-24.024427	-0.0119	-0.0097	0.9063	2.2928	-1.7802	0.0420	0.0481	0.0313	0.2327	15.6454	1.3860	52.49	1	0.00000
4067793079717085056	268.663758	-24.022296	-0.0122	-0.0076	1.4987	0.5515	-2.3094	0.3539	0.4118	0.2798	0.1660	19.4806	2.5979	49.94	0	0.00000
4067792869259508608	268.666486	-24.026774	-0.0097	-0.0121	0.9956	-3.2529	-0.6569	0.1914	0.2194	0.1448	0.2646	18.5760	2.1851	52.71	3	0.00000
4067792873558645504	268.665567	-24.025464	-0.0105	-0.0107	-2.2675	1.5425	-4.6448	0.9160	0.9839	0.5824	0.2007	20.1889	2.4443	51.87	0	0.00000
4067792873558642432	268.667632	-24.024834	-0.0086	-0.0101	0.3621	0.9614	-1.1986	0.1890	0.2501	0.1593	0.0166	18.4986	nan	50.52	0	0.00000
4067792869259523712	268.668021	-24.024724	-0.0083	-0.0100	0.5251	0.4627	-1.0553	0.1640	0.1898	0.1260	0.2455	18.1192	2.7137	52.57	0	0.00000
4067793075424206720	268.665156	-24.022562	-0.0109	-0.0078	0.9732	-3.8408	-3.3733	0.7544	0.9044	0.5355	0.1887	20.0149	3.3580	49.98	0	0.01623
4067793079717080448	268.666397	-24.021947	-0.0098	-0.0072	-1.3937	-3.5138	-4.9417	0.6677	0.7742	0.5260	0.4258	20.0193	2.6667	61.23	0	0.00000
4067792873589200640	268.668635	-24.024144	-0.0077	-0.0094	0.2200	-8.3710	-2.8784	0.1606	0.1837	0.1167	0.1945	17.8579	4.8621	60.84	1	0.00000
4067792873589201792	268.668419	-24.022851	-0.0079	-0.0081	0.6668	-1.0423	-0.8932	0.0588	0.0692	0.0453	0.2785	16.4902	1.8580	68.33	1	0.00000
4067792873600054016	268.670888	-24.022818	-0.0057	-0.0081	0.8002	-2.3308	-3.3265	0.3887	0.4716	0.3332	0.3972	18.8475	nan	71.11	0	0.00000
4067792869265787520	268.674802	-24.029670	-0.0021	-0.0149	1.2161	-3.0246	-1.2278	1.0434	1.1281	0.6599	0.1463	20.2506	3.6559	52	2	0.21694
4067792873558622976	268.676096	-24.027911	-0.0009	-0.0132	-0.2081	-1.0617	-2.0148	0.7678	1.3059	0.7902	0.6947	20.3580	1.7687	50.93	2	0.00847
4067792834906058624	268.684609	-24.029804	 0.0069	-0.0151	0.5383	-1.2735	-2.4397	0.8359	1.3500	0.8954	0.6990	20.2759	3.5405	53.61	2	0.00189
4067792834906057984	268.684213	-24.028386	 0.0065	-0.0137	-0.3042	-4.0617	-5.6186	0.7660	0.8869	0.5394	0.3346	20.0479	3.3286	52.1	0	0.00000
4067792873558626816	268.674417	-24.026673	-0.0024	-0.0120	0.4990	0.6013	-0.2170	0.3491	0.3971	0.2652	0.1189	19.1757	3.2094	60.63	0	0.00000
4067792873589197056	268.673999	-24.025789	-0.0028	-0.0111	0.4445	-1.3647	-1.4457	0.0531	0.0588	0.0388	0.2138	16.3364	1.8470	67.89	1	0.00000
4067792873589199744	268.671437	-24.022832	-0.0052	-0.0081	0.4655	-0.5825	-0.2709	0.0460	0.0506	0.0337	0.2000	16.0374	2.2666	71.49	1	0.00000
4067792907921097344	268.672525	-24.021978	-0.0042	-0.0073	10.7374	-11.258	-0.8285	3.2626	2.9022	1.7092	0.0958	20.8447	2.6113	70.49	0	0.41384
4067792907918374912	268.673685	-24.022096	-0.0031	-0.0074	1.6819	-1.2092	-1.4041	0.7889	0.7519	0.5207	0.3297	20.1813	2.2536	68.21	2	0.03212
4067792907921082368	268.675874	-24.024541	-0.0011	-0.0098	1.1893	0.8030	-2.9618	0.9961	1.9028	1.2505	0.7849	20.5657	2.3449	71.11	2	0.00002
4067792907948932096	268.679716	-24.026959	 0.0024	-0.0122	1.5059	-4.7435	-3.0522	0.5084	0.4868	0.3466	0.0892	19.0363	2.7370	57.54	0	0.00500
4067792907918356480	268.679719	-24.026791	 0.0024	-0.0121	0.5271	-1.6424	-8.2747	0.6364	0.7273	0.4439	0.0775	18.9242	4.2920	59.38	0	0.00000
4067792903619250432	268.678525	-24.025914	 0.0013	-0.0112	0.1466	-1.7209	-1.7760	0.1673	0.1998	0.1322	0.3809	18.3531	3.0179	68.71	3	0.00000
4067792907921056512	268.682481	-24.026151	 0.0049	-0.0114	-0.6304	0.1717	-1.1306	0.9884	1.0353	0.6223	0.0735	20.3678	2.9212	57.81	0	0.00684
4067792907918355840	268.681971	-24.025060	 0.0045	-0.0103	-0.0542	0.2354	-1.9567	0.5313	0.6088	0.4011	0.0912	19.7763	2.6757	68.75	0	0.00001
4067792903625530112	268.679537	-24.023771	 0.0022	-0.0090	0.3693	-1.8583	-0.8002	0.8042	0.9181	0.6052	0.3550	20.3536	3.2525	71.86	0	0.27918
4067792903625534464	268.683845	-24.023525	 0.0062	-0.0088	0.9621	0.8936	3.2179	0.9871	1.4361	0.9434	0.5760	20.4033	3.7920	70.28	0	0.00058
4067792907921072512	268.682761	-24.021888	 0.0052	-0.0072	-0.2867	3.9477	0.4139	0.8156	0.9696	0.5982	0.1738	20.2455	3.4460	71.9	0	0.00000
4067792907918359040	268.684370	-24.021812	 0.0067	-0.0071	0.8719	-0.2893	-6.1615	0.3853	0.4358	0.2851	0.1878	18.4030	4.1488	71.32	0	0.00000
4067792834906060416	268.685753	-24.027467	 0.0079	-0.0127	0.3050	-3.5730	-1.4202	0.7779	0.8835	0.5793	0.3781	20.2298	3.2096	51.79	0	0.37618
