# source_id     	ra      	dec     	x	y	plx	pmra	pmdec	plxe	pmrae	pmdece	pmcorr	g_mag	bp_rp	Sigma	qflag	memberprob
2492625433200235520	 30.697617	 -3.255690	-0.0398	-0.0029	0.0219	4.6696	-4.0549	0.2905	0.3389	0.3093	0.1431	19.0318	0.7025	1.134	3	0.00000
2492624337984136448	 30.730475	 -3.292378	-0.0070	-0.0396	2.8801	-7.0300	-9.2973	0.1768	0.1807	0.1465	0.0687	17.8443	2.6038	1.099	3	0.00000
2492624436767816576	 30.734126	 -3.275304	-0.0034	-0.0225	1.8347	5.8213	-4.9958	0.1954	0.2158	0.2000	0.1613	18.2672	2.3201	0.8053	3	0.00000
2492624368048478336	 30.746539	 -3.289166	 0.0090	-0.0364	0.4941	-0.7909	-3.7679	0.7769	0.9374	1.0624	0.2252	20.4150	1.3224	1.167	2	0.83547
2492621413110837504	 30.756807	 -3.288688	 0.0193	-0.0359	-0.0752	-0.2831	-1.9142	0.1439	0.1538	0.1231	-0.0459	17.8717	1.0624	1.02	1	0.99963
2492625914236567680	 30.750060	 -3.268679	 0.0125	-0.0159	0.6995	3.5547	-0.9954	0.3549	0.4226	0.3539	0.0775	19.2706	1.1960	1.031	3	0.00000
2492625879876970624	 30.779154	 -3.265423	 0.0416	-0.0126	1.2536	1.3549	-2.0291	0.5967	0.7134	0.5455	-0.1119	20.0515	2.2849	0.5062	2	0.35057
2492625433204078720	 30.703258	 -3.258093	-0.0342	-0.0053	1.0184	0.8016	-0.6612	0.6365	0.7618	0.7494	0.1841	20.1436	1.0381	0.9841	2	0.78859
2492624715941257600	 30.720247	 -3.262993	-0.0172	-0.0102	-0.0200	0.0066	-2.0606	0.1482	0.1774	0.1491	0.1778	17.8338	1.0855	1.098	1	0.99994
2492624642926248576	 30.726823	 -3.264895	-0.0107	-0.0121	0.1426	0.8718	-1.6090	0.4643	0.5425	0.4962	0.1526	19.7473	0.8860	5.386	3	0.99739
2492624647221780736	 30.729414	 -3.263502	-0.0081	-0.0107	1.2252	11.2809	8.5058	0.8915	0.9810	0.9109	0.1057	20.3433	2.1679	5.405	0	0.00000
2492624711645729152	 30.725098	 -3.257934	-0.0124	-0.0052	-0.1500	0.4243	-2.2140	0.9965	1.0933	1.2843	0.2730	20.5599	1.0500	5.391	2	0.99794
2492624642926249856	 30.731930	 -3.263004	-0.0056	-0.0102	-1.5322	0.3242	-2.2619	1.0571	1.1056	1.3142	0.3648	20.5243	0.6818	3.41	3	0.99825
2492626120396890880	 30.738545	 -3.264624	 0.0010	-0.0118	-0.0010	-0.3914	-0.7397	0.6773	0.9280	0.8261	0.1521	19.9941	0.8666	3.608	0	0.99904
2492626120398848128	 30.739102	 -3.263911	 0.0016	-0.0111	1.4413	-12.143	-15.306	0.2159	0.2362	0.2174	0.1312	18.3888	1.9053	3.177	0	0.00000
2492626124690530432	 30.738688	 -3.263144	 0.0012	-0.0104	1.1185	-12.189	-15.249	0.0424	0.0453	0.0383	0.1187	15.2755	0.9769	3.012	1	0.00000
2492626120398514688	 30.734660	 -3.256399	-0.0028	-0.0036	3.3599	-0.3340	-2.9545	0.7288	0.8137	0.8451	0.1323	20.1793	1.0827	44.93	0	0.91256
2492626124690144640	 30.733459	 -3.255729	-0.0040	-0.0030	1.1200	-1.2190	-2.1960	0.8921	1.0373	1.1578	0.2332	20.4827	0.9649	39.25	2	0.99948
2492626124690144512	 30.734580	 -3.255039	-0.0029	-0.0023	-0.2801	-1.2831	-4.3741	0.8746	1.1827	1.6326	0.5190	20.4947	0.8775	54.07	2	0.99933
2492626120395002112	 30.739124	 -3.258027	 0.0016	-0.0052	-0.4513	-0.7352	-2.0698	1.0016	1.1816	1.3553	0.3722	20.4916	1.0549	31.58	3	0.99973
2492626124690116480	 30.736387	 -3.254851	-0.0011	-0.0021	0.7651	-2.1433	-2.7773	1.0162	1.4080	1.1612	0.1332	20.4311	1.1808	55.32	2	0.99947
2492626120395007744	 30.736920	 -3.255456	-0.0006	-0.0027	-0.3160	0.1502	-1.8203	0.2887	0.3372	0.2801	0.0861	18.8836	1.1317	56.35	3	0.99999
2492626193409621760	 30.731849	 -3.253026	-0.0056	-0.0002	-0.3359	-0.8169	0.0461	1.3106	2.3112	2.1013	0.5840	20.6810	0.7850	29.27	0	0.99890
2492626124689996800	 30.734911	 -3.253060	-0.0026	-0.0003	0.0101	0.1802	-2.4474	0.3251	0.3775	0.3400	0.0906	19.1916	0.9544	56.09	2	0.99997
2492626120395007232	 30.734786	 -3.252123	-0.0027	 0.0007	-0.0545	-0.4502	-2.0918	0.1375	0.1583	0.1291	0.0649	17.8434	1.1061	56.41	1	1.00000
2492626193409473280	 30.732297	 -3.250259	-0.0052	 0.0025	0.0321	-0.9661	-4.4673	1.3715	1.3161	1.6045	0.4663	20.6227	0.4064	27.41	3	0.99819
2492626193409621504	 30.734521	 -3.251343	-0.0030	 0.0014	1.4819	-0.7849	-1.3756	1.1324	1.1920	1.5494	0.4319	20.3393	0.5658	55.91	0	0.99947
2492626124689996672	 30.738121	 -3.251980	 0.0006	 0.0008	-2.3265	1.0180	-0.5251	0.4806	0.5528	0.4918	0.0926	19.6972	0.8388	46.44	1	0.62284
2492626120395007488	 30.739997	 -3.254639	 0.0025	-0.0019	-0.3011	-0.2347	-2.1060	0.2413	0.3388	0.2425	-0.0690	18.7239	1.1221	56.34	3	0.99999
